Var.1,Planning Area,Total,0 - 4,5-Sep,Oct-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,85_and_over,PLN_AREA_N,65_AND_OVER,ELDERLY_DENSITY,POP_DATE
40,Sembawang,72730,5660,5600,4900,4400,4460,5710,7600,8140,6160,5630,4910,3510,2280,1350,1020,710,390,300,300,SEMBAWANG,3770,0.051835556,2010
41,Sengkang,167050,13670,12240,11240,9750,9240,12560,18170,18810,13780,12660,11670,8510,5880,3070,2400,1650,1010,750,750,SENGKANG,8880,0.053157737,2010
42,Serangoon,124780,4880,6240,7880,9600,9180,8890,8090,8910,9170,10700,11380,9780,7510,4030,3420,2370,1490,1260,1260,SERANGOON,12570,0.100737298,2010
43,Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIMPANG,0,0,2010
44,Singapore River,2000,120,110,90,80,60,150,240,290,250,190,140,100,60,50,40,10,10,20,20,SINGAPORE RIVER,130,0.065,2010
45,Southern Islands,640,40,40,40,40,30,20,30,60,90,100,60,50,20,20,10,0,0,0,0,SOUTHERN ISLANDS,30,0.046875,2010
46,Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STRAITS VIEW,0,0,2010
47,Sungei Kadut,880,30,30,30,40,50,50,50,60,60,50,60,50,70,50,60,40,40,50,50,SUNGEI KADUT,240,0.272727273,2010
48,Tampines,261740,12260,14490,18740,22050,20350,19610,18650,19210,20930,23820,23430,18140,12100,5950,4790,3450,2190,1600,1600,TAMPINES,17980,0.068694124,2010
49,Tanglin,17290,870,1100,1050,1040,830,910,1240,1630,1730,1630,1370,1170,1030,590,410,300,230,190,190,TANGLIN,1720,0.099479468,2010
50,Tengah,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TENGAH,0,0,2010
51,Toa Payoh,124650,5170,5720,6450,7330,6860,8430,9210,10060,9650,10120,10400,8750,7980,5580,5270,3660,2230,1800,1800,TOA PAYOH,18540,0.148736462,2010
52,Tuas,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TUAS,0,0,2010
53,Western Islands,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN ISLANDS,0,0,2010
54,Western Water Catchment,1040,50,80,50,40,180,70,90,100,80,90,80,50,20,10,10,10,10,30,30,WESTERN WATER CATCHMENT,70,0.067307692,2010
55,Woodlands,245110,14540,17580,21550,20010,16750,18020,19260,22200,23340,21760,17410,12060,8100,4440,3520,2410,1350,840,840,WOODLANDS,12560,0.051242299,2010
56,Yishun,185210,8990,10150,11860,14250,14780,14520,14100,14530,14860,17290,15950,12570,8650,4670,3500,2340,1320,920,920,YISHUN,12750,0.068840775,2010
