Var.1,Planning Area,Total,0 - 4,5-Sep,Oct-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,85_and_over,PLN_AREA_N,65_AND_OVER,ELDERLY_DENSITY,POP_DATE
49,Tanglin,17510,880,1040,1050,1060,880,880,1170,1610,1790,1620,1390,1210,1090,620,470,300,240,210,210,TANGLIN,1840,0.10508281,2011
50,Tengah,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TENGAH,0,0,2011
51,Toa Payoh,125570,5060,5620,6470,7310,7260,7900,9180,9970,9670,10100,10490,9130,8360,5410,5610,3750,2350,1930,1930,TOA PAYOH,19050,0.151708211,2011
52,Tuas,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TUAS,0,0,2011
53,Western Islands,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN ISLANDS,0,0,2011
54,Western Water Catchment,1000,50,70,50,30,180,70,70,100,80,80,80,50,20,10,10,10,10,30,30,WESTERN WATER CATCHMENT,70,0.07,2011
55,Woodlands,247410,13780,16640,21240,20620,17700,17570,19400,21340,23110,22400,18240,13230,8850,4480,3880,2550,1440,930,930,WOODLANDS,13280,0.053676084,2011
56,Yishun,185490,8530,9760,11590,13670,15160,14320,14060,14320,14290,17040,16470,13340,9510,4770,3870,2410,1410,980,980,YISHUN,13440,0.072456736,2011
1,Total,3818210,186670,206320,233320,258860,264510,254580,295400,313970,308820,320930,310380,271820,214000,128880,104410,67680,44120,33550,33550,TOTAL,378640,0.099166887,2012
2,Ang Mo Kio,178890,7530,8110,9070,10010,10890,11730,14090,14280,13510,14430,14340,14070,12730,8390,6900,4280,2720,1830,1830,ANG MO KIO,24120,0.134831461,2012
3,Bedok,295220,12790,14310,16540,19040,20940,19550,21160,22480,22270,23680,24690,22850,19600,12080,9380,6340,4280,3230,3230,BEDOK,35310,0.119605718,2012
4,Bishan,92710,3870,4660,5240,6540,7210,5710,6170,6960,7220,7690,8150,7390,5870,3450,2780,1760,1140,900,900,BISHAN,10030,0.108186819,2012
5,Boon Lay,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOON LAY,0,0,2012
6,Bukit Batok,142620,6410,7650,9220,10000,10780,10460,10590,11250,11660,12510,12600,10990,7690,4010,2940,1850,1190,830,830,BUKIT BATOK,10820,0.075865937,2012
7,Bukit Merah,157170,7770,6940,6870,7240,8170,9540,12930,13650,11990,11720,11810,11640,11260,7830,7310,4800,3120,2570,2570,BUKIT MERAH,25630,0.163071833,2012
8,Bukit Panjang,130960,6710,7800,9040,9710,10710,9110,9580,10630,10510,11100,11230,9090,6270,3510,2530,1630,1050,760,760,BUKIT PANJANG,9480,0.072388516,2012
9,Bukit Timah,71910,3210,4540,4660,5100,5020,3690,3790,5430,6440,6210,5790,5050,4400,2930,2300,1530,1040,800,800,BUKIT TIMAH,8600,0.119593937,2012
10,Central Water Catchment,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL WATER CATCHMENT,0,0,2012
11,Changi,2470,200,220,190,140,130,110,210,300,240,230,130,100,80,50,50,30,20,40,40,CHANGI,190,0.076923077,2012
12,Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHANGI BAY,0,0,2012
13,Choa Chu Kang,174190,8310,10410,13620,16150,13210,11340,12200,13340,15410,17410,14430,10750,7070,3740,2840,1900,1260,820,820,CHOA CHU KANG,10560,0.060623457,2012
14,Clementi,91240,4120,4360,4670,4760,5090,5790,7350,7670,7350,7480,6700,6900,6930,4360,3410,2050,1280,970,970,CLEMENTI,12070,0.13228847,2012
15,Downtown Core,3690,120,110,110,130,170,230,320,360,370,310,280,250,290,190,180,100,70,100,100,DOWNTOWN CORE,640,0.173441734,2012
16,Geylang,119300,5170,5500,6130,7160,7950,8060,8960,9480,8910,9620,9960,9250,7480,4880,4330,2950,2030,1480,1480,GEYLANG,15670,0.131349539,2012
17,Hougang,217440,8480,10510,13320,16110,16990,14800,14560,15720,16330,18960,19830,17380,12790,7460,5950,3850,2500,1890,1890,HOUGANG,21650,0.099567697,2012
18,Jurong East,86550,3660,4320,4940,5430,6390,6630,6790,6750,6620,6750,7040,7020,5800,3200,2350,1360,850,670,670,JURONG EAST,8430,0.097400347,2012
19,Jurong West,271870,15190,16660,17840,19110,19260,20260,24890,24190,22670,22130,20140,18150,13590,7190,4910,2870,1690,1130,1130,JURONG WEST,17790,0.065435686,2012
20,Kallang,102910,4570,4610,4780,5070,5500,6400,8150,8810,8470,7990,8260,7650,7090,4680,4480,2950,1960,1500,1500,KALLANG,15570,0.15129725,2012
21,Lim Chu Kang,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LIM CHU KANG,0,0,2012
22,Mandai,2080,120,130,170,170,150,120,140,160,210,180,160,120,90,70,40,30,20,10,10,MANDAI,170,0.081730769,2012
23,Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA EAST,0,0,2012
24,Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA SOUTH,0,0,2012
25,Marine Parade,48510,2250,2700,2740,2780,2740,2460,3300,4200,4370,3870,3640,3230,3040,2160,1950,1430,960,710,710,MARINE PARADE,7210,0.148629149,2012
26,Museum,350,20,20,10,20,10,10,40,50,40,40,20,20,10,10,10,10,0,10,10,MUSEUM,40,0.114285714,2012
27,Newton,6480,320,430,330,350,330,280,370,620,700,620,510,440,420,260,190,130,100,90,90,NEWTON,770,0.11882716,2012
28,North-Eastern Islands,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NORTH-EASTERN ISLANDS,0,0,2012
29,Novena,47080,2330,2640,2520,2630,2680,2620,3360,4130,4120,4020,3630,3150,2720,1930,1700,1220,870,820,820,NOVENA,6540,0.138912489,2012
30,Orchard,880,40,50,30,30,40,40,60,90,90,80,80,70,70,40,20,20,10,20,20,ORCHARD,110,0.125,2012
31,Outram,22040,1340,840,670,760,950,1320,2200,1980,1570,1520,1570,1630,1650,1140,1110,780,520,500,500,OUTRAM,4050,0.183756806,2012
32,Pasir Ris,135900,6170,7720,11000,14030,10770,7240,8200,9740,11450,14930,12030,8430,5490,2910,2260,1570,1080,900,900,PASIR RIS,8720,0.064164827,2012
33,Paya Lebar,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PAYA LEBAR,0,0,2012
34,Pioneer,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIONEER,0,0,2012
35,Punggol,74730,7700,6270,4230,3070,3080,5580,9720,10140,6460,4720,3900,3300,2650,1540,1110,610,370,270,270,PUNGGOL,3900,0.052187876,2012
36,Queenstown,97830,4480,4350,4610,4870,5190,5900,7650,8410,8070,8020,7170,6720,6400,4680,4640,3250,2030,1400,1400,QUEENSTOWN,16000,0.163549014,2012
37,River Valley,8590,380,450,460,480,450,480,640,870,940,840,670,580,470,340,220,150,90,120,120,RIVER VALLEY,920,0.107101281,2012
38,Rochor,15250,600,620,600,680,850,960,1290,1390,1170,1180,1210,1100,1090,740,680,490,330,300,300,ROCHOR,2540,0.166557377,2012
39,Seletar,300,20,20,20,10,10,10,20,40,40,30,40,20,10,10,10,10,0,0,0,SELETAR,30,0.1,2012
40,Sembawang,73310,5090,5360,5180,4330,4670,5020,7070,7880,6680,5810,5190,4090,2680,1560,1170,760,460,330,330,SEMBAWANG,4280,0.058382213,2012
41,Sengkang,177770,13560,12930,11650,10390,10100,11980,18800,19410,15540,13120,12570,10120,7090,3880,2900,1730,1180,840,840,SENGKANG,10530,0.059233841,2012
42,Serangoon,123320,4570,5680,7220,8810,9710,8310,7950,8350,8880,10000,10950,10560,8130,4850,3790,2490,1690,1400,1400,SERANGOON,14220,0.115309763,2012
43,Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIMPANG,0,0,2012
44,Singapore River,2340,130,140,110,90,80,110,270,340,340,220,150,120,80,60,40,20,20,20,20,SINGAPORE RIVER,160,0.068376068,2012
45,Southern Islands,1080,70,50,60,60,60,40,60,90,140,150,120,90,40,30,10,10,10,0,0,SOUTHERN ISLANDS,60,0.055555556,2012
46,Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STRAITS VIEW,0,0,2012
47,Sungei Kadut,880,30,30,40,40,40,60,60,50,60,60,60,60,60,40,50,50,40,60,60,SUNGEI KADUT,240,0.272727273,2012
48,Tampines,259990,11560,13010,16600,20870,21630,18730,18800,18290,19170,22350,23700,20430,14240,7250,5480,3600,2400,1870,1870,TAMPINES,20600,0.079233817,2012
49,Tanglin,17780,900,1090,1080,1020,920,800,1130,1640,1900,1610,1400,1210,1070,730,510,300,250,220,220,TANGLIN,2010,0.113048369,2012
50,Tengah,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TENGAH,0,0,2012
51,Toa Payoh,126180,5120,5680,6300,7310,7430,7530,8970,10010,9800,10070,10310,9500,8250,5930,5750,3730,2490,2010,2010,TOA PAYOH,19910,0.157790458,2012
52,Tuas,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TUAS,0,0,2012
53,Western Islands,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN ISLANDS,0,0,2012
54,Western Water Catchment,1050,50,70,60,30,200,70,60,110,80,80,80,60,20,10,10,10,20,20,20,WESTERN WATER CATCHMENT,70,0.066666667,2012
55,Woodlands,247830,13130,15860,20310,21220,18410,17020,19050,20460,22810,22650,19090,14140,9290,5200,4050,2590,1530,1000,1000,WOODLANDS,14370,0.057983295,2012
56,Yishun,187190,8600,9510,11120,13130,15620,14470,14440,14170,14180,16510,16730,14070,9980,5570,4070,2490,1450,1090,1090,YISHUN,14670,0.078369571,2012
1,Total,3844750,183300,205700,226240,255070,266890,255620,296870,305500,312580,316340,312990,281070,222150,145820,105750,70620,46200,36060,36060,TOTAL,404450,0.105195396,2013
2,Ang Mo Kio,178700,7330,8040,9020,9850,10790,11410,13860,13830,13910,14030,14390,13900,12830,9270,7030,4390,2870,1970,1970,ANG MO KIO,25530,0.142865137,2013
3,Bedok,294080,12370,14150,15920,18420,20690,19320,20860,21820,22350,23080,24430,23160,19980,13580,9490,6570,4410,3480,3480,BEDOK,37530,0.127618335,2013
4,Bishan,92790,3780,4700,5030,6250,7250,5910,6210,6550,7300,7380,8040,7610,6100,3840,2780,1910,1220,950,950,BISHAN,10700,0.11531415,2013
5,Boon Lay,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOON LAY,0,0,2013
6,Bukit Batok,142310,6110,7490,8790,9820,10540,10570,10490,10840,11480,12100,12600,11480,8110,4660,3090,1940,1290,930,930,BUKIT BATOK,11910,0.083690535,2013
7,Bukit Merah,156060,7630,7120,6730,7050,7980,9190,12500,13080,12380,11600,11600,11640,11110,8510,7130,4960,3190,2660,2660,BUKIT MERAH,26450,0.169486095,2013
8,Bukit Panjang,131490,6590,7550,8650,9580,10710,9300,9770,10140,10630,10860,11280,9640,6690,3940,2630,1660,1080,790,790,BUKIT PANJANG,10100,0.076811925,2013
9,Bukit Timah,73130,3180,4700,4640,5040,5130,3850,3800,5230,6640,6230,5850,5220,4440,3230,2340,1620,1120,860,860,BUKIT TIMAH,9170,0.125393136,2013
10,Central Water Catchment,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL WATER CATCHMENT,0,0,2013
11,Changi,2540,190,240,200,150,150,100,210,290,250,240,140,110,80,60,60,30,20,40,40,CHANGI,210,0.082677165,2013
12,Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHANGI BAY,0,0,2013
13,Choa Chu Kang,174870,7800,10140,12810,16050,13870,11580,12310,12640,14910,17190,15090,11450,7650,4250,2960,1990,1310,880,880,CHOA CHU KANG,11390,0.0651341,2013
14,Clementi,91490,4020,4400,4620,4730,5080,5660,7180,7560,7520,7250,6840,6760,6900,4950,3480,2160,1340,1040,1040,CLEMENTI,12970,0.141764127,2013
15,Downtown Core,3730,110,100,110,130,150,220,340,360,380,320,270,270,270,220,170,110,80,130,130,DOWNTOWN CORE,710,0.190348525,2013
16,Geylang,119530,4970,5590,5910,6960,7970,7970,8820,9120,9140,9420,9990,9550,7710,5460,4220,3010,2110,1620,1620,GEYLANG,16420,0.137371371,2013
17,Hougang,217900,8270,10100,12670,15620,17060,15070,14590,15050,16400,18230,19930,18080,13500,8590,6070,4000,2650,2030,2030,HOUGANG,23340,0.107113355,2013
18,Jurong East,86950,3590,4250,4840,5320,6200,6580,6900,6560,6720,6690,7000,7120,6040,3730,2380,1480,900,670,670,JURONG EAST,9160,0.105347901,2013
19,Jurong West,271320,14390,16430,17410,18900,19380,19550,24240,23680,22680,22220,20210,18520,14330,8290,5060,3030,1760,1270,1270,JURONG WEST,19410,0.071539142,2013
20,Kallang,102840,4530,4570,4690,5000,5440,6200,8060,8570,8650,7980,8120,7750,7090,5180,4380,3010,2050,1580,1580,KALLANG,16200,0.157526254,2013
21,Lim Chu Kang,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LIM CHU KANG,0,0,2013
22,Mandai,2120,100,140,170,170,160,130,150,160,210,180,180,130,80,80,50,30,20,10,10,MANDAI,190,0.089622642,2013
23,Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA EAST,0,0,2013
24,Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA SOUTH,0,0,2013
25,Marine Parade,48870,2300,2710,2790,2650,2760,2510,3220,4010,4520,3940,3600,3310,2980,2380,1930,1510,980,780,780,MARINE PARADE,7580,0.155105382,2013
26,Museum,350,20,20,10,10,10,10,40,50,40,40,30,20,10,20,0,0,10,10,10,MUSEUM,40,0.114285714,2013
27,Newton,6560,280,450,320,350,360,300,400,550,710,640,530,440,440,290,180,130,110,90,90,NEWTON,800,0.12195122,2013
28,North-Eastern Islands,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NORTH-EASTERN ISLANDS,0,0,2013
29,Novena,47720,2330,2720,2480,2620,2690,2600,3320,4100,4320,3940,3740,3230,2770,2130,1730,1230,920,860,860,NOVENA,6870,0.143964795,2013
30,Orchard,910,50,40,40,40,40,50,50,100,90,80,90,70,70,50,20,20,10,20,20,ORCHARD,120,0.131868132,2013
31,Outram,22340,1390,930,690,720,950,1200,2160,2090,1630,1510,1590,1650,1620,1260,1110,790,530,540,540,OUTRAM,4230,0.189346464,2013
32,Pasir Ris,136730,5880,7410,10270,13700,11760,7550,8210,9250,10910,14520,12700,9140,5940,3390,2320,1650,1170,960,960,PASIR RIS,9490,0.06940686,2013
33,Paya Lebar,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PAYA LEBAR,0,0,2013
34,Pioneer,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIONEER,0,0,2013
35,Punggol,88070,9180,7160,4950,3510,3410,6670,12510,11050,7820,5310,4520,3860,3130,2060,1310,770,460,390,390,PUNGGOL,4990,0.056659475,2013
36,Queenstown,98970,4490,4480,4590,5010,5380,5990,7590,8220,8090,8010,7270,6880,6280,5150,4500,3380,2150,1510,1510,QUEENSTOWN,16690,0.168636961,2013
37,River Valley,8930,430,490,440,450,480,480,690,890,1000,830,690,590,510,370,240,160,80,120,120,RIVER VALLEY,970,0.10862262,2013
38,Rochor,15080,570,630,590,660,810,940,1160,1380,1200,1160,1160,1130,1070,780,700,480,340,350,350,ROCHOR,2650,0.175729443,2013
39,Seletar,300,20,20,20,10,10,10,10,40,40,40,30,30,10,10,0,10,0,0,0,SELETAR,20,0.066666667,2013
40,Sembawang,73420,4660,5300,5260,4500,4570,4820,6710,7620,7030,5840,5320,4310,2920,1730,1220,780,490,350,350,SEMBAWANG,4570,0.06224462,2013
41,Sengkang,182980,13290,13540,11850,10850,10180,11890,18700,19380,16580,13500,12870,10940,7650,4640,3110,1850,1250,920,920,SENGKANG,11770,0.06432397,2013
42,Serangoon,122610,4450,5500,6840,8440,9690,8520,7870,7900,8970,9550,10570,10720,8570,5410,3740,2640,1750,1490,1490,SERANGOON,15030,0.122583802,2013
43,Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIMPANG,0,0,2013
44,Singapore River,2540,160,150,120,80,80,110,300,360,360,240,180,150,80,70,50,30,10,30,30,SINGAPORE RIVER,190,0.07480315,2013
45,Southern Islands,1300,80,70,70,70,80,50,60,120,160,180,130,100,60,30,10,10,10,0,0,SOUTHERN ISLANDS,60,0.046153846,2013
46,Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STRAITS VIEW,0,0,2013
47,Sungei Kadut,870,30,30,40,40,40,50,60,60,60,60,50,60,50,60,50,50,30,60,60,SUNGEI KADUT,250,0.287356322,2013
48,Tampines,259470,11270,12600,15490,20130,21820,18790,19050,17830,18670,21580,23450,21350,15150,8560,5560,3730,2470,1980,1980,TAMPINES,22300,0.085944425,2013
49,Tanglin,18090,850,1190,1050,1020,950,780,1120,1600,1960,1690,1450,1210,1080,800,520,330,240,250,250,TANGLIN,2140,0.118297402,2013
50,Tengah,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TENGAH,0,0,2013
51,Toa Payoh,127540,5260,5750,6170,7060,7510,7630,9350,9770,10140,10010,10200,9660,8240,6500,5670,3880,2590,2170,2170,TOA PAYOH,20810,0.163164497,2013
52,Tuas,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TUAS,0,0,2013
53,Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN ISLANDS,0,0,2013
54,Western Water Catchment,1000,50,50,50,40,210,80,50,90,80,60,80,60,30,10,10,10,10,20,20,WESTERN WATER CATCHMENT,60,0.06,2013
55,Woodlands,249710,12740,15320,19190,21530,19040,17340,19150,19640,22330,22860,19850,15070,10090,5890,4200,2720,1620,1130,1130,WOODLANDS,15560,0.062312282,2013
56,Yishun,188140,8550,9460,10740,12550,15540,14640,14800,13890,14300,15740,16880,14680,10470,6370,4260,2580,1550,1150,1150,YISHUN,15910,0.084564686,2013
1,Total,3870740,181370,205790,220800,247340,263920,265660,292290,302030,316020,308530,315500,288390,231500,161200,106820,76290,48420,38880,38880,TOTAL,431610,0.11150581,2014
2,Ang Mo Kio,178260,7150,8080,8760,9600,10550,11460,13250,13640,14140,13530,14340,13840,12910,9960,7100,4760,3040,2150,2150,ANG MO KIO,27010,0.151520251,2014
3,Bedok,293110,12180,14020,15420,17550,20010,20020,20370,21370,22550,22160,23950,23320,20360,15010,9620,6980,4510,3720,3720,BEDOK,39840,0.135921668,2014
4,Bishan,91920,3590,4500,4890,5880,6960,6340,5890,6290,7290,7050,7820,7710,6280,4280,2870,2030,1260,1020,1020,BISHAN,11460,0.124673629,2014
5,Boon Lay,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOON LAY,0,0,2014
6,Bukit Batok,141560,5870,7290,8490,9450,10180,10750,10310,10500,11270,11670,12500,11720,8690,5260,3130,2130,1330,1030,1030,BUKIT BATOK,12880,0.090986154,2014
7,Bukit Merah,156740,7480,7320,6800,6950,7770,9400,11780,13070,12680,11510,11640,11710,10980,9120,6920,5350,3380,2860,2860,BUKIT MERAH,27630,0.176279188,2014
8,Bukit Panjang,133020,6480,7530,8410,9430,10520,9820,9810,9830,10800,10600,11480,10110,7210,4420,2690,1840,1170,880,880,BUKIT PANJANG,11000,0.082694332,2014
9,Bukit Timah,73810,3180,4730,4690,4890,5000,4200,3670,5040,6750,6210,5850,5290,4500,3550,2390,1810,1160,920,920,BUKIT TIMAH,9830,0.133179786,2014
10,Central Water Catchment,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL WATER CATCHMENT,0,0,2014
11,Changi,2530,180,220,210,150,140,110,180,280,280,220,160,110,80,70,60,20,20,40,40,CHANGI,210,0.083003953,2014
12,Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHANGI BAY,0,0,2014
13,Choa Chu Kang,175330,7500,9730,12170,15380,14560,12030,12000,12260,14410,16700,15650,12160,8360,4860,3100,2110,1390,970,970,CHOA CHU KANG,12430,0.070894884,2014
14,Clementi,91260,3880,4450,4600,4640,4890,5700,6900,7350,7600,7040,6950,6620,6750,5470,3500,2400,1400,1120,1120,CLEMENTI,13890,0.152202498,2014
15,Downtown Core,3700,110,100,90,130,140,220,320,370,350,340,280,270,260,240,170,120,80,140,140,DOWNTOWN CORE,750,0.202702703,2014
16,Geylang,119130,4780,5580,5780,6620,7730,8270,8550,9000,9110,9190,9930,9610,7880,5850,4210,3130,2150,1750,1750,GEYLANG,17090,0.143456728,2014
17,Hougang,219440,8180,9930,12250,15000,16710,16020,14640,14930,16560,17360,19810,18710,14310,9440,6250,4360,2810,2170,2170,HOUGANG,25030,0.11406307,2014
18,Jurong East,86570,3460,4030,4770,5150,5930,6790,6730,6280,6750,6530,6880,7100,6300,4150,2450,1590,980,710,710,JURONG EAST,9880,0.114127296,2014
19,Jurong West,271930,13900,16200,17110,18280,19150,19890,23420,23650,22910,21880,20550,18800,15090,9310,5330,3270,1880,1330,1330,JURONG WEST,21120,0.077667047,2014
20,Kallang,102250,4460,4540,4620,4820,5270,6230,7720,8370,8720,7770,8060,7820,7030,5640,4240,3170,2080,1700,1700,KALLANG,16830,0.164596577,2014
21,Lim Chu Kang,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LIM CHU KANG,0,0,2014
22,Mandai,2100,90,120,160,160,160,140,130,180,190,190,180,130,90,80,50,40,30,10,10,MANDAI,210,0.1,2014
23,Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA EAST,0,0,2014
24,Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA SOUTH,0,0,2014
25,Marine Parade,49010,2230,2760,2720,2600,2700,2620,3070,3940,4590,3890,3680,3340,2940,2590,1900,1580,990,890,890,MARINE PARADE,7950,0.162211794,2014
26,Museum,360,10,20,10,10,10,10,40,50,50,40,40,20,20,10,10,0,10,10,10,MUSEUM,40,0.111111111,2014
27,Newton,6660,290,450,310,350,320,320,400,540,730,610,570,470,410,340,180,150,110,110,110,NEWTON,890,0.133633634,2014
28,North-Eastern Islands,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NORTH-EASTERN ISLANDS,0,0,2014
29,Novena,47790,2270,2780,2470,2540,2610,2630,3160,4040,4490,3890,3730,3300,2860,2240,1710,1270,920,890,890,NOVENA,7030,0.147101904,2014
30,Orchard,890,30,40,30,30,40,50,60,90,90,80,90,70,70,60,20,10,10,20,20,ORCHARD,120,0.134831461,2014
31,Outram,22300,1320,1040,710,750,890,1160,1930,2160,1680,1520,1570,1660,1630,1330,1020,830,520,580,580,OUTRAM,4280,0.191928251,2014
32,Pasir Ris,137500,5700,7280,9580,12940,12570,8140,7900,9090,10520,13720,13470,9750,6510,3840,2400,1810,1250,1040,1040,PASIR RIS,10340,0.0752,2014
33,Paya Lebar,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PAYA LEBAR,0,0,2014
34,Pioneer,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIONEER,0,0,2014
35,Punggol,98140,10430,8090,5490,3880,3630,6800,14000,12050,9170,5760,5040,4340,3600,2480,1480,930,540,450,450,PUNGGOL,5880,0.059914408,2014
36,Queenstown,98730,4440,4550,4440,4900,5340,6070,7340,7850,8240,7790,7410,6800,6220,5510,4330,3570,2280,1650,1650,QUEENSTOWN,17340,0.175630507,2014
37,River Valley,9110,430,520,460,430,480,470,680,910,1020,870,690,590,530,420,240,170,100,130,130,RIVER VALLEY,1060,0.116355653,2014
38,Rochor,14750,550,620,560,640,730,940,1100,1290,1220,1110,1130,1130,1060,820,680,480,330,360,360,ROCHOR,2670,0.181016949,2014
39,Seletar,300,10,20,20,20,10,0,10,30,50,40,30,30,10,10,10,0,0,0,0,SELETAR,20,0.066666667,2014
40,Sembawang,75570,4550,5470,5370,4600,4530,5010,6590,7510,7480,5960,5560,4570,3220,1930,1310,890,580,450,450,SEMBAWANG,5160,0.068281064,2014
41,Sengkang,191910,13720,14240,12180,11240,10450,12590,19120,19840,17930,14000,13200,11820,8430,5410,3320,2070,1310,1050,1050,SENGKANG,13160,0.068573811,2014
42,Serangoon,122100,4220,5400,6560,8060,9330,9060,7680,7650,8870,9170,10360,10770,8840,6060,3840,2830,1830,1580,1580,SERANGOON,16140,0.132186732,2014
43,Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIMPANG,0,0,2014
44,Singapore River,2580,180,150,120,90,80,120,300,340,360,240,170,150,100,80,40,40,10,30,30,SINGAPORE RIVER,200,0.07751938,2014
45,Southern Islands,1400,90,90,70,90,80,60,60,110,180,180,160,100,70,30,20,10,10,0,0,SOUTHERN ISLANDS,70,0.05,2014
46,Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STRAITS VIEW,0,0,2014
47,Sungei Kadut,760,30,30,40,40,50,60,40,60,60,60,60,60,40,40,30,30,20,20,20,SUNGEI KADUT,140,0.184210526,2014
48,Tampines,258810,10930,12350,14560,19070,21500,19780,18650,17640,18350,20440,23230,22020,16200,9770,5620,4070,2590,2060,2060,TAMPINES,24110,0.093157142,2014
49,Tanglin,18390,910,1200,1090,1010,940,850,1090,1580,1910,1740,1530,1220,1110,860,530,360,250,240,240,TANGLIN,2240,0.121805329,2014
50,Tengah,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TENGAH,0,0,2014
51,Toa Payoh,126720,5180,5760,6010,6720,7320,7810,8900,9430,10350,9640,10030,9780,8330,6850,5500,4200,2680,2260,2260,TOA PAYOH,21490,0.16958649,2014
52,Tuas,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TUAS,0,0,2014
53,Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN ISLANDS,0,0,2014
54,Western Water Catchment,960,40,50,60,40,170,70,50,90,90,60,80,60,30,10,20,10,10,30,30,WESTERN WATER CATCHMENT,80,0.083333333,2014
55,Woodlands,250180,12320,14940,18180,21200,19390,17960,18990,19030,21610,22580,20500,16010,10770,6660,4140,2970,1720,1210,1210,WOODLANDS,16700,0.066751939,2014
56,Yishun,192800,9020,9570,10550,12030,15070,15710,15480,14290,14610,15190,17110,15280,11440,7120,4420,2900,1710,1310,1310,YISHUN,17460,0.090560166,2014
1,Total,3902690,183580,204450,214390,242900,264130,271030,290620,301070,316760,303410,315090,295060,240490,182430,102630,81210,51790,41660,41660,TOTAL,459720,0.117795674,2015
2,Ang Mo Kio,174770,6790,7660,8290,9320,10310,11170,12250,13070,13710,13000,14010,13800,12980,11050,6670,5140,3250,2300,2300,ANG MO KIO,28410,0.162556503,2015
