"","Var.1","Var.1","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY","POP_DATE","POP_DATE"
"1",1,4,"Total",3642660,193890,223620,253800,262860,225390,263110,289820,307240,317360,318080,289190,229360,153160,115190,81310,59000,33880,26420,26420,"TOTAL",315800,0.0866948878017712,"1/1/2008","2008"
"2",2,5,"Ang Mo Kio",175030,7850,8670,9580,10690,10320,13590,14180,13480,14260,14770,14490,13490,9850,7740,5080,3650,1990,1350,1350,"ANG MO KIO",19810,0.113180597611838,"1/1/2008","2008"
"3",3,16,"Bedok",285940,12810,15570,18590,20900,18560,20430,20470,21250,23030,25020,24220,20900,14490,10390,7680,5680,3410,2540,2540,"BEDOK",29700,0.103867944323984,"1/1/2008","2008"
"4",4,25,"Bishan",90270,4110,4910,6280,7540,5390,5790,6160,7230,7520,8440,8200,6370,4050,2980,2120,1510,960,720,720,"BISHAN",8290,0.0918356042982165,"1/1/2008","2008"
"5",5,29,"Boon Lay",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOON LAY",0,0,"1/1/2008","2008"
"6",6,34,"Bukit Batok",141450,7850,9200,10200,10690,10040,10450,10970,11980,12750,13150,12010,8570,4940,3300,2180,1610,890,680,680,"BUKIT BATOK",8660,0.0612230470130788,"1/1/2008","2008"
"7",7,44,"Bukit Merah",153010,7380,6630,6920,7630,7560,11780,13530,12540,11610,11750,11930,11530,9150,8040,5930,4400,2600,2100,2100,"BUKIT MERAH",23070,0.150774459185674,"1/1/2008","2008"
"8",8,62,"Bukit Panjang",124660,7590,8820,9540,10560,8350,8570,9990,10820,10940,11400,9870,6830,4060,2810,1870,1330,750,540,540,"BUKIT PANJANG",7300,0.0585592812449864,"1/1/2008","2008"
"9",9,70,"Bukit Timah",69620,3110,4360,5100,5480,4160,3920,4200,5620,6040,6090,5870,4880,3520,2580,1850,1380,730,740,740,"BUKIT TIMAH",7280,0.104567652973284,"1/1/2008","2008"
"10",10,79,"Central Water Catchment",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CENTRAL WATER CATCHMENT",0,0,"1/1/2008","2008"
