"","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY"
"4","Total","3382940","217800","253190","257690","209690","216310","262720","289180","320750","320860","286740","230370","143180","123440","89590","70640","45830","25210","19750","19750","TOTAL",251020,0.0742017298562789
"5","Ang Mo Kio","173550","8680","9670","11010","10230","13230","15030","13060","14700","15130","15300","14320","9630","8370","5670","4360","2610","1410","1160","1160","ANG MO KIO",15210,0.0876404494382022
"16","Bedok","285320","15460","19010","21810","18810","19570","21530","20810","23880","26610","25410","22440","14170","11500","8630","6860","4530","2370","1940","1940","BEDOK",24330,0.0852726762932847
"25","Bishan","88550","4670","6750","7660","5280","5350","6290","6560","7920","9280","8480","6680","3840","3300","2290","1720","1150","710","620","620","BISHAN",6490,0.0732919254658385
"29","Boon Lay","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","BOON LAY",0,0
"34","Bukit Batok","129260","9190","9950","10820","9250","8310","9760","11460","13270","13160","11660","8240","4400","3360","2380","1820","1110","630","500","500","BUKIT BATOK",6440,0.0498220640569395
"44","Bukit Merah","144830","6230","6720","7480","6980","9240","12090","11230","11380","11940","12160","12020","8690","8880","6630","5560","3820","2190","1600","1600","BUKIT MERAH",19800,0.136712007180833
"62","Bukit Panjang","112190","8840","9230","10250","7370","6850","9140","10380","11200","11430","9260","6270","3650","2820","1990","1550","990","550","410","410","BUKIT PANJANG",5490,0.0489348426776005
"70","Bukit Timah","66550","3090","4950","5580","4190","4140","4460","4450","5480","6130","6130","5550","3680","2930","2080","1610","1010","630","490","490","BUKIT TIMAH",5820,0.0874530428249436
"79","Central Water Catchment","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CENTRAL WATER CATCHMENT",0,0
"81","Changi","1090","80","90","80","70","60","80","110","90","110","80","70","40","40","30","30","20","10","10","10","CHANGI",100,0.0917431192660551
"85","Changi Bay","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CHANGI BAY",0,0
"87","Choa Chu Kang","152110","13560","16560","12790","8950","8420","10640","15710","18520","15160","11190","7420","3910","3090","2320","1820","1080","570","400","400","CHOA CHU KANG",6190,0.0406942344356058
"95","Clementi","87770","4440","4510","5070","4880","6920","8190","7170","7420","6980","7670","7890","5150","4190","2850","1990","1240","680","540","540","CLEMENTI",7300,0.0831719266264099
"105","Downtown Core","3520","130","160","180","150","210","310","330","300","270","250","310","220","220","160","130","110","50","50","50","DOWNTOWN CORE",500,0.142045454545455
"118","Geylang","115210","5810","6890","7800","6910","7610","9030","8500","9370","10760","10010","8510","5730","5710","4410","3590","2390","1240","960","960","GEYLANG",12590,0.109278708445447
"124","Hougang","205980","12530","16400","17580","14050","13370","14620","15890","19270","20850","18540","13890","8290","6900","4980","3880","2450","1350","1140","1140","HOUGANG",13800,0.066996795805418
"132","Jurong East","88390","5300","5890","6740","6230","6810","7450","7410","7620","7810","7980","6760","3920","3080","2010","1540","920","550","390","390","JURONG EAST",5410,0.061206018780405
"143","Jurong West","224370","16620","18170","17880","14900","16380","20120","21550","21910","20230","18550","14330","8050","5790","3780","2760","1710","950","710","710","JURONG WEST",9910,0.0441681151669118
"153","Kallang","89010","4290","4660","4990","4540","5470","7000","6970","7230","7780","7480","6970","4830","5090","3870","3390","2290","1200","980","980","KALLANG",11730,0.131782945736434
"163","Lim Chu Kang","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","LIM CHU KANG",0,0
"165","Mandai","1230","80","90","100","80","80","80","110","120","120","100","100","60","40","30","20","10","10","10","10","MANDAI",80,0.0650406504065041
"169","Marina East","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MARINA EAST",0,0
"171","Marina South","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MARINA SOUTH",0,0
"173","Marine Parade","45230","2040","2610","2870","2410","2690","3400","3480","3660","3970","3790","3640","2640","2500","1950","1590","970","600","410","410","MARINE PARADE",5520,0.122042891885916
"179","Museum","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MUSEUM",0,0
"183","Newton","6600","300","390","380","340","340","490","510","620","620","610","600","420","310","230","200","130","70","60","60","NEWTON",690,0.104545454545455
"190","North Eastern Islands","100","0","0","0","0","10","10","0","10","10","10","0","10","10","0","10","10","0","10","10","NORTH EASTERN ISLANDS",30,0.3
"192","Novena","41590","1930","2560","2670","2180","2420","3060","3100","3600","3960","3680","3250","2220","2060","1620","1350","870","590","480","480","NOVENA",4910,0.118057225294542
"198","Orchard","630","20","30","20","20","40","50","50","50","70","80","60","50","30","20","20","10","10","10","10","ORCHARD",70,0.111111111111111
"202","Outram","17500","570","560","640","690","1010","1290","1220","1230","1270","1400","1530","1180","1330","1070","960","700","420","440","440","OUTRAM",3590,0.205142857142857
"207","Pasir Ris","121580","10780","14700","11110","6410","5640","7380","11080","16350","13000","8840","5700","2970","2420","1800","1440","1020","530","430","430","PASIR RIS",5220,0.0429346932061194
"215","Paya Lebar","110","10","0","0","10","10","10","10","10","10","10","10","10","0","0","0","10","0","0","0","PAYA LEBAR",10,0.0909090909090909
"221","Pioneer","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","PIONEER",0,0
"227","Punggol","12860","1180","830","790","690","700","1520","1760","1330","1200","950","630","420","330","210","140","90","60","50","50","PUNGGOL",550,0.0427682737169518
"234","Queenstown","95090","4980","5110","4870","4410","5590","8040","8300","8500","7720","7310","6900","5310","5780","4590","3500","2220","1120","860","860","QUEENSTOWN",12290,0.129245977495005
"250","River Valley","9440","390","560","560","480","550","760","860","840","860","860","740","590","420","300","240","220","110","100","100","RIVER VALLEY",970,0.102754237288136
"256","Rochor","17140","670","730","850","780","1000","1360","1220","1250","1440","1350","1400","1030","1110","850","890","740","270","230","230","ROCHOR",2980,0.173862310385064
"267","Seletar","440","30","30","10","30","30","30","40","60","50","40","30","20","20","10","10","0","0","0","0","SELETAR",20,0.0454545454545455
"269","Sembawang","50650","4830","3790","3710","3020","2870","5130","6270","5260","4790","3730","2390","1360","1160","910","640","380","240","170","170","SEMBAWANG",2340,0.0461994076999013
"279","Sengkang","102650","9280","8470","7480","6120","5570","9430","12140","10760","10220","7950","5240","2890","2330","1710","1420","860","470","330","330","SENGKANG",4790,0.046663419386264
"287","Serangoon","120880","6410","8870","10240","8340","7810","8300","8430","9970","12010","11800","9280","5730","4590","3150","2500","1660","970","830","830","SERANGOON",9110,0.0753639973527465
"292","Simpang","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","SIMPANG",0,0
"297","Singapore River","1010","60","70","40","40","40","100","140","130","100","70","70","60","40","20","20","10","0","10","10","SINGAPORE RIVER",60,0.0594059405940594
"301","Southern Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","SOUTHERN ISLANDS",0,0
"304","Straits View","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","STRAITS VIEW",0,0
"306","Sungei Kadut","920","30","40","40","50","70","70","60","40","50","50","70","50","60","50","50","40","30","50","50","SUNGEI KADUT",220,0.239130434782609
"312","Tampines","252530","17590","22410","22840","18210","15970","16490","20220","25390","26380","22750","16030","8420","6470","4720","3780","2540","1370","950","950","TAMPINES",13360,0.0529046053934186
"318","Tanglin","15110","770","1080","1020","780","810","1030","1210","1420","1430","1360","1280","870","640","460","400","300","130","130","130","TANGLIN",1420,0.0939774983454666
"323","Tengah","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TENGAH",0,0
"325","Toa Payoh","117730","5380","6720","7080","6220","7140","9190","9090","9790","10640","10050","8850","6620","6890","4970","3950","2510","1500","1130","1130","TOA PAYOH",14060,0.119425804807611
"338","Tuas","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TUAS",0,0
"345","Western Islands","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","WESTERN ISLANDS",0,0
"349","Western Water Catchment","580","40","40","50","30","20","30","40","90","80","60","50","20","10","0","0","0","0","0","0","WESTERN WATER CATCHMENT",0,0
"351","Woodlands","208220","20120","20710","16810","13000","11670","15920","23590","23230","19500","14580","9910","5630","4690","3420","2540","1620","780","510","510","WOODLANDS",8870,0.0425991739506291
"361","Yishun","175020","11400","13160","15780","12590","12300","13810","14630","17470","17710","15160","10920","6400","4940","3370","2380","1470","860","660","660","YISHUN",8740,0.0499371500399954
