"","Var.1","Var.1","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY","POP_DATE","POP_DATE"
"1",1,4,"Total",3902690,183580,204450,214390,242900,264130,271030,290620,301070,316760,303410,315090,295060,240490,182430,102630,81210,51790,41660,41660,"TOTAL",459720,0.117795674265699,"1/1/2015","2015"
"2",2,5,"Ang Mo Kio",174770,6790,7660,8290,9320,10310,11170,12250,13070,13710,13000,14010,13800,12980,11050,6670,5140,3250,2300,2300,"ANG MO KIO",28410,0.162556502832294,"1/1/2015","2015"
"3",3,18,"Bedok",289750,11690,13400,14750,16930,19450,19860,19270,20850,22520,21460,23430,23380,20590,16750,9310,7330,4760,4010,4010,"BEDOK",42160,0.145504745470233,"1/1/2015","2015"
"4",4,27,"Bishan",90700,3430,4330,4710,5520,6860,6460,5720,6000,7070,6800,7540,7700,6360,4860,2730,2140,1370,1090,1090,"BISHAN",12190,0.134399117971334,"1/1/2015","2015"
"5",5,31,"Boon Lay",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOON LAY",0,0,"1/1/2015","2015"
"6",6,36,"Bukit Batok",139270,5510,6890,7970,9240,10070,10460,9760,9940,10980,11310,12190,11770,9370,5990,3060,2230,1450,1090,1090,"BUKIT BATOK",13820,0.0992317081927192,"1/1/2015","2015"
"7",7,46,"Bukit Merah",155840,7210,7480,6640,6860,7700,9340,11070,12840,12730,11320,11320,11740,10920,10030,6480,5590,3540,3010,3010,"BUKIT MERAH",28650,0.183842402464066,"1/1/2015","2015"
"8",8,64,"Bukit Panjang",139030,7330,7630,8460,9420,10400,10980,10690,10010,11180,10540,11620,10680,7880,5190,2740,2000,1290,1010,1010,"BUKIT PANJANG",12230,0.0879666259080774,"1/1/2015","2015"
"9",9,72,"Bukit Timah",74470,3140,4660,4810,4820,4980,4310,3770,4940,6630,6330,5820,5330,4550,3930,2380,1880,1210,1000,1000,"BUKIT TIMAH",10400,0.139653551765812,"1/1/2015","2015"
"10",10,81,"Central Water Catchment",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CENTRAL WATER CATCHMENT",0,0,"1/1/2015","2015"
"11",11,83,"Changi",2530,180,230,220,150,130,100,170,240,290,220,140,120,90,90,50,30,30,40,40,"CHANGI",240,0.0948616600790514,"1/1/2015","2015"
"12",12,87,"Changi Bay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHANGI BAY",0,0,"1/1/2015","2015"
"13",13,89,"Choa Chu Kang",174330,7170,9340,11380,14820,15230,11940,11540,11960,13710,15990,16190,12910,8830,5650,2990,2220,1430,1040,1040,"CHOA CHU KANG",13330,0.0764641771353181,"1/1/2015","2015"
"14",14,96,"Clementi",91630,3910,4420,4480,4690,4850,5820,6630,7310,7600,6950,6960,6550,6630,6200,3350,2600,1480,1200,1200,"CLEMENTI",14830,0.16184655680454,"1/1/2015","2015"
"15",15,106,"Downtown Core",3720,120,100,100,120,140,210,330,370,360,330,280,280,250,250,140,140,70,130,130,"DOWNTOWN CORE",730,0.196236559139785,"1/1/2015","2015"
"16",16,119,"Geylang",116960,4490,5350,5420,6320,7540,8130,8180,8720,9000,8790,9610,9620,8070,6460,3890,3290,2240,1850,1850,"GEYLANG",17730,0.151590287277702,"1/1/2015","2015"
"17",17,125,"Hougang",222310,8390,10010,11670,14390,16830,16650,15010,14840,16700,17010,19620,19270,15060,10830,5970,4670,3050,2340,2340,"HOUGANG",26860,0.120822275201295,"1/1/2015","2015"
"18",18,136,"Jurong East",84980,3290,3880,4550,4970,5760,6570,6360,6070,6530,6240,6720,7020,6420,4760,2360,1690,1040,760,760,"JURONG EAST",10610,0.124852906566251,"1/1/2015","2015"
"19",19,147,"Jurong West",272660,13600,15900,16700,18020,19070,19930,22540,23410,23070,21680,20670,19100,15870,10820,5250,3550,2080,1410,1410,"JURONG WEST",23110,0.0847575735348053,"1/1/2015","2015"
"20",20,157,"Kallang",101210,4340,4440,4480,4750,5120,6120,7250,8260,8610,7770,7820,7840,7060,6100,3910,3400,2130,1810,1810,"KALLANG",17350,0.17142574844383,"1/1/2015","2015"
"21",21,167,"Lim Chu Kang",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LIM CHU KANG",0,0,"1/1/2015","2015"
"22",22,169,"Mandai",2120,90,120,150,170,150,140,150,170,190,180,170,140,90,80,50,40,20,10,10,"MANDAI",200,0.0943396226415094,"1/1/2015","2015"
"23",23,173,"Marina East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MARINA EAST",0,0,"1/1/2015","2015"
"24",24,175,"Marina South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MARINA SOUTH",0,0,"1/1/2015","2015"
"25",25,177,"Marine Parade",48730,2180,2710,2690,2600,2690,2610,2880,3860,4580,3830,3680,3370,2890,2760,1780,1650,1030,940,940,"MARINE PARADE",8160,0.167453314180176,"1/1/2015","2015"
"26",26,183,"Museum",380,20,20,10,10,20,10,40,60,50,30,40,20,20,10,10,0,10,10,10,"MUSEUM",40,0.105263157894737,"1/1/2015","2015"
"27",27,187,"Newton",6920,300,470,330,330,340,340,400,580,740,660,610,470,430,360,180,160,120,110,110,"NEWTON",930,0.134393063583815,"1/1/2015","2015"
"28",28,194,"North-Eastern Islands",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NORTH-EASTERN ISLANDS",0,0,"1/1/2015","2015"
"29",29,196,"Novena",47990,2260,2770,2510,2540,2570,2640,3030,3980,4510,3910,3710,3360,2860,2460,1590,1380,980,930,930,"NOVENA",7340,0.152948530943947,"1/1/2015","2015"
"30",30,202,"Orchard",920,40,60,40,30,30,50,60,70,90,80,70,80,70,70,30,20,10,20,20,"ORCHARD",150,0.16304347826087,"1/1/2015","2015"
"31",31,206,"Outram",22080,1290,1080,710,750,830,1160,1680,2140,1730,1470,1590,1650,1590,1470,930,850,550,610,610,"OUTRAM",4410,0.199728260869565,"1/1/2015","2015"
"32",32,211,"Pasir Ris",139890,5760,7100,9020,12330,13410,9100,7980,9090,10360,12960,14080,10480,7040,4470,2340,1900,1350,1140,1140,"PASIR RIS",11200,0.0800629065694474,"1/1/2015","2015"
"33",33,220,"Paya Lebar",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PAYA LEBAR",0,0,"1/1/2015","2015"
"34",34,226,"Pioneer",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PIONEER",0,0,"1/1/2015","2015"
"35",35,232,"Punggol",109750,12000,9200,6190,4450,3940,6750,15690,13400,10610,6500,5540,4730,3960,3020,1560,1040,660,510,510,"PUNGGOL",6790,0.0618678815489749,"1/1/2015","2015"
"36",36,240,"Queenstown",98050,4450,4510,4360,4750,5290,6150,7110,7650,8050,7610,7500,6730,6150,5900,3950,3700,2420,1780,1780,"QUEENSTOWN",17750,0.181030086690464,"1/1/2015","2015"
"37",37,256,"River Valley",9190,420,520,520,410,470,500,640,870,1050,870,670,620,500,470,260,180,100,130,130,"RIVER VALLEY",1140,0.1240478781284,"1/1/2015","2015"
"38",38,262,"Rochor",14590,550,570,580,610,690,890,1050,1270,1260,1060,1110,1130,1050,900,620,510,340,400,400,"ROCHOR",2770,0.189856065798492,"1/1/2015","2015"
"39",39,273,"Seletar",270,10,20,20,20,10,10,0,20,40,30,40,20,10,10,0,10,0,0,0,"SELETAR",20,0.0740740740740741,"1/1/2015","2015"
"40",40,278,"Sembawang",76530,4460,5400,5370,4820,4490,5120,6380,7200,7650,6110,5670,4890,3440,2210,1280,930,620,490,490,"SEMBAWANG",5530,0.0722592447406246,"1/1/2015","2015"
"41",41,288,"Sengkang",206680,15340,15180,12630,11840,10870,14330,21130,21090,19230,14700,13630,12640,9270,6430,3350,2410,1450,1160,1160,"SENGKANG",14800,0.0716082833365589,"1/1/2015","2015"
"42",42,296,"Serangoon",120670,4070,5080,6210,7730,9160,9040,7510,7460,8540,8770,10040,10780,9160,6850,3680,2980,1930,1660,1660,"SERANGOON",17100,0.141708792574791,"1/1/2015","2015"
"43",43,304,"Simpang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SIMPANG",0,0,"1/1/2015","2015"
"44",44,309,"Singapore River",2720,200,170,120,90,80,90,280,360,410,270,190,140,100,90,50,40,10,30,30,"SINGAPORE RIVER",220,0.0808823529411765,"1/1/2015","2015"
"45",45,313,"Southern Islands",1480,90,90,80,90,80,70,60,120,160,200,180,110,70,40,20,10,10,0,0,"SOUTHERN ISLANDS",80,0.0540540540540541,"1/1/2015","2015"
"46",46,316,"Straits View",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"STRAITS VIEW",0,0,"1/1/2015","2015"
"47",47,318,"Sungei Kadut",850,30,30,40,40,40,50,50,40,60,60,50,70,50,60,40,40,30,50,50,"SUNGEI KADUT",220,0.258823529411765,"1/1/2015","2015"
"48",48,324,"Tampines",261230,11210,12260,13820,18180,21380,20420,18820,18000,18310,19840,22810,22490,17360,11470,5500,4300,2830,2240,2240,"TAMPINES",26340,0.100830685602726,"1/1/2015","2015"
"49",49,330,"Tanglin",19000,930,1290,1110,1010,960,880,1140,1580,1990,1800,1530,1260,1140,940,540,380,250,270,270,"TANGLIN",2380,0.125263157894737,"1/1/2015","2015"
"50",50,335,"Tengah",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TENGAH",0,0,"1/1/2015","2015"
"51",51,337,"Toa Payoh",124940,5040,5650,5740,6470,7330,7620,8440,9040,10140,9440,9730,9910,8290,7410,5040,4500,2810,2350,2350,"TOA PAYOH",22110,0.176964943172723,"1/1/2015","2015"
"52",52,350,"Tuas",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TUAS",0,0,"1/1/2015","2015"
"53",53,357,"Western Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WESTERN ISLANDS",0,0,"1/1/2015","2015"
"54",54,361,"Western Water Catchment",900,40,50,50,40,130,80,40,90,100,60,60,60,40,10,10,10,10,30,30,"WESTERN WATER CATCHMENT",70,0.0777777777777778,"1/1/2015","2015"
"55",55,363,"Woodlands",250290,11960,14430,17000,21030,20050,17920,18460,18680,21110,22230,21060,16810,11640,7630,4060,3090,1890,1250,1250,"WOODLANDS",17920,0.0715969475408526,"1/1/2015","2015"
"56",56,373,"Yishun",201970,10230,9950,10440,12190,14650,17010,17040,15420,15110,14950,17360,15950,12310,8340,4430,3190,1940,1480,1480,"YISHUN",19380,0.0959548447789276,"1/1/2015","2015"
