"","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY"
"4","Total","3870740","181370","205790","220800","247340","263920","265660","292290","302030","316020","308530","315500","288390","231500","161200","106820","76290","48420","38880","38880","TOTAL",431610,0.111505810258504
"5","Ang Mo Kio","178260","7150","8080","8760","9600","10550","11460","13250","13640","14140","13530","14340","13840","12910","9960","7100","4760","3040","2150","2150","ANG MO KIO",27010,0.151520251318299
"18","Bedok","293110","12180","14020","15420","17550","20010","20020","20370","21370","22550","22160","23950","23320","20360","15010","9620","6980","4510","3720","3720","BEDOK",39840,0.135921667633312
"27","Bishan","91920","3590","4500","4890","5880","6960","6340","5890","6290","7290","7050","7820","7710","6280","4280","2870","2030","1260","1020","1020","BISHAN",11460,0.12467362924282
"31","Boon Lay","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","BOON LAY",0,0
"36","Bukit Batok","141560","5870","7290","8490","9450","10180","10750","10310","10500","11270","11670","12500","11720","8690","5260","3130","2130","1330","1030","1030","BUKIT BATOK",12880,0.0909861542808703
"46","Bukit Merah","156740","7480","7320","6800","6950","7770","9400","11780","13070","12680","11510","11640","11710","10980","9120","6920","5350","3380","2860","2860","BUKIT MERAH",27630,0.176279188464974
"64","Bukit Panjang","133020","6480","7530","8410","9430","10520","9820","9810","9830","10800","10600","11480","10110","7210","4420","2690","1840","1170","880","880","BUKIT PANJANG",11000,0.0826943316794467
"72","Bukit Timah","73810","3180","4730","4690","4890","5000","4200","3670","5040","6750","6210","5850","5290","4500","3550","2390","1810","1160","920","920","BUKIT TIMAH",9830,0.133179785936865
"81","Central Water Catchment","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CENTRAL WATER CATCHMENT",0,0
"83","Changi","2530","180","220","210","150","140","110","180","280","280","220","160","110","80","70","60","20","20","40","40","CHANGI",210,0.08300395256917
"87","Changi Bay","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CHANGI BAY",0,0
"89","Choa Chu Kang","175330","7500","9730","12170","15380","14560","12030","12000","12260","14410","16700","15650","12160","8360","4860","3100","2110","1390","970","970","CHOA CHU KANG",12430,0.0708948839331546
"96","Clementi","91260","3880","4450","4600","4640","4890","5700","6900","7350","7600","7040","6950","6620","6750","5470","3500","2400","1400","1120","1120","CLEMENTI",13890,0.152202498356345
"106","Downtown Core","3700","110","100","90","130","140","220","320","370","350","340","280","270","260","240","170","120","80","140","140","DOWNTOWN CORE",750,0.202702702702703
"119","Geylang","119130","4780","5580","5780","6620","7730","8270","8550","9000","9110","9190","9930","9610","7880","5850","4210","3130","2150","1750","1750","GEYLANG",17090,0.143456727944263
"125","Hougang","219440","8180","9930","12250","15000","16710","16020","14640","14930","16560","17360","19810","18710","14310","9440","6250","4360","2810","2170","2170","HOUGANG",25030,0.11406306963179
"136","Jurong East","86570","3460","4030","4770","5150","5930","6790","6730","6280","6750","6530","6880","7100","6300","4150","2450","1590","980","710","710","JURONG EAST",9880,0.114127295829964
"147","Jurong West","271930","13900","16200","17110","18280","19150","19890","23420","23650","22910","21880","20550","18800","15090","9310","5330","3270","1880","1330","1330","JURONG WEST",21120,0.0776670466664215
"157","Kallang","102250","4460","4540","4620","4820","5270","6230","7720","8370","8720","7770","8060","7820","7030","5640","4240","3170","2080","1700","1700","KALLANG",16830,0.164596577017115
"167","Lim Chu Kang","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","LIM CHU KANG",0,0
"169","Mandai","2100","90","120","160","160","160","140","130","180","190","190","180","130","90","80","50","40","30","10","10","MANDAI",210,0.1
"173","Marina East","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MARINA EAST",0,0
"175","Marina South","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MARINA SOUTH",0,0
"177","Marine Parade","49010","2230","2760","2720","2600","2700","2620","3070","3940","4590","3890","3680","3340","2940","2590","1900","1580","990","890","890","MARINE PARADE",7950,0.162211793511528
"183","Museum","360","10","20","10","10","10","10","40","50","50","40","40","20","20","10","10","0","10","10","10","MUSEUM",40,0.111111111111111
"187","Newton","6660","290","450","310","350","320","320","400","540","730","610","570","470","410","340","180","150","110","110","110","NEWTON",890,0.133633633633634
"194","North-Eastern Islands","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NORTH-EASTERN ISLANDS",0,0
"196","Novena","47790","2270","2780","2470","2540","2610","2630","3160","4040","4490","3890","3730","3300","2860","2240","1710","1270","920","890","890","NOVENA",7030,0.147101904164051
"202","Orchard","890","30","40","30","30","40","50","60","90","90","80","90","70","70","60","20","10","10","20","20","ORCHARD",120,0.134831460674157
"206","Outram","22300","1320","1040","710","750","890","1160","1930","2160","1680","1520","1570","1660","1630","1330","1020","830","520","580","580","OUTRAM",4280,0.191928251121076
"211","Pasir Ris","137500","5700","7280","9580","12940","12570","8140","7900","9090","10520","13720","13470","9750","6510","3840","2400","1810","1250","1040","1040","PASIR RIS",10340,0.0752
"220","Paya Lebar","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","PAYA LEBAR",0,0
"226","Pioneer","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","PIONEER",0,0
"232","Punggol","98140","10430","8090","5490","3880","3630","6800","14000","12050","9170","5760","5040","4340","3600","2480","1480","930","540","450","450","PUNGGOL",5880,0.0599144079885877
"240","Queenstown","98730","4440","4550","4440","4900","5340","6070","7340","7850","8240","7790","7410","6800","6220","5510","4330","3570","2280","1650","1650","QUEENSTOWN",17340,0.175630507444546
"256","River Valley","9110","430","520","460","430","480","470","680","910","1020","870","690","590","530","420","240","170","100","130","130","RIVER VALLEY",1060,0.11635565312843
"262","Rochor","14750","550","620","560","640","730","940","1100","1290","1220","1110","1130","1130","1060","820","680","480","330","360","360","ROCHOR",2670,0.181016949152542
"273","Seletar","300","10","20","20","20","10","0","10","30","50","40","30","30","10","10","10","0","0","0","0","SELETAR",20,0.0666666666666667
