"","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY"
"278","Sembawang","75570","4550","5470","5370","4600","4530","5010","6590","7510","7480","5960","5560","4570","3220","1930","1310","890","580","450","450","SEMBAWANG",5160,0.0682810639142517
"288","Sengkang","191910","13720","14240","12180","11240","10450","12590","19120","19840","17930","14000","13200","11820","8430","5410","3320","2070","1310","1050","1050","SENGKANG",13160,0.0685738106404044
"296","Serangoon","122100","4220","5400","6560","8060","9330","9060","7680","7650","8870","9170","10360","10770","8840","6060","3840","2830","1830","1580","1580","SERANGOON",16140,0.132186732186732
"304","Simpang","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","SIMPANG",0,0
"309","Singapore River","2580","180","150","120","90","80","120","300","340","360","240","170","150","100","80","40","40","10","30","30","SINGAPORE RIVER",200,0.0775193798449612
"313","Southern Islands","1400","90","90","70","90","80","60","60","110","180","180","160","100","70","30","20","10","10","0","0","SOUTHERN ISLANDS",70,0.05
"316","Straits View","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","STRAITS VIEW",0,0
"318","Sungei Kadut","760","30","30","40","40","50","60","40","60","60","60","60","60","40","40","30","30","20","20","20","SUNGEI KADUT",140,0.184210526315789
"324","Tampines","258810","10930","12350","14560","19070","21500","19780","18650","17640","18350","20440","23230","22020","16200","9770","5620","4070","2590","2060","2060","TAMPINES",24110,0.0931571423051659
"330","Tanglin","18390","910","1200","1090","1010","940","850","1090","1580","1910","1740","1530","1220","1110","860","530","360","250","240","240","TANGLIN",2240,0.121805328983143
"335","Tengah","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TENGAH",0,0
"337","Toa Payoh","126720","5180","5760","6010","6720","7320","7810","8900","9430","10350","9640","10030","9780","8330","6850","5500","4200","2680","2260","2260","TOA PAYOH",21490,0.16958648989899
"350","Tuas","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TUAS",0,0
"357","Western Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","WESTERN ISLANDS",0,0
"361","Western Water Catchment","960","40","50","60","40","170","70","50","90","90","60","80","60","30","10","20","10","10","30","30","WESTERN WATER CATCHMENT",80,0.0833333333333333
"363","Woodlands","250180","12320","14940","18180","21200","19390","17960","18990","19030","21610","22580","20500","16010","10770","6660","4140","2970","1720","1210","1210","WOODLANDS",16700,0.066751938604205
"373","Yishun","192800","9020","9570","10550","12030","15070","15710","15480","14290","14610","15190","17110","15280","11440","7120","4420","2900","1710","1310","1310","YISHUN",17460,0.0905601659751037
