"","Var.1","Var.1","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY","POP_DATE","POP_DATE"
"1",1,4,"Total",3733880,197790,221440,248630,262780,241750,274310,297240,317310,312980,322500,297380,239950,169700,116260,87430,61490,37140,27810,27810,"TOTAL",330130,0.0884147321285098,"1/1/2009","2009"
"2",2,5,"Ang Mo Kio",179080,8240,8660,9450,10590,10760,13960,14560,14270,13870,14980,14520,13710,10670,7840,5540,3810,2230,1420,1420,"ANG MO KIO",20840,0.116372570918025,"1/1/2009","2009"
"3",3,16,"Bedok",291990,13200,15350,18000,20400,19770,21260,21330,22190,22450,24950,24550,21480,16080,10560,8120,5880,3730,2700,2700,"BEDOK",30990,0.10613377170451,"1/1/2009","2009"
"4",4,25,"Bishan",91010,4070,4830,5940,7300,6040,5860,6060,7400,7230,8240,8300,6600,4500,3090,2290,1530,1000,720,720,"BISHAN",8630,0.0948247445335677,"1/1/2009","2009"
"5",5,29,"Boon Lay",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOON LAY",0,0,"1/1/2009","2009"
"6",6,34,"Bukit Batok",144290,7710,8990,9960,10550,10630,11060,11170,12110,12540,13200,12410,9210,5610,3360,2410,1680,1010,690,690,"BUKIT BATOK",9150,0.0634139580012475,"1/1/2009","2009"
"7",7,44,"Bukit Merah",156660,7890,6860,6890,7480,7990,11690,13970,13170,11680,11770,12090,11460,9870,7910,6380,4550,2800,2210,2210,"BUKIT MERAH",23850,0.152240520873229,"1/1/2009","2009"
"8",8,62,"Bukit Panjang",127500,7520,8580,9490,10350,9260,8940,9720,11120,10690,11610,10410,7380,4590,2910,2070,1440,840,620,620,"BUKIT PANJANG",7880,0.0618039215686274,"1/1/2009","2009"
"9",9,70,"Bukit Timah",69280,3060,4310,4820,5270,4480,3790,4090,5600,5950,6060,5810,4850,3780,2530,1960,1400,790,710,710,"BUKIT TIMAH",7390,0.106668591224018,"1/1/2009","2009"
"10",10,79,"Central Water Catchment",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CENTRAL WATER CATCHMENT",0,0,"1/1/2009","2009"
"11",11,81,"Changi",1890,150,170,130,120,80,110,170,200,190,160,110,80,60,60,30,30,20,20,20,"CHANGI",160,0.0846560846560847,"1/1/2009","2009"
"12",12,85,"Changi Bay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHANGI BAY",0,0,"1/1/2009","2009"
"13",13,87,"Choa Chu Kang",171790,9680,12540,15760,14610,11300,11630,12550,15010,17300,16240,12510,8600,5060,3260,2310,1750,1030,630,630,"CHOA CHU KANG",8980,0.0522731241632225,"1/1/2009","2009"
"14",14,95,"Clementi",91000,4190,4620,4600,4760,5150,7690,7660,7630,7250,7210,6960,7140,5840,3840,2800,1770,1070,820,820,"CLEMENTI",10300,0.113186813186813,"1/1/2009","2009"
"15",15,105,"Downtown Core",3710,180,140,150,150,160,270,320,350,350,270,290,260,240,190,140,100,80,90,90,"DOWNTOWN CORE",600,0.161725067385445,"1/1/2009","2009"
"16",16,118,"Geylang",120050,5390,5830,6760,7760,7640,9070,9340,9290,9250,10150,10020,8380,6470,4940,3880,2870,1810,1240,1240,"GEYLANG",14740,0.122782174094127,"1/1/2009","2009"
"17",17,124,"Hougang",216760,9440,12040,15170,16890,15550,15410,14880,16440,17650,20250,19300,14850,9970,6780,4970,3490,2110,1580,1580,"HOUGANG",18930,0.0873316109983392,"1/1/2009","2009"
"18",18,132,"Jurong East",88520,4260,4870,5440,5990,6510,7510,7030,7240,6870,7110,7420,6660,4440,2770,1890,1270,720,520,520,"JURONG EAST",7170,0.0809986443741527,"1/1/2009","2009"
