"","Var.1","Var.1","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY","POP_DATE","POP_DATE"
"19",19,143,"Jurong West",264020,16390,17400,18330,19040,17670,23120,24670,23970,22500,21130,19370,15850,9970,5890,3890,2470,1400,960,960,"JURONG WEST",14610,0.0553367169153852,"1/1/2009","2009"
"20",20,153,"Kallang",98220,4490,4590,4840,5030,5220,6820,7830,8610,7690,8080,7840,7150,5850,4660,3730,2790,1640,1370,1370,"KALLANG",14190,0.144471594379963,"1/1/2009","2009"
"21",21,163,"Lim Chu Kang",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LIM CHU KANG",0,0,"1/1/2009","2009"
"22",22,165,"Mandai",1530,80,90,120,130,110,90,110,130,130,160,110,90,70,30,40,30,10,10,10,"MANDAI",120,0.0784313725490196,"1/1/2009","2009"
"23",23,169,"Marina East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MARINA EAST",0,0,"1/1/2009","2009"
"24",24,171,"Marina South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MARINA SOUTH",0,0,"1/1/2009","2009"
"25",25,173,"Marine Parade",46400,2090,2590,2670,2830,2480,2650,3290,4170,3870,3830,3500,3110,2730,2100,1810,1270,810,590,590,"MARINE PARADE",6580,0.141810344827586,"1/1/2009","2009"
"26",26,179,"Museum",300,40,10,10,10,0,20,30,50,30,30,20,10,20,10,10,10,10,0,0,"MUSEUM",40,0.133333333333333,"1/1/2009","2009"
"27",27,183,"Newton",5990,280,370,370,320,310,320,410,590,590,570,470,430,360,190,160,130,70,70,70,"NEWTON",620,0.103505843071786,"1/1/2009","2009"
"28",28,190,"North Eastern Islands",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NORTH EASTERN ISLANDS",0,0,"1/1/2009","2009"
"29",29,192,"Novena",46140,2360,2470,2620,2640,2440,3000,3710,4160,3970,3860,3550,3050,2370,1880,1470,1150,750,700,700,"NOVENA",5950,0.128955353272648,"1/1/2009","2009"
"30",30,198,"Orchard",750,30,30,30,30,30,50,60,60,60,90,90,70,40,30,20,10,10,20,20,"ORCHARD",90,0.12,"1/1/2009","2009"
"31",31,202,"Outram",17220,590,510,550,650,830,1160,1240,1230,1180,1300,1430,1490,1320,1130,990,730,450,440,440,"OUTRAM",3740,0.21718931475029,"1/1/2009","2009"
"32",32,207,"Pasir Ris",132060,6830,9470,13070,12850,7940,7540,8430,10320,14110,13800,9940,6560,3880,2400,1870,1460,880,700,700,"PASIR RIS",7310,0.0553536271391792,"1/1/2009","2009"
"33",33,215,"Paya Lebar",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PAYA LEBAR",0,0,"1/1/2009","2009"
"34",34,221,"Pioneer",100,10,0,0,0,0,10,20,10,10,20,10,0,0,0,0,0,0,0,0,"PIONEER",0,0,"1/1/2009","2009"
"35",35,227,"Punggol",56950,6690,4700,2790,2610,2400,3860,8430,7680,4350,3660,3060,2370,1710,1060,690,470,260,180,180,"PUNGGOL",2660,0.0467076382791923,"1/1/2009","2009"
"36",36,234,"Queenstown",98490,4690,4550,4830,4890,5100,7010,8500,8690,8120,7740,7160,6540,5840,4870,4220,2960,1680,1110,1110,"QUEENSTOWN",14840,0.150675195451315,"1/1/2009","2009"
"37",37,250,"River Valley",7980,350,420,440,460,420,560,700,790,810,710,600,550,430,260,190,120,90,100,100,"RIVER VALLEY",760,0.0952380952380952,"1/1/2009","2009"
"38",38,256,"Rochor",15930,690,640,660,760,870,1220,1480,1320,1200,1200,1270,1180,970,810,640,480,320,240,240,"ROCHOR",2490,0.156308851224105,"1/1/2009","2009"
"39",39,267,"Seletar",300,20,20,20,20,10,10,20,40,50,50,30,10,20,10,0,0,0,0,0,"SELETAR",10,0.0333333333333333,"1/1/2009","2009"
"40",40,269,"Sembawang",70080,5630,5520,4530,4410,4180,5530,7510,7860,5940,5500,4590,3230,1950,1370,980,690,360,310,310,"SEMBAWANG",3710,0.052939497716895,"1/1/2009","2009"
"41",41,279,"Sengkang",160980,13460,12000,10780,9550,9000,12470,17720,17960,13260,12500,11070,7800,4970,3150,2130,1560,930,710,710,"SENGKANG",8480,0.0526773512237545,"1/1/2009","2009"
"42",42,287,"Serangoon",124550,4970,6470,8260,9760,9120,8860,7960,8930,9480,10960,11500,9450,6590,4250,3200,2220,1390,1190,1190,"SERANGOON",12250,0.0983540746688077,"1/1/2009","2009"
"43",43,292,"Simpang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SIMPANG",0,0,"1/1/2009","2009"
"44",44,297,"Singapore River",1660,100,90,80,60,50,120,210,260,180,150,100,80,60,50,30,10,20,20,20,"SINGAPORE RIVER",130,0.0783132530120482,"1/1/2009","2009"
"45",45,301,"Southern Islands",380,30,20,20,20,20,10,20,40,60,60,30,30,10,10,0,0,0,0,0,"SOUTHERN ISLANDS",10,0.0263157894736842,"1/1/2009","2009"
"46",46,304,"Straits View",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"STRAITS VIEW",0,0,"1/1/2009","2009"
"47",47,306,"Sungei Kadut",860,30,30,30,40,50,50,60,70,50,50,60,50,60,50,50,40,40,60,60,"SUNGEI KADUT",240,0.27906976744186,"1/1/2009","2009"
"48",48,312,"Tampines",261340,12500,15380,19780,22170,19890,19450,18190,19490,21830,24450,23140,17080,10520,6120,4570,3260,2040,1510,1510,"TAMPINES",17500,0.0669625774852682,"1/1/2009","2009"
"49",49,318,"Tanglin",16690,830,1080,1040,1020,790,870,1190,1550,1690,1610,1310,1170,910,560,390,290,220,180,180,"TANGLIN",1640,0.0982624325943679,"1/1/2009","2009"
"50",50,323,"Tengah",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TENGAH",0,0,"1/1/2009","2009"
"51",51,325,"Toa Payoh",122910,5140,5710,6440,7110,6740,8690,9270,9840,9590,10110,10150,8620,7260,6040,4940,3480,2060,1720,1720,"TOA PAYOH",18240,0.148401269221381,"1/1/2009","2009"
"52",52,338,"Tuas",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TUAS",0,0,"1/1/2009","2009"
"53",53,345,"Western Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WESTERN ISLANDS",0,0,"1/1/2009","2009"
"54",54,349,"Western Water Catchment",1010,60,70,60,30,150,60,80,110,80,110,70,50,20,10,10,10,10,30,30,"WESTERN WATER CATCHMENT",70,0.0693069306930693,"1/1/2009","2009"
"55",55,351,"Woodlands",242760,15140,18790,21590,19340,16190,17880,19360,22760,23510,21130,16630,11260,7070,4530,3340,2220,1260,760,760,"WOODLANDS",12110,0.0498846597462514,"1/1/2009","2009"
"56",56,361,"Yishun",184360,9320,10640,12110,14790,14430,14610,13860,14620,15380,17410,15550,11970,7500,4780,3260,2080,1190,880,880,"YISHUN",12190,0.0661206335430679,"1/1/2009","2009"
