"","Var.1","Var.1","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY","POP_DATE","POP_DATE"
"1",1,4,"Total",3965800,187650,200580,206250,232970,259070,290200,279340,300960,311480,303460,312810,301680,262650,203970,119490,91950,54340,46940,46940,"TOTAL",516690,0.130286449140148,"1/1/2017","2017"
"2",2,5,"Ang Mo Kio",166820,5930,6710,7590,8450,9600,11150,10150,11850,12640,12390,13200,13220,12950,11640,7440,5890,3330,2670,2670,"ANG MO KIO",30970,0.185649202733485,"1/1/2017","2017"
"3",3,18,"Bedok",284930,10980,12510,13620,15870,18160,20560,17500,19580,21630,21310,22260,23160,21300,18210,10910,8050,4940,4400,4400,"BEDOK",46510,0.163233074790299,"1/1/2017","2017"
"4",4,27,"Bishan",90280,3250,4080,4560,5040,6260,7360,5130,5690,6650,6780,7240,7600,6910,5430,3140,2430,1460,1300,1300,"BISHAN",13760,0.152414709791759,"1/1/2017","2017"
"5",5,31,"Boon Lay",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOON LAY",0,0,"1/1/2017","2017"
"6",6,36,"Bukit Batok",138290,5090,6290,7300,8750,9680,10940,9220,9460,10360,10920,11730,11930,10360,7170,3690,2640,1480,1280,1280,"BUKIT BATOK",16260,0.117579000650806,"1/1/2017","2017"
"7",7,46,"Bukit Merah",152790,6720,7000,6520,6690,7250,9550,9790,11840,12400,11300,11090,11250,10990,10400,6920,6130,3680,3280,3280,"BUKIT MERAH",30410,0.199031350219255,"1/1/2017","2017"
"8",8,64,"Bukit Panjang",141930,7620,7540,7960,9140,9960,11650,10820,10220,10740,10580,11230,11270,9000,6100,3320,2320,1350,1130,1130,"BUKIT PANJANG",14220,0.100190234622701,"1/1/2017","2017"
"9",9,72,"Bukit Timah",76380,3220,4730,4760,4760,4820,4800,3810,4710,6310,6800,5940,5330,4860,4180,2770,2110,1310,1170,1170,"BUKIT TIMAH",11540,0.15108667190364,"1/1/2017","2017"
"10",10,81,"Central Water Catchment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CENTRAL WATER CATCHMENT",0,0,"1/1/2017","2017"
"11",11,83,"Changi",2220,150,190,180,140,110,100,150,210,240,170,130,120,100,90,40,50,20,30,30,"CHANGI",230,0.103603603603604,"1/1/2017","2017"
"12",12,87,"Changi Bay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHANGI BAY",0,0,"1/1/2017","2017"
"13",13,89,"Choa Chu Kang",186580,8610,9270,10760,14010,16490,15340,12670,12640,13340,15300,17270,14350,10650,6880,3550,2620,1590,1240,1240,"CHOA CHU KANG",15880,0.0851109443670276,"1/1/2017","2017"
"14",14,96,"Clementi",92580,3990,4440,4390,4630,4740,5810,6240,7150,7560,7110,7060,6360,6570,6470,4020,3000,1690,1360,1360,"CLEMENTI",16540,0.178656297256427,"1/1/2017","2017"
"15",15,106,"Downtown Core",2470,110,70,60,70,90,160,260,300,280,240,190,160,130,130,70,50,40,70,70,"DOWNTOWN CORE",360,0.145748987854251,"1/1/2017","2017"
"16",16,119,"Geylang",113460,4280,4730,5020,5650,6830,8520,7600,8060,8610,8360,8880,9330,8610,6930,4240,3560,2250,2010,2010,"GEYLANG",18990,0.16737176097303,"1/1/2017","2017"
"17",17,125,"Hougang",224390,8640,9360,10720,13370,15960,17940,15190,14780,16140,16410,18750,19580,17060,12410,7070,5290,3090,2640,2640,"HOUGANG",30500,0.135924060787023,"1/1/2017","2017"
"18",18,136,"Jurong East",83590,3190,3540,4080,4780,5320,6610,5780,5870,6170,6160,6330,6770,6660,5400,2890,2040,1070,930,930,"JURONG EAST",12330,0.147505682497906,"1/1/2017","2017"
"19",19,147,"Jurong West",267840,12260,14680,15740,17180,18620,20290,19240,22210,22170,21320,20780,19080,17070,12600,6510,4200,2250,1670,1670,"JURONG WEST",27230,0.101665173237754,"1/1/2017","2017"
"20",20,157,"Kallang",101610,4110,4340,4350,4580,4960,6390,6650,7790,8430,8050,7670,7870,7410,6730,4280,3770,2230,2000,2000,"KALLANG",19010,0.187087885050684,"1/1/2017","2017"
"21",21,167,"Lim Chu Kang",110,0,10,10,10,10,0,10,0,10,10,10,10,10,10,10,0,0,0,0,"LIM CHU KANG",20,0.181818181818182,"1/1/2017","2017"
"22",22,169,"Mandai",2130,90,110,150,160,160,150,130,150,180,180,170,150,110,80,60,40,20,20,20,"MANDAI",220,0.103286384976526,"1/1/2017","2017"
"23",23,173,"Marina East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MARINA EAST",0,0,"1/1/2017","2017"
"24",24,175,"Marina South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MARINA SOUTH",0,0,"1/1/2017","2017"
"25",25,177,"Marine Parade",47890,2130,2550,2530,2510,2570,2680,2550,3600,4240,4030,3550,3360,2980,2740,1970,1740,1140,1040,1040,"MARINE PARADE",8630,0.180204635623303,"1/1/2017","2017"
