"","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY"
"118","Geylang","112060","5180","6350","7410","7130","7180","8160","8460","8500","9980","10110","8630","6670","5430","4490","3550","2520","1290","1030","1030","GEYLANG",12880,0.114938425843298
"124","Hougang","205240","10930","14680","16940","15310","13630","13580","15330","17110","20350","19670","15260","10360","7200","5460","4110","2660","1500","1160","1160","HOUGANG",14890,0.0725492106801793
"132","Jurong East","85850","4730","5460","6140","6360","6550","6840","7080","7010","7360","7770","7030","4790","3060","2180","1550","980","570","410","410","JURONG EAST",5690,0.0662783925451369
"143","Jurong West","229570","16020","17520","18200","15910","16020","19290","21710","21520","20730","19230","15970","10250","6310","4290","2940","1840","1020","800","800","JURONG WEST",10890,0.0474365117393388
"153","Kallang","86560","3950","4320","4690","4510","4990","6190","7130","6760","7450","7530","6880","5740","4670","3990","3300","2150","1270","1070","1070","KALLANG",11780,0.136090573012939
"163","Lim Chu Kang","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","LIM CHU KANG",0,0
"165","Mandai","1480","100","120","120","100","80","90","120","150","160","110","100","100","40","40","30","10","10","10","10","MANDAI",100,0.0675675675675676
"169","Marina East","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MARINA EAST",0,0
"171","Marina South","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MARINA SOUTH",0,0
"173","Marine Parade","43020","1920","2400","2700","2470","2400","2880","3370","3380","3720","3730","3310","2840","2310","2000","1510","1030","610","450","450","MARINE PARADE",5600,0.130172013017201
"179","Museum","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MUSEUM",0,0
"183","Newton","6420","300","390","380","360","310","440","520","600","630","640","520","460","260","210","170","100","80","60","60","NEWTON",620,0.0965732087227414
"190","North Eastern Islands","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NORTH EASTERN ISLANDS",0,0
"192","Novena","41030","1850","2360","2580","2340","2320","2920","3220","3370","3780","3690","3210","2530","1980","1580","1320","910","530","550","550","NOVENA",4890,0.119181087009505
"198","Orchard","590","10","30","30","30","30","40","50","40","50","70","60","60","30","20","10","10","10","10","10","ORCHARD",60,0.101694915254237
"202","Outram","15860","470","510","530","630","830","1130","1120","1080","1140","1300","1410","1250","1140","1050","880","590","360","450","450","OUTRAM",3330,0.209962168978562
"207","Pasir Ris","121340","9080","13040","12920","7630","5880","6260","9460","14370","14210","10110","6530","3870","2430","1910","1540","1050","610","450","450","PASIR RIS",5560,0.0458216581506511
"215","Paya Lebar","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","PAYA LEBAR",0,0
"221","Pioneer","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","PIONEER",0,0
"227","Punggol","36360","3900","2170","2070","1770","1600","4870","6010","3450","2990","2360","1690","1250","790","570","400","250","130","100","100","PUNGGOL",1450,0.0398789878987899
"234","Queenstown","92800","4500","4820","4760","4470","5010","7270","8060","8080","7760","7310","6620","6050","5170","4760","3680","2300","1240","920","920","QUEENSTOWN",12900,0.139008620689655
"250","River Valley","9200","420","490","550","480","500","760","870","860","840","860","720","620","350","280","210","180","120","110","110","RIVER VALLEY",900,0.0978260869565217
"256","Rochor","14720","570","640","730","750","860","1150","1160","1090","1160","1290","1190","1020","900","730","620","450","230","200","200","ROCHOR",2230,0.151494565217391
"267","Seletar","410","30","30","10","20","10","30","50","60","70","40","30","30","10","10","10","0","0","0","0","SELETAR",20,0.0487804878048781
"269","Sembawang","57820","5480","4250","4070","3710","3350","4990","7420","5620","5330","4500","3140","1900","1370","1060","720","460","260","210","210","SEMBAWANG",2710,0.0468695952957454
"279","Sengkang","122270","10980","9890","8560","7610","6740","9680","15470","12330","11480","10010","6830","4260","2760","2060","1590","1050","580","410","410","SENGKANG",5690,0.0465363539707205
"287","Serangoon","118230","5620","7850","9610","9080","7850","7420","8120","8880","11020","11870","9760","6980","4540","3450","2560","1660","1090","880","880","SERANGOON",9640,0.0815359891736446
"292","Simpang","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","SIMPANG",0,0
"297","Singapore River","1020","70","60","40","40","40","100","160","150","100","70","60","50","30","20","10","20","0","10","10","SINGAPORE RIVER",60,0.0588235294117647
"301","Southern Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","SOUTHERN ISLANDS",0,0
"304","Straits View","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","STRAITS VIEW",0,0
"306","Sungei Kadut","800","20","30","40","40","50","80","60","40","40","60","50","60","50","60","30","30","30","50","50","SUNGEI KADUT",200,0.25
"312","Tampines","249430","15050","20090","22570","19630","16780","15580","18350","22640","25420","24030","17770","10960","6590","4970","3910","2570","1500","1050","1050","TAMPINES",14000,0.0561279717756485
"318","Tanglin","15120","790","1080","1040","830","760","930","1250","1460","1520","1340","1210","990","610","450","340","260","160","110","110","TANGLIN",1320,0.0873015873015873
"323","Tengah","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TENGAH",0,0
"325","Toa Payoh","114490","4920","6060","6760","6230","6750","8020","8970","9010","10060","10230","8760","7380","6390","5460","4030","2650","1550","1270","1270","TOA PAYOH",14960,0.130666433749672
"338","Tuas","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TUAS",0,0
"345","Western Islands","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","WESTERN ISLANDS",0,0
"349","Western Water Catchment","630","60","50","30","40","30","30","60","70","100","70","50","30","10","0","0","0","0","0","0","WESTERN WATER CATCHMENT",0,0
"351","Woodlands","217290","18180","21330","18500","14610","12940","14920","22220","23640","21030","16870","11460","7240","4780","3730","2670","1750","870","570","570","WOODLANDS",9590,0.044134566708086
"361","Yishun","173120","10490","12000","14680","13580","12240","12670","14320","15510","17630","15640","12200","7840","5130","3590","2490","1590","880","670","670","YISHUN",9220,0.0532578558225508
