"","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY"
"4","Total","3413270","204820","240520","257280","227420","215220","246710","290490","302910","321060","300670","244110","174790","122740","96010","72490","47880","26860","21310","21310","TOTAL",264550,0.0775063209180639
"5","Ang Mo Kio","168920","7990","8980","10280","10090","11780","13720","13050","13410","14860","14820","14110","11130","8370","6140","4590","2880","1510","1210","1210","ANG MO KIO",16330,0.0966729812929197
"16","Bedok","278960","13980","17570","20480","19560","18880","19560","20250","21670","25320","25390","22410","17120","11400","9100","6910","4780","2530","2050","2050","BEDOK",25370,0.0909449383424147
"25","Bishan","86710","4130","5660","7360","6020","5190","5670","6770","6880","8420","8740","6990","4760","3260","2470","1790","1230","730","630","630","BISHAN",6850,0.0789989620574328
"29","Boon Lay","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","BOON LAY",0,0
"34","Bukit Batok","132680","8650","9920","10460","10100","8810","9430","11280","12660","13250","12450","9390","5780","3520","2600","1960","1240","670","550","550","BUKIT BATOK",7020,0.052909255351221
"44","Bukit Merah","141310","6040","6320","7050","7070","8180","10920","11410","10810","11340","11960","11440","9970","8190","7050","5620","3860","2300","1790","1790","BUKIT MERAH",20620,0.145920317033472
"62","Bukit Panjang","117700","8640","9170","10180","8700","7350","8700","11100","10690","11680","10440","7410","4600","3040","2250","1650","1090","580","440","440","BUKIT PANJANG",6010,0.0510620220900595
"70","Bukit Timah","65650","3010","4520","5390","4730","3890","4080","4410","5130","6000","6210","5380","4130","2880","2200","1570","1020","620","490","490","BUKIT TIMAH",5900,0.0898705255140899
"79","Central Water Catchment","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CENTRAL WATER CATCHMENT",0,0
"81","Changi","1440","140","120","120","80","70","130","160","150","130","100","70","50","40","30","30","20","10","10","10","CHANGI",100,0.0694444444444444
"85","Changi Bay","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CHANGI BAY",0,0
"87","Choa Chu Kang","157800","12220","15720","14500","10600","8970","10180","14390","17630","16580","12760","8840","5210","3320","2480","2020","1280","610","490","490","CHOA CHU KANG",6880,0.0435994930291508
"95","Clementi","85680","4340","4410","4650","4690","6160","7720","7250","6790","7140","7010","7350","6180","4170","3120","2040","1300","760","620","620","CLEMENTI",7840,0.0915032679738562
"105","Downtown Core","3280","100","130","130","140","180","280","290","290","250","250","270","250","200","170","130","110","50","60","60","DOWNTOWN CORE",520,0.158536585365854
