"","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY"
"262","Rochor","15440","640","620","630","710","830","1060","1340","1370","1170","1190","1240","1110","1080","680","700","490","330","270","270","ROCHOR",2470,0.159974093264249
"273","Seletar","310","20","20","20","20","10","10","10","40","40","40","30","20","10","10","10","10","0","0","0","SELETAR",30,0.0967741935483871
"278","Sembawang","73120","5320","5490","5030","4360","4520","5390","7380","8050","6320","5790","5160","3760","2560","1350","1140","760","430","310","310","SEMBAWANG",3990,0.0545678336980306
"288","Sengkang","171250","13280","12440","11500","9980","9540","12180","18350","18930","14590","12910","12200","9210","6640","3270","2670","1690","1090","790","790","SENGKANG",9510,0.0555328467153285
"296","Serangoon","123610","4610","5760","7680","9130","9430","8520","8060","8570","8950","10320","11270","10120","8050","4180","3610","2430","1620","1300","1300","SERANGOON",13140,0.106302079119812
"304","Simpang","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","SIMPANG",0,0
"309","Singapore River","2150","120","110","100","90","70","140","240","310","300","200","140","100","80","60","40","10","20","20","20","SINGAPORE RIVER",150,0.0697674418604651
"313","Southern Islands","880","50","60","50","50","50","40","50","80","130","120","80","70","30","20","10","10","10","0","0","SOUTHERN ISLANDS",50,0.0568181818181818
"316","Straits View","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","STRAITS VIEW",0,0
"318","Sungei Kadut","860","30","20","30","40","40","50","50","60","50","60","60","50","70","50","50","40","40","60","60","SUNGEI KADUT",240,0.27906976744186
"324","Tampines","260850","11740","13560","17700","21420","21100","19230","18830","18700","19920","23220","23690","19340","13460","6150","5170","3540","2350","1740","1740","TAMPINES",18950,0.0726471152003067
"330","Tanglin","17510","880","1040","1050","1060","880","880","1170","1610","1790","1620","1390","1210","1090","620","470","300","240","210","210","TANGLIN",1840,0.105082809822958
"335","Tengah","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TENGAH",0,0
"337","Toa Payoh","125570","5060","5620","6470","7310","7260","7900","9180","9970","9670","10100","10490","9130","8360","5410","5610","3750","2350","1930","1930","TOA PAYOH",19050,0.151708210559847
"350","Tuas","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TUAS",0,0
"357","Western Islands","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","WESTERN ISLANDS",0,0
"361","Western Water Catchment","1000","50","70","50","30","180","70","70","100","80","80","80","50","20","10","10","10","10","30","30","WESTERN WATER CATCHMENT",70,0.07
"363","Woodlands","247410","13780","16640","21240","20620","17700","17570","19400","21340","23110","22400","18240","13230","8850","4480","3880","2550","1440","930","930","WOODLANDS",13280,0.0536760842326503
"373","Yishun","185490","8530","9760","11590","13670","15160","14320","14060","14320","14290","17040","16470","13340","9510","4770","3870","2410","1410","980","980","YISHUN",13440,0.0724567362121947
