"","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY"
"4","Total","3789250","188250","208120","240540","260740","255070","262610","297560","316160","306610","323990","308130","260680","208160","112400","100070","66910","42150","31120","31120","TOTAL",352650,0.0930659101405291
"5","Ang Mo Kio","178760","7650","8210","9280","10220","10600","12540","14340","14390","13420","14740","14430","13970","12660","7390","6580","4150","2570","1630","1630","ANG MO KIO",22320,0.124860147684046
"18","Bedok","295380","13060","14430","17230","19600","20590","20410","21640","22710","22080","24210","24820","22340","19420","10470","8980","6310","4120","2980","2980","BEDOK",32860,0.111246529893696
"27","Bishan","90810","3750","4490","5390","6830","6730","5750","5970","6850","7030","7800","8220","7090","5680","2970","2640","1720","1080","830","830","BISHAN",9240,0.101750908490254
"31","Boon Lay","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","BOON LAY",0,0
"36","Bukit Batok","143380","6760","7990","9560","10150","10770","10870","10770","11480","12050","12740","12610","10520","7160","3440","2750","1890","1100","770","770","BUKIT BATOK",9950,0.0693960106011996
"46","Bukit Merah","156370","7820","6760","6960","7340","7910","10110","13310","13480","11690","11890","11890","11540","11270","7040","7180","4760","3030","2410","2410","BUKIT MERAH",24420,0.156168062927672
"64","Bukit Panjang","129400","6840","7980","9180","9880","10270","9010","9530","10890","10260","11410","11100","8440","5900","3050","2360","1620","970","720","720","BUKIT PANJANG",8720,0.067387944358578
"72","Bukit Timah","70420","3100","4400","4660","5080","4750","3690","3920","5480","6170","6120","5720","4970","4340","2600","2210","1490","960","760","760","BUKIT TIMAH",8020,0.113888099971599
"81","Central Water Catchment","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CENTRAL WATER CATCHMENT",0,0
"83","Changi","2420","190","210","190","140","120","120","210","280","250","190","140","90","90","50","40","40","20","40","40","CHANGI",190,0.0785123966942149
"87","Changi Bay","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CHANGI BAY",0,0
"89","Choa Chu Kang","173760","8720","11000","14530","15840","12340","11580","12410","13860","15980","17380","13930","9930","6580","3210","2730","1830","1180","730","730","CHOA CHU KANG",9680,0.0557090239410681
"96","Clementi","91650","4210","4370","4810","4710","5070","6270","7690","7800","7240","7550","6740","7000","7060","3710","3300","1980","1260","900","900","CLEMENTI",11150,0.121658483360611
"106","Downtown Core","3690","120","120","130","140","170","250","300","350","340","300","310","260","290","160","180","100","80","100","100","DOWNTOWN CORE",620,0.168021680216802
"119","Geylang","120120","5300","5540","6470","7420","7730","8410","9370","9630","8960","9820","10120","8950","7540","4340","4220","2970","1960","1380","1380","GEYLANG",14870,0.123792873792874
"125","Hougang","217220","8880","10790","13930","16360","16340","15090","14920","15990","16560","19580","19850","16420","12220","6650","5650","3810","2370","1800","1800","HOUGANG",20280,0.0933615689163061
"136","Jurong East","86980","3810","4440","5120","5640","6260","7000","7000","6830","6590","6910","7210","6860","5630","2720","2200","1360","820","610","610","JURONG EAST",7710,0.0886410669119338
"147","Jurong West","270140","15530","16760","18200","18960","18640","21570","25090","24340","22440","22060","19940","17620","12860","5970","4660","2840","1590","1060","1060","JURONG WEST",16120,0.0596727622714148
"157","Kallang","101980","4490","4580","4830","5090","5410","6750","8120","8860","8200","8000","8240","7590","7040","4230","4340","2900","1910","1410","1410","KALLANG",14790,0.145028436948421
"167","Lim Chu Kang","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","LIM CHU KANG",0,0
"169","Mandai","2030","120","120","180","160","130","120","130","190","190","190","150","110","90","60","40","30","20","10","10","MANDAI",160,0.0788177339901478
"173","Marina East","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MARINA EAST",0,0
"175","Marina South","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MARINA SOUTH",0,0
"177","Marine Parade","48350","2260","2670","2760","2840","2670","2530","3430","4330","4160","3950","3640","3190","3070","1980","1920","1380","930","650","650","MARINE PARADE",6860,0.141882109617373
"183","Museum","350","20","10","10","10","10","20","40","60","40","40","30","20","20","10","10","10","10","10","10","MUSEUM",50,0.142857142857143
"187","Newton","6390","300","400","350","350","320","320","410","600","680","620","480","450","400","230","170","140","90","80","80","NEWTON",710,0.111111111111111
"194","North-Eastern Islands","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NORTH-EASTERN ISLANDS",0,0
"196","Novena","46820","2310","2540","2570","2610","2590","2740","3480","4190","4030","4040","3610","3140","2760","1730","1670","1220","840","770","770","NOVENA",6230,0.133062793677915
"202","Orchard","820","40","40","40","30","40","40","60","90","70","70","80","70","70","30","20","10","10","10","10","ORCHARD",80,0.0975609756097561
"206","Outram","21680","1220","750","690","780","920","1460","2190","1860","1500","1540","1590","1630","1620","1070","1110","800","490","480","480","OUTRAM",3950,0.18219557195572
"211","Pasir Ris","133790","6220","8040","11570","13920","9680","7340","8370","9690","12070","14650","11320","7730","5120","2480","2150","1610","1020","820","820","PASIR RIS",8080,0.0603931534494357
"220","Paya Lebar","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","PAYA LEBAR",0,0
"226","Pioneer","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","PIONEER",0,0
"232","Punggol","64530","6550","5510","3620","2800","2840","4330","8120","9010","5350","4270","3570","2870","2390","1180","960","600","320","230","230","PUNGGOL",3290,0.0509840384317372
"240","Queenstown","97830","4510","4320","4680","4860","4970","6400","7850","8650","7930","8030","7160","6580","6580","4280","4570","3220","1970","1270","1270","QUEENSTOWN",15310,0.156495962383727
"256","River Valley","8380","360","430","440","500","420","510","680","810","890","810","660","570","470","280","230","130","100","100","100","RIVER VALLEY",840,0.100238663484487
