"","Var.1","Var.1","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY","POP_DATE","POP_DATE"
"1",1,4,"Total",3467810,199530,237240,258550,234920,218950,247800,293410,299150,321470,307550,254170,197800,117580,101090,76550,51600,27880,22580,22580,"TOTAL",279700,0.0806560913083473,"1/1/2005","2005"
"2",2,5,"Ang Mo Kio",169210,7670,8830,10060,10020,11470,13540,13380,12950,14700,14880,14180,12360,7880,6560,4840,3110,1580,1220,1220,"ANG MO KIO",17310,0.102298918503635,"1/1/2005","2005"
"3",3,16,"Bedok",280060,13410,16960,20150,20050,18810,19510,20400,20980,24720,25550,22860,19050,10960,9420,7230,5150,2680,2180,2180,"BEDOK",26660,0.0951938870242091,"1/1/2005","2005"
"4",4,25,"Bishan",87770,4080,5410,7310,6340,5260,5520,6870,6860,8240,8790,7220,5450,3200,2620,1940,1280,740,660,660,"BISHAN",7240,0.0824883217500285,"1/1/2005","2005"
"5",5,29,"Boon Lay",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOON LAY",0,0,"1/1/2005","2005"
"6",6,34,"Bukit Batok",135420,8330,9910,10530,10250,9360,9520,11300,12490,13230,12730,10100,6730,3480,2720,2120,1360,690,550,550,"BUKIT BATOK",7440,0.0549401860877271,"1/1/2005","2005"
"7",7,44,"Bukit Merah",142700,6040,6320,7020,7110,7960,11010,11870,10900,11210,11960,11410,11050,7620,7340,5780,4010,2330,1780,1780,"BUKIT MERAH",21240,0.148843728100911,"1/1/2005","2005"
"8",8,62,"Bukit Panjang",119720,8500,9190,10040,9260,7680,8390,11220,10390,11570,10770,8040,5290,3000,2350,1760,1190,610,480,480,"BUKIT PANJANG",6390,0.053374540594721,"1/1/2005","2005"
"9",9,70,"Bukit Timah",67490,3110,4470,5380,4910,4060,4150,4490,5240,6100,6220,5480,4670,2810,2350,1670,1140,660,590,590,"BUKIT TIMAH",6410,0.0949770336346125,"1/1/2005","2005"
"10",10,79,"Central Water Catchment",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CENTRAL WATER CATCHMENT",0,0,"1/1/2005","2005"
