"","Var.1","Var.1","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY","POP_DATE","POP_DATE"
"11",11,81,"Changi",1460,150,130,120,70,70,110,170,160,120,110,70,60,40,30,20,30,10,10,10,"CHANGI",100,0.0684931506849315,"1/1/2005","2005"
"12",12,85,"Changi Bay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHANGI BAY",0,0,"1/1/2005","2005"
"13",13,87,"Choa Chu Kang",161190,11500,15280,15360,11070,9480,10310,13910,17060,17340,13630,9420,6130,3300,2630,2130,1420,680,550,550,"CHOA CHU KANG",7410,0.0459705937092872,"1/1/2005","2005"
"14",14,95,"Clementi",85880,4250,4490,4500,4650,5870,7600,7450,6800,7110,6870,7240,6820,3980,3290,2180,1410,760,640,640,"CLEMENTI",8280,0.0964136003726129,"1/1/2005","2005"
"15",15,105,"Downtown Core",3270,110,120,130,140,170,260,280,300,260,270,260,270,180,180,130,100,50,70,70,"DOWNTOWN CORE",530,0.162079510703364,"1/1/2005","2005"
"16",16,118,"Geylang",113250,5120,6310,7280,7160,7150,8250,8690,8540,9860,10290,8820,7400,4960,4640,3700,2640,1370,1070,1070,"GEYLANG",13420,0.118498896247241,"1/1/2005","2005"
"17",17,124,"Hougang",206680,10360,13910,16950,15730,13890,13690,15220,16490,19920,20090,15980,11810,6900,5760,4370,2880,1520,1210,1210,"HOUGANG",15740,0.076156377007935,"1/1/2005","2005"
"18",18,132,"Jurong East",86010,4520,5280,6030,6300,6550,6930,7040,6860,7280,7660,7120,5520,2950,2260,1650,1050,570,440,440,"JURONG EAST",5970,0.0694105336588769,"1/1/2005","2005"
"19",19,143,"Jurong West",233750,15680,17340,18300,16490,16180,19340,21980,21320,21000,19610,16810,11840,6180,4600,3200,1990,1050,840,840,"JURONG WEST",11680,0.0499679144385027,"1/1/2005","2005"
"20",20,153,"Kallang",88050,3930,4350,4570,4610,4990,6300,7320,6950,7330,7630,7080,6320,4290,4260,3360,2300,1280,1190,1190,"KALLANG",12390,0.140715502555366,"1/1/2005","2005"
"21",21,163,"Lim Chu Kang",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LIM CHU KANG",0,0,"1/1/2005","2005"
"22",22,165,"Mandai",1510,90,130,110,100,90,100,120,150,160,120,100,100,50,40,30,20,10,10,10,"MANDAI",110,0.0728476821192053,"1/1/2005","2005"
"23",23,169,"Marina East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MARINA EAST",0,0,"1/1/2005","2005"
"24",24,171,"Marina South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MARINA SOUTH",0,0,"1/1/2005","2005"
"25",25,173,"Marine Parade",43720,1900,2420,2730,2540,2390,2890,3370,3450,3750,3760,3350,3100,2160,2090,1570,1150,630,480,480,"MARINE PARADE",5920,0.135407136322049,"1/1/2005","2005"
"26",26,179,"Museum",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MUSEUM",0,0,"1/1/2005","2005"
"27",27,183,"Newton",6760,340,410,390,380,330,440,560,630,660,650,570,500,290,210,180,110,80,60,60,"NEWTON",640,0.0946745562130177,"1/1/2005","2005"
"28",28,190,"North Eastern Islands",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NORTH EASTERN ISLANDS",0,0,"1/1/2005","2005"
"29",29,192,"Novena",43040,1940,2490,2630,2400,2420,3030,3450,3550,3910,3830,3320,2830,1930,1760,1380,1000,560,610,610,"NOVENA",5310,0.123373605947955,"1/1/2005","2005"
"30",30,198,"Orchard",610,20,20,30,30,40,40,60,40,50,60,70,60,30,20,10,10,10,10,10,"ORCHARD",60,0.0983606557377049,"1/1/2005","2005"
"31",31,202,"Outram",15730,450,480,530,600,830,1070,1120,1070,1160,1280,1330,1380,1050,1090,870,650,340,450,450,"OUTRAM",3400,0.216147488874762,"1/1/2005","2005"
"32",32,207,"Pasir Ris",122570,8270,12230,13700,8420,6060,6210,8900,13230,14750,10770,7070,4550,2390,2020,1650,1140,710,500,500,"PASIR RIS",6020,0.049114791547687,"1/1/2005","2005"
"33",33,215,"Paya Lebar",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PAYA LEBAR",0,0,"1/1/2005","2005"
"34",34,221,"Pioneer",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PIONEER",0,0,"1/1/2005","2005"
"35",35,227,"Punggol",42500,4860,2670,2210,2020,1760,5000,7620,4090,3320,2710,1980,1600,890,660,520,320,160,110,110,"PUNGGOL",1770,0.0416470588235294,"1/1/2005","2005"
"36",36,234,"Queenstown",92970,4340,4700,4820,4510,4900,7240,8130,7940,7860,7340,6650,6500,4730,4860,3810,2480,1220,930,930,"QUEENSTOWN",13300,0.143056900075293,"1/1/2005","2005"
"37",37,250,"River Valley",9330,420,490,530,510,500,770,860,890,830,860,720,660,390,300,220,180,110,100,100,"RIVER VALLEY",910,0.097534833869239,"1/1/2005","2005"
"38",38,256,"Rochor",14970,580,630,710,760,830,1190,1220,1140,1150,1320,1190,1110,840,770,600,480,230,210,210,"ROCHOR",2290,0.152972611890448,"1/1/2005","2005"
"39",39,267,"Seletar",440,40,20,10,20,10,20,40,60,70,50,30,30,20,10,10,0,0,0,0,"SELETAR",20,0.0454545454545455,"1/1/2005","2005"
"40",40,269,"Sembawang",60750,5690,4590,4040,3990,3570,4940,7760,5960,5420,4800,3450,2250,1360,1130,820,480,290,230,230,"SEMBAWANG",2950,0.048559670781893,"1/1/2005","2005"
"41",41,279,"Sengkang",130330,11460,10620,8910,8150,7150,9980,16470,13000,11890,10750,7630,5230,2740,2280,1770,1180,640,500,500,"SENGKANG",6370,0.048875930330699,"1/1/2005","2005"
"42",42,287,"Serangoon",120130,5430,7610,9580,9280,8080,7660,8120,8770,10720,11960,10270,7930,4380,3680,2720,1830,1170,960,960,"SERANGOON",10360,0.0862399067676684,"1/1/2005","2005"
"43",43,292,"Simpang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SIMPANG",0,0,"1/1/2005","2005"
"44",44,297,"Singapore River",1200,80,60,50,40,40,100,200,160,130,90,80,70,40,20,10,20,10,10,10,"SINGAPORE RIVER",70,0.0583333333333333,"1/1/2005","2005"
"45",45,301,"Southern Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SOUTHERN ISLANDS",0,0,"1/1/2005","2005"
"46",46,304,"Straits View",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"STRAITS VIEW",0,0,"1/1/2005","2005"
"47",47,306,"Sungei Kadut",800,20,20,30,40,50,70,50,50,40,60,50,60,50,70,30,30,30,60,60,"SUNGEI KADUT",220,0.275,"1/1/2005","2005"
"48",48,312,"Tampines",250850,14070,19060,22440,20240,17500,15910,17990,21670,24840,24410,18890,12700,6370,5230,4050,2820,1550,1110,1110,"TAMPINES",14760,0.0588399441897548,"1/1/2005","2005"
"49",49,318,"Tanglin",15940,850,1110,1110,880,770,980,1330,1570,1630,1390,1240,1100,620,460,350,260,160,140,140,"TANGLIN",1370,0.0859473023839398,"1/1/2005","2005"
"50",50,323,"Tengah",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TENGAH",0,0,"1/1/2005","2005"
"51",51,325,"Toa Payoh",114530,4710,5860,6780,6290,6600,7870,8810,8850,9830,10370,8840,8070,5890,5740,4220,2830,1630,1350,1350,"TOA PAYOH",15770,0.137693180825984,"1/1/2005","2005"
"52",52,338,"Tuas",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TUAS",0,0,"1/1/2005","2005"
"53",53,345,"Western Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WESTERN ISLANDS",0,0,"1/1/2005","2005"
"54",54,349,"Western Water Catchment",700,60,50,40,50,40,40,60,80,100,80,40,30,20,10,0,0,0,0,0,"WESTERN WATER CATCHMENT",10,0.0142857142857143,"1/1/2005","2005"
"55",55,351,"Woodlands",221630,17140,21440,19350,15360,13530,15010,21320,23550,21740,17670,12380,8350,4710,3860,2880,1820,880,630,630,"WOODLANDS",10070,0.0454360871723142,"1/1/2005","2005"
"56",56,361,"Yishun",174520,9990,11800,14070,14160,12540,12770,14270,14950,17440,16130,12820,8860,4940,3790,2730,1720,890,660,660,"YISHUN",9790,0.056096722438689,"1/1/2005","2005"
