"","Var.1","Var.1","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY","POP_DATE","POP_DATE"
"1",1,4,"Total",3933560,187160,201510,207500,239770,260850,279990,285540,302000,313450,301180,315600,299590,251850,198020,103800,87960,53560,44240,44240,"TOTAL",487580,0.123953873844558,"1/1/2016","2016"
"2",2,5,"Ang Mo Kio",170940,6450,7100,7850,8990,9990,11090,11180,12540,13100,12720,13730,13480,13000,11700,6620,5630,3260,2510,2510,"ANG MO KIO",29720,0.173862173862174,"1/1/2016","2016"
"3",3,18,"Bedok",287170,11270,13010,13890,16480,18810,20250,18270,20360,21960,21240,22880,23480,20940,18010,9490,7760,4920,4170,4170,"BEDOK",44350,0.154438137688477,"1/1/2016","2016"
"4",4,27,"Bishan",90090,3320,4130,4520,5340,6520,6870,5430,5760,6770,6740,7370,7680,6630,5270,2760,2340,1420,1220,1220,"BISHAN",13010,0.144411144411144,"1/1/2016","2016"
"5",5,31,"Boon Lay",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOON LAY",0,0,"1/1/2016","2016"
"6",6,36,"Bukit Batok",138040,5140,6540,7560,8990,9760,10640,9320,9590,10610,11090,11920,11950,9940,6630,3180,2490,1500,1210,1210,"BUKIT BATOK",15010,0.108736598087511,"1/1/2016","2016"
"7",7,46,"Bukit Merah",154480,6970,7350,6490,6890,7460,9380,10350,12420,12520,11180,11360,11510,10990,10520,6240,6040,3620,3190,3190,"BUKIT MERAH",29610,0.191675297773175,"1/1/2016","2016"
"8",8,64,"Bukit Panjang",141380,7680,7650,8170,9350,10160,11520,11030,10150,11040,10420,11580,11100,8400,5790,2850,2150,1330,1050,1050,"BUKIT PANJANG",13170,0.0931532041307116,"1/1/2016","2016"
"9",9,72,"Bukit Timah",75640,3220,4680,4730,4870,4860,4580,3810,4840,6540,6550,5850,5370,4750,4150,2470,2030,1270,1080,1080,"BUKIT TIMAH",11000,0.145425700687467,"1/1/2016","2016"
"10",10,81,"Central Water Catchment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CENTRAL WATER CATCHMENT",0,0,"1/1/2016","2016"
"11",11,83,"Changi",2450,160,230,200,170,130,110,160,220,270,220,140,120,90,80,50,40,30,40,40,"CHANGI",240,0.0979591836734694,"1/1/2016","2016"
"12",12,87,"Changi Bay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHANGI BAY",0,0,"1/1/2016","2016"
"13",13,89,"Choa Chu Kang",179140,7640,9230,10860,14490,15890,13370,11770,12290,13450,15490,16890,13580,9680,6340,3070,2450,1510,1140,1140,"CHOA CHU KANG",14510,0.0809981020430948,"1/1/2016","2016"
"14",14,96,"Clementi",91630,3930,4400,4320,4710,4780,5730,6370,7230,7550,6940,7060,6380,6610,6580,3380,2830,1580,1260,1260,"CLEMENTI",15630,0.170577321837826,"1/1/2016","2016"
"15",15,106,"Downtown Core",3710,140,80,100,100,130,220,340,350,380,330,290,280,250,260,140,140,70,130,130,"DOWNTOWN CORE",740,0.199460916442049,"1/1/2016","2016"
"16",16,119,"Geylang",115890,4540,5070,5050,6070,7210,8370,8010,8520,8950,8430,9290,9540,8420,6930,3790,3520,2280,1910,1910,"GEYLANG",18430,0.159030114764,"1/1/2016","2016"
"17",17,125,"Hougang",222870,8560,9640,11020,13990,16270,17370,15090,14870,16320,16540,19250,19560,16000,11720,6160,4970,3090,2470,2470,"HOUGANG",28410,0.127473414995289,"1/1/2016","2016"
"18",18,136,"Jurong East",84660,3290,3770,4240,4940,5520,6610,6080,6100,6340,6200,6570,7000,6470,5230,2450,1920,1070,850,850,"JURONG EAST",11520,0.13607370659107,"1/1/2016","2016"
"19",19,147,"Jurong West",270350,13050,15250,16120,17690,18780,19950,20910,23040,22590,21320,20900,19040,16710,11940,5390,3980,2180,1510,1510,"JURONG WEST",25000,0.0924727205474385,"1/1/2016","2016"
"20",20,157,"Kallang",100260,4200,4310,4310,4680,5030,6070,6820,8000,8450,7800,7710,7860,7170,6480,3740,3590,2140,1900,1900,"KALLANG",17850,0.17803710353082,"1/1/2016","2016"
"21",21,167,"Lim Chu Kang",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LIM CHU KANG",0,0,"1/1/2016","2016"
"22",22,169,"Mandai",2150,90,120,140,180,150,150,140,160,190,190,160,150,100,90,60,40,30,20,20,"MANDAI",240,0.111627906976744,"1/1/2016","2016"
"23",23,173,"Marina East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MARINA EAST",0,0,"1/1/2016","2016"
"24",24,175,"Marina South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MARINA SOUTH",0,0,"1/1/2016","2016"
"25",25,177,"Marine Parade",48310,2150,2630,2630,2540,2600,2630,2760,3750,4410,3920,3600,3320,2950,2830,1810,1710,1120,980,980,"MARINE PARADE",8450,0.17491202649555,"1/1/2016","2016"
"26",26,183,"Museum",400,30,20,10,10,10,10,40,70,60,30,30,30,10,10,10,0,10,10,10,"MUSEUM",40,0.1,"1/1/2016","2016"
"27",27,187,"Newton",7140,350,480,380,320,350,330,390,570,740,710,600,480,420,400,200,160,110,130,130,"NEWTON",1000,0.140056022408964,"1/1/2016","2016"
"28",28,194,"North-Eastern Islands",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NORTH-EASTERN ISLANDS",0,0,"1/1/2016","2016"
"29",29,196,"Novena",47640,2190,2760,2420,2480,2510,2760,2850,3810,4410,3940,3690,3330,2930,2570,1590,1460,1000,940,940,"NOVENA",7560,0.158690176322418,"1/1/2016","2016"
"30",30,202,"Orchard",890,40,50,30,40,30,50,50,70,80,90,60,80,70,60,40,20,10,20,20,"ORCHARD",150,0.168539325842697,"1/1/2016","2016"
"31",31,206,"Outram",21450,1170,1070,730,710,810,1140,1440,1950,1720,1420,1570,1580,1600,1520,930,910,560,630,630,"OUTRAM",4550,0.212121212121212,"1/1/2016","2016"
"32",32,211,"Pasir Ris",142920,5870,6970,8450,11820,13870,10230,8090,9230,10440,12290,14610,11280,7650,5100,2450,2030,1390,1160,1160,"PASIR RIS",12130,0.0848726560313462,"1/1/2016","2016"
"33",33,220,"Paya Lebar",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PAYA LEBAR",0,0,"1/1/2016","2016"
"34",34,226,"Pioneer",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PIONEER",0,0,"1/1/2016","2016"
"35",35,232,"Punggol",130380,14490,10870,7460,5590,4490,7840,18030,16250,12600,7960,6600,5430,4590,3750,1780,1330,740,590,590,"PUNGGOL",8190,0.0628163828808099,"1/1/2016","2016"
"36",36,240,"Queenstown",99350,4800,4470,4280,4730,5090,6320,7460,7760,8070,7580,7550,6750,6250,6130,3780,3920,2530,1900,1900,"QUEENSTOWN",18260,0.18379466532461,"1/1/2016","2016"
"37",37,256,"River Valley",9340,440,500,510,420,450,510,610,890,1040,920,740,580,520,490,270,200,100,130,130,"RIVER VALLEY",1190,0.127408993576017,"1/1/2016","2016"
"38",38,262,"Rochor",14270,530,520,550,620,660,870,950,1200,1230,1060,1090,1100,1030,960,580,530,360,410,410,"ROCHOR",2840,0.199018920812894,"1/1/2016","2016"
"39",39,273,"Seletar",250,10,20,20,20,10,0,10,10,40,30,30,20,10,10,0,10,0,0,0,"SELETAR",20,0.08,"1/1/2016","2016"
"40",40,278,"Sembawang",77350,4390,5220,5350,5060,4560,5150,6030,7100,7620,6290,5850,5140,3680,2430,1300,1040,640,510,510,"SEMBAWANG",5920,0.076535229476406,"1/1/2016","2016"
"41",41,288,"Sengkang",219380,16650,15700,13270,12660,11370,14900,21950,22200,20230,15800,14370,13390,10250,7450,3590,2730,1580,1320,1320,"SENGKANG",16670,0.0759868720940833,"1/1/2016","2016"
"42",42,296,"Serangoon",119990,4030,4950,5710,7520,8760,9400,7290,7380,8280,8610,9720,10700,9500,7400,3800,3180,2010,1770,1770,"SERANGOON",18160,0.151345945495458,"1/1/2016","2016"
"43",43,304,"Simpang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SIMPANG",0,0,"1/1/2016","2016"
"44",44,309,"Singapore River",2840,230,180,140,100,100,100,230,410,390,300,190,140,100,100,60,40,10,30,30,"SINGAPORE RIVER",240,0.0845070422535211,"1/1/2016","2016"
"45",45,313,"Southern Islands",1600,100,90,100,100,80,70,80,120,170,210,190,130,80,50,20,20,0,10,10,"SOUTHERN ISLANDS",100,0.0625,"1/1/2016","2016"
"46",46,316,"Straits View",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"STRAITS VIEW",0,0,"1/1/2016","2016"
"47",47,318,"Sungei Kadut",860,30,40,30,50,40,50,50,40,50,70,60,60,50,70,40,50,40,50,50,"SUNGEI KADUT",250,0.290697674418605,"1/1/2016","2016"
"48",48,324,"Tampines",259110,11350,11750,12950,17070,20740,21110,18090,17990,17720,18870,22120,22670,18490,12620,5720,4570,2880,2390,2390,"TAMPINES",28180,0.108756898614488,"1/1/2016","2016"
"49",49,330,"Tanglin",19650,1030,1340,1090,1040,990,920,1140,1650,1960,1890,1590,1310,1150,1020,570,420,260,280,280,"TANGLIN",2550,0.129770992366412,"1/1/2016","2016"
"50",50,335,"Tengah",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TENGAH",0,0,"1/1/2016","2016"
"51",51,337,"Toa Payoh",122780,4810,5440,5470,6240,7120,7700,7760,8710,9690,9320,9510,9850,8520,7700,4840,4830,2860,2430,2430,"TOA PAYOH",22660,0.184557745561166,"1/1/2016","2016"
"52",52,350,"Tuas",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TUAS",0,0,"1/1/2016","2016"
"53",53,357,"Western Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WESTERN ISLANDS",0,0,"1/1/2016","2016"
"54",54,361,"Western Water Catchment",800,40,50,40,40,80,60,50,80,90,60,60,60,40,10,10,10,10,20,20,"WESTERN WATER CATCHMENT",60,0.075,"1/1/2016","2016"
"55",55,363,"Woodlands",249780,11840,13750,16010,20640,20430,18400,17640,18500,20020,21770,21530,17510,12680,8300,4090,3340,1980,1350,1350,"WOODLANDS",19060,0.0763071502922572,"1/1/2016","2016"
