"","Var.1","Var.1","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY","POP_DATE","POP_DATE"
"1",1,4,"Total",3583080,193630,229540,255290,257300,218490,254520,294450,301970,321050,315550,279220,220980,135500,113760,78630,56730,31520,24950,24950,"TOTAL",305590,0.0852869598222758,"1/1/2007","2007"
"2",2,5,"Ang Mo Kio",172730,7560,8650,9660,10700,10340,13630,14060,12980,14560,14740,14500,13300,8870,7510,4970,3540,1820,1350,1350,"ANG MO KIO",19190,0.111098245817171,"1/1/2007","2007"
"3",3,16,"Bedok",284150,12730,16100,19080,21020,18400,19830,20560,21030,23580,25480,23940,20640,12920,10390,7470,5500,3140,2360,2360,"BEDOK",28860,0.101566074256555,"1/1/2007","2007"
"4",4,25,"Bishan",89590,4140,5120,6530,7300,5140,5660,6500,7170,7810,8590,7860,6130,3580,3010,2020,1440,850,750,750,"BISHAN",8070,0.0900770175242773,"1/1/2007","2007"
"5",5,29,"Boon Lay",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOON LAY",0,0,"1/1/2007","2007"
"6",6,34,"Bukit Batok",140400,8010,9600,10340,10770,9720,10210,11310,12140,13190,13080,11400,8040,4270,3210,2130,1540,820,650,650,"BUKIT BATOK",8350,0.0594729344729345,"1/1/2007","2007"
"7",7,44,"Bukit Merah",150030,6900,6540,6860,7540,7620,11680,13350,11770,11500,11820,11830,11570,8300,8140,5760,4330,2520,2000,2000,"BUKIT MERAH",22750,0.151636339398787,"1/1/2007","2007"
"8",8,62,"Bukit Panjang",122590,7820,9080,9500,10410,7930,8240,10600,10480,11120,11280,9240,6310,3540,2680,1830,1270,730,520,520,"BUKIT PANJANG",7030,0.0573456236234603,"1/1/2007","2007"
"9",9,70,"Bukit Timah",71160,3280,4660,5320,5410,4110,4080,4600,5770,6350,6330,5860,4980,3300,2630,1810,1290,690,700,700,"BUKIT TIMAH",7120,0.100056211354694,"1/1/2007","2007"
"10",10,79,"Central Water Catchment",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CENTRAL WATER CATCHMENT",0,0,"1/1/2007","2007"
"11",11,81,"Changi",1540,130,150,110,80,70,110,160,200,140,130,80,70,40,30,30,10,10,10,10,"CHANGI",90,0.0584415584415584,"1/1/2007","2007"
"12",12,85,"Changi Bay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHANGI BAY",0,0,"1/1/2007","2007"
"13",13,87,"Choa Chu Kang",166170,10350,13730,16270,13080,9730,10950,12840,15810,17920,14930,11100,7360,3940,3050,2140,1560,850,580,580,"CHOA CHU KANG",8180,0.0492266955527472,"1/1/2007","2007"
"14",14,95,"Clementi",87260,4060,4570,4500,4750,5160,7500,7540,7080,7360,6690,7140,7140,4560,3700,2390,1590,870,690,690,"CLEMENTI",9240,0.105890442356177,"1/1/2007","2007"
"15",15,105,"Downtown Core",3310,130,140,130,150,140,240,300,290,290,250,240,280,200,190,130,90,70,70,70,"DOWNTOWN CORE",550,0.166163141993958,"1/1/2007","2007"
"16",16,118,"Geylang",117140,5150,6190,7090,7750,7080,8560,9200,8800,9470,10360,9770,8120,5430,5050,3680,2780,1570,1110,1110,"GEYLANG",14190,0.1211371009049,"1/1/2007","2007"
"17",17,124,"Hougang",210360,9660,12920,16150,17010,14000,14130,14920,16010,18970,20220,17920,13320,7910,6500,4450,3190,1760,1330,1330,"HOUGANG",17230,0.0819072066932877,"1/1/2007","2007"
"18",18,132,"Jurong East",86550,4250,5100,5650,6430,6170,7040,6870,6920,7070,7350,7410,6210,3500,2630,1670,1140,650,490,490,"JURONG EAST",6580,0.0760254188330445,"1/1/2007","2007"
