"","Var.1","Var.1","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY","POP_DATE","POP_DATE"
"1",1,4,"Total",3771720,194430,215680,244300,263750,247190,272640,298690,320020,309440,323460,303040,248700,192000,111510,92620,65180,39840,29240,29240,"TOTAL",338390,0.0897176884816476,"1/1/2010","2010"
"2",2,5,"Ang Mo Kio",179300,7970,8420,9340,10460,10660,13400,14500,14510,13530,14860,14610,13790,11870,7460,6000,4060,2370,1520,1520,"ANG MO KIO",21410,0.119408812046849,"1/1/2010","2010"
"3",3,16,"Bedok",294520,13230,15020,17490,20080,20160,21270,21710,22750,22020,24620,24630,21890,18020,10230,8480,6120,3970,2850,2850,"BEDOK",31650,0.10746299062882,"1/1/2010","2010"
"4",4,25,"Bishan",91300,3940,4760,5690,7190,6340,5930,6010,7350,7100,8040,8250,6730,5140,2970,2420,1660,1030,760,760,"BISHAN",8840,0.0968236582694414,"1/1/2010","2010"
"5",5,29,"Boon Lay",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOON LAY",0,0,"1/1/2010","2010"
"6",6,34,"Bukit Batok",144200,7190,8520,9740,10430,10630,11330,10940,11830,12260,13050,12430,9910,6490,3320,2540,1830,1060,710,710,"BUKIT BATOK",9460,0.0656033287101248,"1/1/2010","2010"
"7",7,44,"Bukit Merah",157120,8050,6890,6890,7480,7940,10870,13870,13500,11800,11650,12060,11350,10780,7310,6710,4730,2940,2310,2310,"BUKIT MERAH",24000,0.152749490835031,"1/1/2010","2010"
"8",8,62,"Bukit Panjang",128730,7110,8330,9320,10220,9730,9100,9490,11170,10470,11530,10780,7910,5320,2920,2200,1550,940,650,650,"BUKIT PANJANG",8260,0.0641653072321914,"1/1/2010","2010"
"9",9,70,"Bukit Timah",70310,3120,4460,4680,5240,4610,3820,4100,5690,6070,6160,5730,4840,4180,2510,2040,1450,890,740,740,"BUKIT TIMAH",7630,0.10851941402361,"1/1/2010","2010"
"10",10,79,"Central Water Catchment",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CENTRAL WATER CATCHMENT",0,0,"1/1/2010","2010"
"11",11,81,"Changi",2160,170,190,160,140,90,110,190,250,220,180,120,80,70,60,30,30,30,40,40,"CHANGI",190,0.087962962962963,"1/1/2010","2010"
"12",12,85,"Changi Bay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHANGI BAY",0,0,"1/1/2010","2010"
"13",13,87,"Choa Chu Kang",173290,9230,11820,15200,15360,11640,11890,12540,14480,16680,16920,13300,9110,5860,3180,2490,1820,1100,670,670,"CHOA CHU KANG",9260,0.0534364360320849,"1/1/2010","2010"
