"","Var.1","Var.1","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY","POP_DATE","POP_DATE"
"1",1,4,"Total",3818210,186670,206320,233320,258860,264510,254580,295400,313970,308820,320930,310380,271820,214000,128880,104410,67680,44120,33550,33550,"TOTAL",378640,0.0991668871015476,"1/1/2012","2012"
"2",2,5,"Ang Mo Kio",178890,7530,8110,9070,10010,10890,11730,14090,14280,13510,14430,14340,14070,12730,8390,6900,4280,2720,1830,1830,"ANG MO KIO",24120,0.134831460674157,"1/1/2012","2012"
"3",3,18,"Bedok",295220,12790,14310,16540,19040,20940,19550,21160,22480,22270,23680,24690,22850,19600,12080,9380,6340,4280,3230,3230,"BEDOK",35310,0.119605717769799,"1/1/2012","2012"
"4",4,27,"Bishan",92710,3870,4660,5240,6540,7210,5710,6170,6960,7220,7690,8150,7390,5870,3450,2780,1760,1140,900,900,"BISHAN",10030,0.108186819113364,"1/1/2012","2012"
"5",5,31,"Boon Lay",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOON LAY",0,0,"1/1/2012","2012"
"6",6,36,"Bukit Batok",142620,6410,7650,9220,10000,10780,10460,10590,11250,11660,12510,12600,10990,7690,4010,2940,1850,1190,830,830,"BUKIT BATOK",10820,0.0758659374561773,"1/1/2012","2012"
"7",7,46,"Bukit Merah",157170,7770,6940,6870,7240,8170,9540,12930,13650,11990,11720,11810,11640,11260,7830,7310,4800,3120,2570,2570,"BUKIT MERAH",25630,0.163071833047019,"1/1/2012","2012"
"8",8,64,"Bukit Panjang",130960,6710,7800,9040,9710,10710,9110,9580,10630,10510,11100,11230,9090,6270,3510,2530,1630,1050,760,760,"BUKIT PANJANG",9480,0.0723885155772755,"1/1/2012","2012"
"9",9,72,"Bukit Timah",71910,3210,4540,4660,5100,5020,3690,3790,5430,6440,6210,5790,5050,4400,2930,2300,1530,1040,800,800,"BUKIT TIMAH",8600,0.119593936865526,"1/1/2012","2012"
"10",10,81,"Central Water Catchment",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CENTRAL WATER CATCHMENT",0,0,"1/1/2012","2012"
"11",11,83,"Changi",2470,200,220,190,140,130,110,210,300,240,230,130,100,80,50,50,30,20,40,40,"CHANGI",190,0.0769230769230769,"1/1/2012","2012"
"12",12,87,"Changi Bay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHANGI BAY",0,0,"1/1/2012","2012"
"13",13,89,"Choa Chu Kang",174190,8310,10410,13620,16150,13210,11340,12200,13340,15410,17410,14430,10750,7070,3740,2840,1900,1260,820,820,"CHOA CHU KANG",10560,0.0606234571444974,"1/1/2012","2012"
"14",14,96,"Clementi",91240,4120,4360,4670,4760,5090,5790,7350,7670,7350,7480,6700,6900,6930,4360,3410,2050,1280,970,970,"CLEMENTI",12070,0.132288469969312,"1/1/2012","2012"
"15",15,106,"Downtown Core",3690,120,110,110,130,170,230,320,360,370,310,280,250,290,190,180,100,70,100,100,"DOWNTOWN CORE",640,0.173441734417344,"1/1/2012","2012"
"16",16,119,"Geylang",119300,5170,5500,6130,7160,7950,8060,8960,9480,8910,9620,9960,9250,7480,4880,4330,2950,2030,1480,1480,"GEYLANG",15670,0.131349538977368,"1/1/2012","2012"
"17",17,125,"Hougang",217440,8480,10510,13320,16110,16990,14800,14560,15720,16330,18960,19830,17380,12790,7460,5950,3850,2500,1890,1890,"HOUGANG",21650,0.0995676968359088,"1/1/2012","2012"
"18",18,136,"Jurong East",86550,3660,4320,4940,5430,6390,6630,6790,6750,6620,6750,7040,7020,5800,3200,2350,1360,850,670,670,"JURONG EAST",8430,0.0974003466204506,"1/1/2012","2012"
"19",19,147,"Jurong West",271870,15190,16660,17840,19110,19260,20260,24890,24190,22670,22130,20140,18150,13590,7190,4910,2870,1690,1130,1130,"JURONG WEST",17790,0.0654356861735388,"1/1/2012","2012"
"20",20,157,"Kallang",102910,4570,4610,4780,5070,5500,6400,8150,8810,8470,7990,8260,7650,7090,4680,4480,2950,1960,1500,1500,"KALLANG",15570,0.151297250024293,"1/1/2012","2012"
"21",21,167,"Lim Chu Kang",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LIM CHU KANG",0,0,"1/1/2012","2012"
"22",22,169,"Mandai",2080,120,130,170,170,150,120,140,160,210,180,160,120,90,70,40,30,20,10,10,"MANDAI",170,0.0817307692307692,"1/1/2012","2012"
"23",23,173,"Marina East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MARINA EAST",0,0,"1/1/2012","2012"
"24",24,175,"Marina South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MARINA SOUTH",0,0,"1/1/2012","2012"
"25",25,177,"Marine Parade",48510,2250,2700,2740,2780,2740,2460,3300,4200,4370,3870,3640,3230,3040,2160,1950,1430,960,710,710,"MARINE PARADE",7210,0.148629148629149,"1/1/2012","2012"
"26",26,183,"Museum",350,20,20,10,20,10,10,40,50,40,40,20,20,10,10,10,10,0,10,10,"MUSEUM",40,0.114285714285714,"1/1/2012","2012"
"27",27,187,"Newton",6480,320,430,330,350,330,280,370,620,700,620,510,440,420,260,190,130,100,90,90,"NEWTON",770,0.118827160493827,"1/1/2012","2012"
"28",28,194,"North-Eastern Islands",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NORTH-EASTERN ISLANDS",0,0,"1/1/2012","2012"
"29",29,196,"Novena",47080,2330,2640,2520,2630,2680,2620,3360,4130,4120,4020,3630,3150,2720,1930,1700,1220,870,820,820,"NOVENA",6540,0.138912489379779,"1/1/2012","2012"
"30",30,202,"Orchard",880,40,50,30,30,40,40,60,90,90,80,80,70,70,40,20,20,10,20,20,"ORCHARD",110,0.125,"1/1/2012","2012"
"31",31,206,"Outram",22040,1340,840,670,760,950,1320,2200,1980,1570,1520,1570,1630,1650,1140,1110,780,520,500,500,"OUTRAM",4050,0.183756805807622,"1/1/2012","2012"
