"","Var.1","Var.1","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY","POP_DATE","POP_DATE"
"1",1,4,"Total",3325900,222990,254080,246970,210900,214640,262750,286690,322880,318000,274570,223840,125450,118510,89680,69050,42500,23900,18520,18520,"TOTAL",243650,0.0732583661565291,"1/1/2001","2001"
"2",2,5,"Ang Mo Kio",176270,8980,10430,10970,11200,13850,15290,13250,15020,15630,15510,14590,8680,8060,5710,4200,2420,1360,1110,1110,"ANG MO KIO",14800,0.0839621035910819,"1/1/2001","2001"
"3",3,16,"Bedok",284770,15910,19660,21500,19400,20120,21750,20500,24440,26960,25160,22380,12300,11110,8590,6790,4180,2230,1790,1790,"BEDOK",23580,0.0828036661165151,"1/1/2001","2001"
"4",4,25,"Bishan",89220,5010,7360,7340,5420,5380,6410,6630,8460,9560,8200,6570,3440,3140,2280,1640,1110,680,610,610,"BISHAN",6320,0.0708361353956512,"1/1/2001","2001"
"5",5,29,"Boon Lay",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOON LAY",0,0,"1/1/2001","2001"
"6",6,34,"Bukit Batok",126840,9230,9960,10720,9150,8120,9580,11590,13220,13160,11170,7680,3770,3150,2490,1730,1030,620,490,490,"BUKIT BATOK",6360,0.0501419110690634,"1/1/2001","2001"
"7",7,44,"Bukit Merah",145280,6400,7070,7280,7360,9670,12370,11130,11780,12110,12100,12170,7850,8740,6670,5500,3550,2010,1530,1530,"BUKIT MERAH",19260,0.132571585903084,"1/1/2001","2001"
"8",8,62,"Bukit Panjang",107150,8520,9040,9620,7040,6650,8880,9780,11320,11060,8510,5760,3080,2640,2000,1480,910,490,380,380,"BUKIT PANJANG",5260,0.0490900606626225,"1/1/2001","2001"
"9",9,70,"Bukit Timah",65890,3230,4940,5400,4140,4250,4520,4360,5500,6270,6100,5510,3290,2810,2040,1560,930,610,430,430,"BUKIT TIMAH",5570,0.0845348307785703,"1/1/2001","2001"
"10",10,79,"Central Water Catchment",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CENTRAL WATER CATCHMENT",0,0,"1/1/2001","2001"
"11",11,81,"Changi",1090,90,100,80,70,50,100,110,100,90,80,70,30,40,30,30,10,10,10,10,"CHANGI",90,0.0825688073394495,"1/1/2001","2001"
"12",12,85,"Changi Bay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHANGI BAY",0,0,"1/1/2001","2001"
"13",13,87,"Choa Chu Kang",145670,14360,15720,11430,8660,7880,10640,16140,18030,14170,10010,6670,3310,2870,2240,1730,940,550,340,340,"CHOA CHU KANG",5800,0.0398160225166472,"1/1/2001","2001"
"14",14,95,"Clementi",87460,4350,4680,5050,5210,7270,8070,6830,7400,6950,7870,8150,4500,4140,2750,1930,1170,640,490,490,"CLEMENTI",6980,0.079807912188429,"1/1/2001","2001"
"15",15,105,"Downtown Core",3600,150,160,180,170,210,320,330,300,280,270,320,200,220,160,150,100,50,50,50,"DOWNTOWN CORE",510,0.141666666666667,"1/1/2001","2001"
"16",16,118,"Geylang",116440,6060,7370,7700,7080,7750,9240,8650,9890,10920,9800,8570,5220,5700,4520,3650,2210,1190,920,920,"GEYLANG",12490,0.107265544486431,"1/1/2001","2001"
"17",17,124,"Hougang",205200,13380,16960,16960,14060,13160,14950,16360,20160,21030,17490,13240,7370,6590,5030,3760,2300,1320,1100,1100,"HOUGANG",13510,0.0658382066276803,"1/1/2001","2001"
"18",18,132,"Jurong East",87880,5410,5950,6630,6410,6960,7540,7280,7700,8040,7850,6610,3390,2870,2020,1490,830,510,380,380,"JURONG EAST",5230,0.0595129722348657,"1/1/2001","2001"
