No,Name,Latitude,Longitude,MRT_Code
117,Sixth Avenue MRT,1.3312349,103.7968943,SAV
118,Tan Kah Kee MRT,1.3253631,103.8077988,TKK
119,Botanic Gardens MRT,1.3221102,103.8149828,BTN
120,Stevens MRT,1.3200527,103.8258215,STV
121,Newton MRT,1.3136071,103.837811,NEW
122,Little India MRT,1.3062896,103.8493919,LTI
123,Rochor MRT,1.3035362,103.8525596,RCR
124,Bugis MRT,1.3010989,103.8561152,BGS
125,Promenade MRT,1.2939799,103.8603315,PMN
126,Bayfront MRT,1.2813448,103.8589484,BFT
127,Downtown MRT,1.2793922,103.8525986,DTN
128,Telok Ayer MRT,1.2822806,103.8483128,TLA
129,Chinatown MRT,1.2847875,103.8439312,CNT
130,Fort Canning MRT,1.2793922,103.8525986,FCN
131,Bencoolen MRT,1.2988643,103.8503843,BCL
132,Jalan Besar MRT,1.3054036,103.855477,JLB
133,Bendemeer MRT,1.3198587,103.8618306,BDM
134,Geylang Bahru MRT,1.321431,103.871702,GLB
135,Mattar MRT,1.3272214,103.8828949,MTR
136,MacPherson MRT,1.3267424,103.8898817,MPS
137,Ubi MRT,1.3299568,103.8992525,UBI
138,Kaki Bukit MRT,1.334927,103.909016,KKB
139,Bedok North MRT,1.3351391,103.918397,BDN
140,Bedok Reservoir MRT,1.3240113,103.9301725,BDR
141,Tampines West MRT,1.3450224,103.9383712,TPW
142,Tampines MRT,1.3532156,103.9452078,TAM
143,Tampines East MRT,1.3564092,103.9532902,TPE
144,Upper Changi MRT,1.3421647,103.961505,UPC
145,Expo MRT,1.3352467,103.9619976,XPO
146,Xilin MRT,1.328131,103.964718,TBA
147,Sungei Bedok MRT,1.3240113,103.9301725,TBA
148,Woodlands North MRT,1.446105,103.787002,WDN
149,Woodlands MRT,1.436955,103.7864845,WDL
150,Woodlands South MRT,1.427259,103.79351,WDS
151,Springleaf MRT,1.398359,103.817381,SPL
152,Lentor MRT,1.38413,103.837105,LTR
153,Mayflower MRT,1.37219,103.836683,MFL
154,Bright Hill MRT,1.363646,103.83321,BRH
155,Upper Thomson MRT,1.354649,103.831142,UTS
156,Caldecott MRT,1.3376585,103.8395412,CDT
157,Mount Pleasant MRT,1.329382,103.839324,MPS
