"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2001",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
Total,Total,"3,325,900","222,990","254,080","246,970","210,900","214,640","262,750","286,690","322,880","318,000","274,570","223,840","125,450","118,510","89,680","69,050","42,500","23,900","18,520",,,
Ang Mo Kio,Total,"176,270","8,980","10,430","10,970","11,200","13,850","15,290","13,250","15,020","15,630","15,510","14,590","8,680","8,060","5,710","4,200","2,420","1,360","1,110",,,
,Cheng San,"30,390","1,430","1,630","1,770","1,940","2,610","2,740","2,430","2,610","2,550","2,810","2,630","1,460","1,390",980,670,380,220,180,,,
,Chong Boon,"31,750","1,590","1,770","1,800","1,920","2,720","2,950","2,490","2,640","2,640","2,710","2,630","1,710","1,570","1,040",730,410,250,190,,,
,Kebun Bahru,"26,230","1,360","1,540","1,480","1,650","2,020","2,390","2,040","2,240","2,280","2,180","2,120","1,330","1,280",920,660,360,230,160,,,
,Seletar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Sembawang Hills,"6,080",280,450,510,420,370,360,360,480,600,550,500,310,260,210,180,120,70,70,,,
,Shangri-La,"21,360","1,150","1,240","1,140","1,180","1,500","1,920","1,700","1,880","1,840","1,740","1,630","1,140","1,090",860,600,370,200,160,,,
,Sindo,"7,230",400,640,810,490,470,410,400,630,790,710,600,260,250,150,110,60,30,30,,,
,Town Centre,"2,910",130,120,160,220,260,280,240,200,230,270,270,160,140,100,80,30,20,20,,,
,Townsville,"20,700",910,"1,040","1,100","1,210","1,610","1,970","1,480","1,630","1,780","1,700","1,820","1,180","1,110",810,620,380,190,160,,,
,Yio Chu Kang,"29,620","1,740","2,010","2,210","2,170","2,280","2,280","2,120","2,710","2,930","2,840","2,400","1,140",970,660,550,310,170,150,,,
Bedok,Total,"284,770","15,910","19,660","21,500","19,400","20,120","21,750","20,500","24,440","26,960","25,160","22,380","12,300","11,110","8,590","6,790","4,180","2,230","1,790",,,
,Bayshore,"4,360",290,350,270,230,190,310,520,630,460,390,290,150,120,70,40,40,10,20,,,
,Bedok North,"86,170","4,930","5,690","5,810","5,720","6,620","7,190","6,360","7,450","7,650","7,350","6,810","3,920","3,610","2,730","2,050","1,200",620,470,,,
,Bedok Reservoir,"21,770","1,230","1,460","1,940","1,700","1,560","1,740","1,590","1,830","2,130","2,120","1,680",790,680,470,370,230,140,100,,,
,Bedok South,"54,100","2,800","3,430","3,730","3,340","3,770","4,240","3,930","4,530","4,910","4,640","4,460","2,590","2,450","1,910","1,540",940,490,400,,,
,Frankel,"31,220","1,570","2,290","2,470","1,910","1,880","1,920","2,030","2,700","3,080","2,940","2,560","1,350","1,260","1,060",930,610,370,310,,,
,Kaki Bukit,"43,290","2,850","3,490","3,920","3,450","3,090","3,090","3,090","3,840","4,530","3,860","3,090","1,390","1,200",910,700,420,210,170,,,
,Kembangan,"36,510","1,920","2,480","2,850","2,620","2,540","2,690","2,500","2,900","3,540","3,290","2,790","1,620","1,420","1,140",990,640,330,260,,,
,Siglap,"7,370",310,480,520,440,500,580,490,570,660,580,700,490,390,290,170,110,60,60,,,
Bishan,Total,"89,220","5,010","7,360","7,340","5,420","5,380","6,410","6,630","8,460","9,560","8,200","6,570","3,440","3,140","2,280","1,640","1,110",680,610,,,
,Bishan East,"30,120","1,530","2,220","2,670","1,970","1,920","2,420","2,320","2,640","3,230","2,890","2,290","1,110","1,100",700,440,310,220,160,,,
,Marymount,"28,680","1,970","2,860","2,350","1,650","1,600","1,880","2,360","3,220","3,210","2,460","1,850",940,760,560,430,270,170,140,,,
,Upper Thomson,"30,420","1,520","2,280","2,330","1,800","1,870","2,110","1,950","2,600","3,110","2,850","2,440","1,380","1,280","1,020",770,530,300,300,,,
Boon Lay,Total,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Liu Fang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Samulun,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Shipyard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tukang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bukit Batok,Total,"126,840","9,230","9,960","10,720","9,150","8,120","9,580","11,590","13,220","13,160","11,170","7,680","3,770","3,150","2,490","1,730","1,030",620,490,,,
,Brickworks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bukit Batok Central,"23,710","1,570","1,710","2,000","1,740","1,540","1,880","2,270","2,300","2,350","2,160","1,450",770,650,510,340,230,130,110,,,
,Bukit Batok East,"15,290","1,040","1,060","1,220","1,220","1,030","1,340","1,350","1,440","1,570","1,420",990,470,410,300,200,130,60,50,,,
,Bukit Batok South,"14,140","1,440","1,430","1,250",970,710,770,"1,430","1,770","1,600","1,100",650,260,230,210,140,80,60,40,,,
,Bukit Batok West,"15,580","1,170","1,100","1,220","1,150","1,100","1,240","1,410","1,490","1,570","1,420","1,020",470,390,310,240,130,80,80,,,
,Gombak,990,40,60,80,80,100,90,60,70,80,100,90,50,40,30,20,10,-,10,,,
,Guilin,"11,990",860,980,990,770,730,940,"1,170","1,350","1,210",990,690,390,320,240,160,100,60,50,,,
,Hillview,"17,160","1,180","1,350","1,350","1,100","1,110","1,090","1,410","1,930","1,830","1,580","1,170",600,520,390,280,140,80,70,,,
,Hong Kah,"27,990","1,930","2,270","2,610","2,120","1,800","2,230","2,500","2,880","2,950","2,400","1,620",770,610,500,350,210,140,90,,,
Bukit Merah,Total,"145,280","6,400","7,070","7,280","7,360","9,670","12,370","11,130","11,780","12,110","12,100","12,170","7,850","8,740","6,670","5,500","3,550","2,010","1,530",,,
,Alexandra Hill,"15,410",750,810,870,830,"1,000","1,250","1,200","1,310","1,330","1,290","1,290",760,840,690,530,330,200,120,,,
,Alexandra North,190,20,10,10,-,10,20,30,40,30,20,10,10,-,-,-,-,-,-,,,
,Bukit Ho Swee,"18,820",740,870,860,910,"1,180","1,490","1,410","1,550","1,660","1,550","1,430","1,050","1,180",980,840,590,310,240,,,
,Bukit Merah,"1,420",70,80,90,100,110,130,110,120,110,120,140,70,80,30,40,20,10,20,,,
,Depot Road,"5,140",210,270,320,300,360,470,340,410,420,460,530,290,260,170,130,90,50,30,,,
,Everton Park,"7,790",340,290,330,370,530,710,630,580,570,750,730,440,490,350,290,190,110,80,,,
,Henderson Hill,"16,400",800,780,730,790,"1,030","1,350","1,350","1,350","1,370","1,270","1,290",880,"1,040",850,700,430,230,180,,,
,Kampong Tiong Bahru,"12,510",550,620,590,670,880,"1,090",950,"1,020",990,"1,070","1,020",690,810,530,430,260,190,150,,,
,Maritime Square,850,40,50,60,40,50,80,70,80,80,70,80,50,30,20,20,10,10,20,,,
,Redhill,"10,050",460,530,460,440,510,790,800,910,860,740,670,460,690,570,500,320,190,150,,,
,Singapore General Hospital,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tanjong Pagar,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Telok Blangah Drive,"16,530",760,820,930,860,"1,230","1,480","1,330","1,340","1,340","1,350","1,460",880,940,700,540,310,160,110,,,
,Telok Blangah Rise,"16,060",710,870,940,950,"1,280","1,490","1,200","1,150","1,280","1,440","1,480",920,820,590,420,270,120,120,,,
,Telok Blangah Way,"9,850",440,460,450,460,640,860,680,770,850,780,800,580,620,510,460,270,140,90,,,
,Tiong Bahru,"7,660",270,280,290,300,490,610,540,610,600,650,700,440,520,390,350,260,210,160,,,
,Tiong Bahru Station,"6,510",260,340,340,330,390,510,470,550,620,540,530,350,410,290,240,180,90,70,,,
Bukit Panjang,Total,"107,150","8,520","9,040","9,620","7,040","6,650","8,880","9,780","11,320","11,060","8,510","5,760","3,080","2,640","2,000","1,480",910,490,380,,,
,Bangkit,"25,180","1,600","2,140","2,250","1,660","1,720","2,070","2,040","2,620","2,570","1,950","1,400",840,810,600,430,250,140,100,,,
,Bukit Panjang,"30,200","2,440","2,550","2,730","1,960","1,830","2,290","2,760","3,250","3,180","2,450","1,720",900,730,540,380,250,120,130,,,
,Dairy Farm,"3,250",190,300,350,230,190,170,210,320,360,350,240,110,90,60,50,30,20,10,,,
,Fajar,"18,510","1,460","1,660","1,710","1,190","1,240","1,590","1,620","1,970","1,830","1,420",950,570,460,320,260,130,80,70,,,
,Nature Reserve,"2,250",150,220,200,130,110,130,190,290,260,210,130,70,50,50,30,20,10,10,,,
,Saujana,"19,500","1,830","1,610","1,770","1,400","1,130","1,540","1,950","2,070","2,100","1,570",950,410,330,300,240,160,100,50,,,
,Senja,"8,270",850,570,620,470,450,"1,090","1,020",800,770,570,380,190,170,130,80,60,30,10,,,
Bukit Timah,Total,"65,890","3,230","4,940","5,400","4,140","4,250","4,520","4,360","5,500","6,270","6,100","5,510","3,290","2,810","2,040","1,560",930,610,430,,,
,Anak Bukit,"21,790","1,130","1,830","2,010","1,420","1,460","1,520","1,450","1,910","2,260","2,000","1,610",920,780,570,390,240,150,140,,,
,Coronation Road,"5,240",240,360,400,330,330,390,330,420,440,440,450,300,280,200,150,80,50,30,,,
