"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2015",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
Total,Total,"3,902,690","183,580","204,450","214,390","242,900","264,130","271,030","290,620","301,070","316,760","303,410","315,090","295,060","240,490","182,430","102,630","81,210","51,790","41,660",,,
Ang Mo Kio,Total,"174,770","6,790","7,660","8,290","9,320","10,310","11,170","12,250","13,070","13,710","13,000","14,010","13,800","12,980","11,050","6,670","5,140","3,250","2,300",,,
,Ang Mo Kio Town Centre,"5,020",260,280,320,280,260,310,370,420,490,420,350,320,280,270,160,120,60,50,,,
,Cheng San,"29,770","1,290","1,180","1,290","1,400","1,570","1,830","2,490","2,490","2,460","2,220","2,320","2,290","2,320","1,920","1,070",790,480,370,,,
,Chong Boon,"27,900",910,"1,100","1,180","1,370","1,520","1,800","1,980","2,100","2,040","2,060","2,270","2,260","2,250","1,950","1,290",920,540,380,,,
,Kebun Bahru,"23,910",780,"1,010","1,080","1,240","1,380","1,490","1,570","1,730","1,860","1,860","1,940","1,890","1,800","1,610","1,010",810,530,330,,,
,Sembawang Hills,"6,890",200,360,460,550,550,450,310,320,500,550,590,520,430,400,260,190,140,130,,,
,Shangri-La,"18,510",750,790,850,"1,030","1,120","1,170","1,290","1,240","1,370","1,420","1,610","1,440","1,360","1,110",750,560,430,250,,,
,Tagore,"8,350",330,370,450,580,740,650,420,480,610,590,700,760,590,400,220,200,140,120,,,
,Townsville,"23,770","1,140","1,100",940,"1,010","1,230","1,480","1,750","2,070","1,860","1,560","1,760","1,830","1,670","1,590","1,040",840,520,380,,,
,Yio Chu Kang,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Yio Chu Kang East,"4,080",150,170,250,300,340,290,240,230,300,280,340,390,290,230,120,90,40,60,,,
,Yio Chu Kang North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Yio Chu Kang West,"26,550",990,"1,310","1,480","1,550","1,610","1,710","1,830","1,990","2,210","2,050","2,140","2,100","1,990","1,580",760,630,390,240,,,
Bedok,Total,"289,750","11,690","13,400","14,750","16,930","19,450","19,860","19,270","20,850","22,520","21,460","23,430","23,380","20,590","16,750","9,310","7,330","4,760","4,010",,,
,Bayshore,"7,480",440,490,470,400,340,320,490,750,930,750,600,400,400,290,130,100,60,110,,,
,Bedok North,"85,930","3,290","3,680","4,170","4,920","5,690","5,600","5,850","6,260","6,420","6,330","7,320","6,930","6,310","5,350","2,940","2,260","1,490","1,130",,,
,Bedok Reservoir,"25,400","1,240","1,410","1,560","1,530","1,540","1,830","1,880","2,090","2,210","2,000","1,930","1,890","1,680","1,200",590,410,230,180,,,
,Bedok South,"51,190","2,030","2,290","2,510","3,020","3,380","3,510","3,200","3,370","3,730","3,770","4,130","4,130","3,720","3,090","1,930","1,550","1,010",830,,,
,Frankel,"33,570","1,600","2,010","1,860","1,910","2,040","1,910","2,000","2,710","3,280","2,660","2,390","2,250","2,080","1,750",960,890,640,640,,,
,Kaki Bukit,"40,820","1,450","1,730","2,060","2,680","3,320","3,410","2,790","2,670","2,710","2,700","3,550","3,840","3,040","2,230","1,020",790,440,390,,,
,Kembangan,"38,440","1,440","1,520","1,800","2,110","2,650","2,860","2,710","2,530","2,680","2,740","3,040","3,390","2,900","2,310","1,400","1,030",720,640,,,
,Siglap,"6,930",210,270,320,350,490,430,350,480,570,510,490,550,460,520,350,290,170,120,,,
Bishan,Total,"90,700","3,430","4,330","4,710","5,520","6,860","6,460","5,720","6,000","7,070","6,800","7,540","7,700","6,360","4,860","2,730","2,140","1,370","1,090",,,
,Bishan East,"28,820","1,040","1,290","1,370","1,510","2,080","2,390","1,990","2,010","2,210","2,000","2,240","2,560","2,210","1,680",870,680,420,280,,,
,Marymount,"31,540","1,390","1,660","1,760","2,180","2,630","2,110","2,060","2,230","2,510","2,470","2,800","2,560","1,930","1,380",740,550,300,290,,,
,Upper Thomson,"30,340","1,000","1,380","1,580","1,830","2,150","1,970","1,670","1,760","2,350","2,340","2,500","2,580","2,220","1,800","1,120",910,660,520,,,
Boon Lay,Total,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Liu Fang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Samulun,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Shipyard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tukang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bukit Batok,Total,"139,270","5,510","6,890","7,970","9,240","10,070","10,460","9,760","9,940","10,980","11,310","12,190","11,770","9,370","5,990","3,060","2,230","1,450","1,090",,,
,Brickworks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bukit Batok Central,"26,060","1,020","1,310","1,500","1,550","1,750","2,110","1,860","1,840","2,030","2,060","2,090","2,230","1,840","1,210",640,480,300,230,,,
,Bukit Batok East,"14,570",500,670,710,860,990,"1,180","1,100","1,050","1,150","1,070","1,250","1,340","1,150",720,320,250,170,110,,,
,Bukit Batok South,"13,940",520,680,850,"1,160","1,210","1,090",980,900,990,"1,210","1,340","1,200",830,460,200,160,100,80,,,
,Bukit Batok West,"15,190",590,770,860,970,"1,000","1,120","1,110","1,140","1,160","1,170","1,260","1,300","1,120",710,350,240,180,140,,,
,Gombak,"9,820",590,600,490,540,600,600,850,990,770,670,690,670,610,460,270,200,150,100,,,
,Guilin,"13,130",570,640,760,860,880,930,960,"1,030","1,160","1,170","1,180",980,800,510,300,200,120,110,,,
,Hillview,"18,220",640,880,"1,210","1,560","1,510","1,100",870,"1,030","1,500","1,760","1,890","1,460","1,140",720,370,280,160,150,,,
,Hong Kah North,"28,340","1,080","1,350","1,590","1,740","2,150","2,340","2,030","1,960","2,210","2,210","2,490","2,590","1,890","1,210",620,420,270,180,,,
Bukit Merah,Total,"155,840","7,210","7,480","6,640","6,860","7,700","9,340","11,070","12,840","12,730","11,320","11,320","11,740","10,920","10,030","6,480","5,590","3,540","3,010",,,
,Alexandra Hill,"15,650",590,700,730,850,960,"1,020",980,960,"1,120","1,100","1,230","1,250","1,200","1,080",630,550,380,350,,,
,Alexandra North,"1,000",70,70,50,60,30,60,80,130,110,110,60,60,30,30,20,20,-,-,,,
,Bukit Ho Swee,"16,290",740,660,570,670,780,"1,040","1,300","1,150","1,120","1,100","1,240","1,400","1,260","1,070",750,630,440,390,,,
,Bukit Merah,"1,190",50,60,60,60,60,80,70,80,90,90,90,80,80,100,60,40,20,20,,,
,City Terminals,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Depot Road,"5,200",300,340,230,240,250,260,380,560,560,400,350,310,290,290,180,110,80,70,,,
,Everton Park,"9,010",410,410,370,350,420,540,670,760,830,640,590,650,700,600,370,330,190,180,,,
,Henderson Hill,"12,870",540,590,560,650,730,780,770,820,940,970,960,"1,030",870,850,620,570,370,260,,,
,Kampong Tiong Bahru,"10,460",350,430,410,460,530,640,660,680,790,790,790,880,850,770,500,470,260,210,,,
,Maritime Square,"2,560",190,160,130,110,100,100,210,300,310,260,240,160,120,80,40,40,10,20,,,
,Redhill,"12,210",760,760,540,530,580,710,840,"1,310","1,010",910,900,850,670,580,370,370,240,290,,,
,Singapore General Hospital,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Telok Blangah Drive,"16,000",670,700,710,700,780,950,"1,140","1,330","1,340","1,170","1,180","1,150","1,120","1,130",720,590,380,240,,,
,Telok Blangah Rise,"13,820",450,500,580,630,770,860,880,"1,040","1,100",960,940,"1,110","1,240","1,090",690,460,290,230,,,
,Telok Blangah Way,"10,690",460,500,430,430,490,540,670,850,890,760,870,910,810,710,490,410,270,210,,,
,Tiong Bahru,"12,190",690,600,430,420,440,780,"1,100","1,310","1,020",840,740,800,830,760,500,420,260,270,,,
,Tiong Bahru Station,"16,670",940,"1,010",840,710,790,980,"1,310","1,580","1,490","1,240","1,150","1,140",840,890,560,580,360,270,,,
Bukit Panjang,Total,"139,030","7,330","7,630","8,460","9,420","10,400","10,980","10,690","10,010","11,180","10,540","11,620","10,680","7,880","5,190","2,740","2,000","1,290","1,010",,,
,Bangkit,"23,800",810,970,"1,280","1,580","1,990","2,000","1,430","1,440","1,640","1,820","2,320","2,150","1,580","1,070",670,490,330,250,,,
,Dairy Farm,"5,390",220,300,390,380,420,380,290,340,490,460,480,430,330,220,100,70,40,50,,,
,Fajar,"26,770","1,730","1,630","1,610","1,700","2,060","2,150","2,320","2,110","2,040","1,890","2,120","1,830","1,410",920,520,360,220,150,,,
,Jelebu,"33,470","1,230","1,590","1,960","2,490","2,780","2,540","2,030","2,130","2,640","2,800","3,080","2,850","2,110","1,370",720,570,340,240,,,
,Nature Reserve,"3,870",180,230,270,280,270,240,220,240,370,360,360,280,220,160,80,60,30,20,,,
,Saujana,"25,530","1,600","1,490","1,570","1,810","1,780","2,250","2,380","1,970","2,050","1,790","1,950","1,920","1,310",780,320,230,180,150,,,
,Senja,"20,200","1,560","1,420","1,390","1,180","1,110","1,420","2,020","1,780","1,940","1,420","1,300","1,220",920,670,330,220,150,140,,,
Bukit Timah,Total,"74,470","3,140","4,660","4,810","4,820","4,980","4,310","3,770","4,940","6,630","6,330","5,820","5,330","4,550","3,930","2,380","1,880","1,210","1,000",,,
,Anak Bukit,"21,990",720,"1,160","1,350","1,480","1,800","1,550","1,160","1,300","1,670","1,700","1,760","1,830","1,510","1,140",690,550,350,260,,,
,Coronation Road,"6,170",310,470,420,350,360,330,290,430,610,500,450,370,340,320,240,180,110,100,,,
,Farrer Court,"4,680",240,310,260,240,230,230,290,390,450,390,370,290,260,270,150,140,110,80,,,
,Hillcrest,"8,810",410,640,590,610,490,400,410,600,850,830,710,590,430,430,300,240,160,130,,,
,Holland Road,"10,280",510,770,760,740,620,500,450,730,"1,080",960,800,650,550,440,270,230,140,110,,,
,Leedon Park,"6,260",290,350,350,360,390,340,360,450,570,590,460,450,390,380,210,140,80,90,,,
,Swiss Club,"5,550",220,340,390,370,370,320,300,340,490,510,420,380,340,250,170,130,110,100,,,
,Ulu Pandan,"10,730",430,640,690,670,720,640,520,700,910,850,860,770,730,710,360,270,160,120,,,
Central Water Catchment,Total,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Central Water Catchment,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
