"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2008",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
Total,Total,"3,642,660","193,890","223,620","253,800","262,860","225,390","263,110","289,820","307,240","317,360","318,080","289,190","229,360","153,160","115,190","81,310","59,000","33,880","26,420",,,
Ang Mo Kio,Total,"175,030","7,850","8,670","9,580","10,690","10,320","13,590","14,180","13,480","14,260","14,770","14,490","13,490","9,850","7,740","5,080","3,650","1,990","1,350",,,
,Cheng San,"29,900","1,360","1,430","1,440","1,680","1,720","2,540","2,600","2,420","2,440","2,470","2,520","2,420","1,700","1,290",840,560,300,190,,,
,Chong Boon,"29,360","1,200","1,390","1,430","1,630","1,700","2,360","2,420","2,280","2,370","2,380","2,420","2,350","1,850","1,500",920,620,320,230,,,
,Kebun Bahru,"25,320","1,110","1,270","1,350","1,420","1,480","1,900","1,990","1,980","2,140","2,060","2,050","1,960","1,490","1,180",810,630,320,190,,,
,Seletar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Sembawang Hills,"6,660",240,380,570,600,440,330,350,440,530,650,540,460,360,240,190,160,100,70,,,
,Shangri-La,"20,610",820,970,"1,070","1,180","1,100","1,480","1,570","1,540","1,790","1,830","1,650","1,570","1,210","1,070",740,530,270,200,,,
,Sindo,"7,130",240,380,620,760,550,410,360,380,550,710,690,530,290,220,170,100,80,80,,,
,Town Centre,"4,810",340,300,280,290,240,350,490,470,410,360,330,310,220,190,100,90,40,20,,,
,Townsville,"20,980","1,000",810,970,"1,100","1,110","1,820","2,110","1,620","1,500","1,660","1,650","1,570","1,290","1,070",690,530,300,190,,,
,Yio Chu Kang,"30,270","1,540","1,740","1,850","2,030","1,990","2,400","2,290","2,350","2,540","2,650","2,650","2,330","1,440",990,610,440,250,180,,,
Bedok,Total,"285,940","12,810","15,570","18,590","20,900","18,560","20,430","20,470","21,250","23,030","25,020","24,220","20,900","14,490","10,390","7,680","5,680","3,410","2,540",,,
,Bayshore,"6,020",420,370,420,320,270,360,570,720,680,550,440,340,190,130,80,60,60,60,,,
,Bedok North,"85,970","3,820","4,590","5,330","5,840","5,390","6,590","6,400","6,390","6,940","7,490","7,150","6,270","4,690","3,250","2,440","1,770","1,000",620,,,
,Bedok Reservoir,"23,000","1,250","1,510","1,610","1,760","1,610","1,610","1,680","1,830","2,000","2,000","1,990","1,610",890,640,410,310,170,130,,,
,Bedok South,"52,690","2,200","2,710","3,340","3,630","3,250","3,530","3,660","3,830","4,220","4,540","4,380","4,020","2,930","2,240","1,610","1,230",750,610,,,
,Frankel,"30,410","1,320","1,730","2,120","2,340","1,730","1,760","1,940","2,420","2,520","2,620","2,460","2,250","1,480","1,130",930,770,490,430,,,
,Kaki Bukit,"42,820","1,940","2,470","3,130","3,660","3,350","3,340","3,030","2,890","3,320","4,010","3,820","3,050","1,810","1,130",810,520,330,220,,,
,Kembangan,"37,570","1,620","1,850","2,210","2,810","2,510","2,790","2,690","2,610","2,790","3,220","3,370","2,810","1,970","1,470","1,100",840,510,400,,,
,Siglap,"7,460",250,350,430,550,470,470,500,560,540,600,620,560,540,400,290,190,100,70,,,
Bishan,Total,"90,270","4,110","4,910","6,280","7,540","5,390","5,790","6,160","7,230","7,520","8,440","8,200","6,370","4,050","2,980","2,120","1,510",960,720,,,
,Bishan East,"30,120","1,540","1,500","1,780","2,530","1,960","2,110","2,340","2,520","2,310","2,710","2,760","2,250","1,330",990,690,390,250,180,,,
,Marymount,"28,900","1,330","1,730","2,350","2,630","1,690","1,830","1,970","2,270","2,650","2,940","2,580","1,850","1,090",730,480,390,240,140,,,
,Upper Thomson,"31,260","1,240","1,680","2,150","2,390","1,730","1,850","1,850","2,440","2,570","2,800","2,860","2,280","1,630","1,260",960,730,460,400,,,
Boon Lay,Total,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Liu Fang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Samulun,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Shipyard,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tukang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bukit Batok,Total,"141,450","7,850","9,200","10,200","10,690","10,040","10,450","10,970","11,980","12,750","13,150","12,010","8,570","4,940","3,300","2,180","1,610",890,680,,,
,Brickworks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bukit Batok Central,"26,450","1,600","1,640","1,640","1,860","1,900","2,080","2,270","2,360","2,240","2,250","2,240","1,630",980,680,450,330,170,140,,,
,Bukit Batok East,"15,550",800,930,980,"1,070","1,240","1,270","1,250","1,280","1,290","1,420","1,390","1,020",610,400,280,170,90,80,,,
,Bukit Batok South,"14,530",780,"1,050","1,380","1,260","1,050",900,990,"1,260","1,400","1,480","1,270",710,370,220,160,130,70,50,,,
,Bukit Batok West,"16,010",870,"1,040","1,120","1,100","1,120","1,270","1,250","1,340","1,350","1,440","1,390","1,060",590,380,280,200,130,90,,,
,Gombak,"8,480",570,380,460,490,490,880,"1,010",630,570,600,610,600,410,300,200,140,70,60,,,
