"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2003",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
Total,Total,"3,366,890","209,900","247,040","259,120","214,070","215,410","250,880","287,300","310,640","318,280","292,790","233,180","157,890","121,720","89,880","70,000","42,860","25,780","20,110",,,
Ang Mo Kio,Total,"170,020","8,380","9,330","10,690","10,020","12,340","14,150","13,110","14,000","14,930","14,980","14,020","10,450","8,340","5,690","4,440","2,530","1,460","1,170",,,
,Cheng San,"29,590","1,460","1,430","1,720","1,670","2,310","2,620","2,490","2,460","2,530","2,630","2,550","1,800","1,420",970,720,420,220,190,,,
,Chong Boon,"29,680","1,500","1,460","1,650","1,640","2,220","2,720","2,430","2,450","2,410","2,460","2,440","1,960","1,650","1,020",790,430,260,210,,,
,Kebun Bahru,"25,260","1,260","1,380","1,480","1,420","1,790","2,130","1,970","2,150","2,170","2,150","2,020","1,590","1,310",920,740,400,230,170,,,
,Seletar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Sembawang Hills,"6,310",250,490,570,470,360,330,350,470,650,590,500,370,270,220,180,120,70,60,,,
,Shangri-La,"20,580","1,090","1,090","1,150","1,070","1,310","1,690","1,650","1,780","1,850","1,690","1,580","1,280","1,130",840,650,360,230,160,,,
,Sindo,"7,170",300,580,790,590,460,410,370,530,730,770,630,340,240,190,100,60,40,30,,,
,Town Centre,"3,080",130,140,180,170,260,300,270,240,240,260,280,190,170,90,90,40,20,30,,,
,Townsville,"19,620",780,880,"1,060","1,050","1,390","1,830","1,490","1,470","1,640","1,670","1,610","1,400","1,150",790,660,380,220,170,,,
,Yio Chu Kang,"28,740","1,610","1,870","2,110","1,940","2,240","2,130","2,110","2,470","2,720","2,770","2,430","1,510","1,000",660,520,330,170,150,,,
Bedok,Total,"278,920","14,530","18,320","21,270","18,790","19,170","20,260","20,270","22,480","25,720","25,190","22,050","15,510","11,340","8,600","6,730","4,320","2,420","1,970",,,
,Bayshore,"4,440",290,350,280,250,170,320,500,580,530,410,270,190,120,70,40,30,20,20,,,
,Bedok North,"83,930","4,520","5,250","5,880","5,270","6,040","6,520","6,310","6,890","7,480","7,240","6,480","4,970","3,660","2,760","2,120","1,320",680,530,,,
,Bedok Reservoir,"23,760","1,490","1,660","2,000","1,790","1,600","1,650","1,920","2,050","2,230","2,250","1,850","1,090",750,520,390,260,150,120,,,
,Bedok South,"52,160","2,450","3,270","3,630","3,240","3,430","3,800","3,730","4,120","4,680","4,510","4,350","3,130","2,450","1,900","1,500",950,540,470,,,
,Frankel,"30,180","1,360","2,120","2,500","1,950","1,780","1,830","1,980","2,400","2,850","2,820","2,500","1,660","1,220","1,010",910,580,370,330,,,
,Kaki Bukit,"42,450","2,460","3,180","3,720","3,390","3,210","3,070","3,000","3,380","4,180","4,000","3,230","1,940","1,230",900,660,470,240,180,,,
,Kembangan,"34,900","1,680","2,070","2,740","2,460","2,490","2,550","2,350","2,540","3,160","3,360","2,800","1,980","1,490","1,130",900,620,350,260,,,
,Siglap,"7,110",280,420,520,440,440,530,490,520,620,610,560,560,410,310,200,100,70,50,,,
Bishan,Total,"85,860","4,230","6,120","7,630","5,430","5,280","5,750","6,470","7,190","8,720","8,510","6,680","4,220","3,150","2,310","1,710","1,150",700,620,,,
,Bishan East,"28,970","1,400","1,750","2,590","1,980","1,850","2,200","2,400","2,290","2,830","2,930","2,370","1,400","1,060",760,460,330,200,170,,,
,Marymount,"27,960","1,600","2,400","2,650","1,710","1,590","1,780","2,200","2,740","3,100","2,670","1,970","1,180",800,560,420,310,160,140,,,
,Upper Thomson,"28,930","1,230","1,970","2,390","1,740","1,830","1,770","1,870","2,160","2,780","2,920","2,340","1,640","1,290",990,830,520,350,310,,,
Boon Lay,Total,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Liu Fang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Samulun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
