"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2012",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
Total,Total,"3,818,210","186,670","206,320","233,320","258,860","264,510","254,580","295,400","313,970","308,820","320,930","310,380","271,820","214,000","128,880","104,410","67,680","44,120","33,550",,,
Ang Mo Kio,Total,"178,890","7,530","8,110","9,070","10,010","10,890","11,730","14,090","14,280","13,510","14,430","14,340","14,070","12,730","8,390","6,900","4,280","2,720","1,830",,,
,Ang Mo Kio Town Centre,"4,850",270,300,290,290,280,290,390,480,440,390,340,290,290,180,160,90,60,40,,,
,Cheng San,"31,020","1,370","1,360","1,420","1,510","1,730","2,210","2,800","2,690","2,430","2,510","2,350","2,460","2,290","1,390","1,120",690,410,290,,,
,Chong Boon,"29,460",1120,"1,180","1,420","1,500","1,690","2,040","2,370","2,290","2,170","2,360","2,330","2,370","2,220","1,620","1,300",750,450,290,,,
,Kebun Bahru,"25,310",980,"1,130","1,260","1,330","1,470","1,640","1,910","1,980","1,920","2,090","2,010","2,000","1,840","1,300","1,060",680,440,260,,,
,Sembawang Hills,"6,910",280,360,520,570,530,380,320,410,510,570,600,500,450,280,240,160,130,90,,,
,Shangri-La,"18,340",710,790,870,"1,060","1,090","1,130","1,340","1,390","1,360","1,600","1,540","1,490","1,250",890,790,500,350,220,,,
,Tagore,"7,580",250,320,460,670,730,460,400,430,490,620,760,660,490,260,230,160,100,120,,,
,Townsville,"24,330","1,240","1,010",1020,"1,160","1,280","1,550","2,220","2,160","1,700","1,740","1,860","1,830","1,760","1,270","1,110",710,430,300,,,
,Yio Chu Kang,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Yio Chu Kang East,"3,900",140,190,230,320,350,230,250,250,250,310,360,350,280,170,90,60,40,50,,,
,Yio Chu Kang North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Yio Chu Kang West,"27,180",1170,"1,480","1,600","1,620","1,740","1,790","2,080","2,210","2,240","2,260","2,210","2,130","1,850","1,040",800,480,310,190,,,
Bedok,Total,"295,220","12,790","14,310","16,540","19,040","20,940","19,550","21,160","22,480","22,270","23,680","24,690","22,850","19,600","12,080","9,380","6,340","4,280","3,230",,,
,Bayshore,"7,010",450,470,400,380,310,330,600,880,790,680,440,430,320,180,120,80,60,100,,,
,Bedok North,"89,980","3,950","4,100","4,890","5,530","5,990","6,000","6,920","6,910","6,580","7,320","7,520","6,990","6,170","3,920","3,000","2,020","1,300",890,,,
,Bedok Reservoir,"23,600","1,200","1,340","1,520","1,520","1,690","1,640","1,770","1,910","1,930","1,930","1,900","1,870","1,440",740,560,310,220,130,,,
,Bedok South,"53,170","2,150","2,530","2,940","3,420","3,700","3,400","3,610","3,770","3,960","4,270","4,460","4,030","3,680","2,390","1,980","1,320",890,690,,,
,Frankel,"32,250","1,530","1,860","1,800","2,070","2,130","1,690","2,010","2,850","2,810","2,590","2,420","2,270","2,040","1,230","1,010",800,620,520,,,
,Kaki Bukit,"43,070","1,770","2,030","2,610","3,250","3,690","3,370","3,080","2,920","2,950","3,360","4,010","3,550","2,720","1,430",990,650,380,330,,,
,Kembangan,"38,890","1,530","1,690","2,020","2,410","2,900","2,760","2,730","2,710","2,690","3,000","3,370","3,200","2,680","1,720","1,350",940,690,500,,,
,Siglap,"7,250",210,300,370,470,530,370,440,550,570,550,570,500,550,470,370,230,130,80,,,
