"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2005",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
Total,Total,"3,467,810","199,530","237,240","258,550","234,920","218,950","247,800","293,410","299,150","321,470","307,550","254,170","197,800","117,580","101,090","76,550","51,600","27,880","22,580",,,
Ang Mo Kio,Total,"169,210","7,670","8,830","10,060","10,020","11,470","13,540","13,380","12,950","14,700","14,880","14,180","12,360","7,880","6,560","4,840","3,110","1,580","1,220",,,
,Cheng San,"29,450","1,410","1,420","1,520","1,610","2,120","2,620","2,500","2,370","2,510","2,510","2,540","2,220","1,320","1,100",780,520,230,180,,,
,Chong Boon,"29,060","1,320","1,380","1,530","1,560","1,970","2,520","2,410","2,270","2,410","2,410","2,440","2,210","1,560","1,220",860,520,260,220,,,
,Kebun Bahru,"24,860","1,110","1,310","1,390","1,390","1,660","1,990","2,000","1,920","2,150","2,140","2,030","1,770","1,230","1,040",800,500,250,180,,,
,Seletar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Sembawang Hills,"6,670",240,490,620,560,400,330,340,430,640,650,530,460,280,220,190,150,80,70,,,
,Shangri-La,"20,190",870,"1,040","1,110","1,080","1,210","1,490","1,600","1,610","1,840","1,720","1,640","1,460","1,050",900,730,430,230,180,,,
,Sindo,"7,440",270,490,750,720,480,430,400,450,680,790,690,480,230,220,130,100,70,60,,,
,Town Centre,"3,320",160,150,160,180,250,350,330,240,240,270,260,260,170,130,80,60,20,30,,,
,Townsville,"19,360",720,820,970,"1,050","1,250","1,610","1,660","1,370","1,550","1,700","1,550","1,570","1,060",940,700,450,250,160,,,
,Yio Chu Kang,"28,870","1,560","1,730","2,030","1,870","2,130","2,220","2,140","2,300","2,680","2,690","2,510","1,920",980,790,570,390,190,160,,,
Bedok,Total,"280,060","13,410","16,960","20,150","20,050","18,810","19,510","20,400","20,980","24,720","25,550","22,860","19,050","10,960","9,420","7,230","5,150","2,680","2,180",,,
,Bayshore,"5,280",330,370,390,260,240,340,580,630,660,480,370,260,140,100,50,50,20,30,,,
,Bedok North,"83,200","4,010","4,930","5,620","5,370","5,680","6,180","6,260","6,370","7,410","7,250","6,680","5,830","3,410","3,010","2,310","1,550",770,580,,,
,Bedok Reservoir,"23,920","1,440","1,570","1,830","1,920","1,710","1,550","1,860","1,940","2,130","2,220","2,000","1,450",730,580,400,300,170,130,,,
,Bedok South,"52,430","2,320","3,000","3,510","3,540","3,260","3,640","3,700","3,920","4,540","4,600","4,300","3,790","2,360","2,020","1,630","1,150",620,530,,,
,Frankel,"30,450","1,320","1,940","2,360","2,250","1,750","1,790","2,010","2,210","2,670","2,830","2,560","2,160","1,170","1,100",880,710,390,370,,,
,Kaki Bukit,"42,240","2,170","2,860","3,450","3,610","3,270","3,020","3,000","2,980","3,820","4,160","3,430","2,520","1,230","1,000",730,510,280,200,,,
,Kembangan,"35,060","1,570","1,870","2,460","2,590","2,510","2,480","2,430","2,410","2,880","3,320","2,990","2,390","1,510","1,240",980,750,370,300,,,
,Siglap,"7,480",260,420,530,510,400,520,560,520,600,690,530,660,410,370,250,140,80,60,,,
Bishan,Total,"87,770","4,080","5,410","7,310","6,340","5,260","5,520","6,870","6,860","8,240","8,790","7,220","5,450","3,200","2,620","1,940","1,280",740,660,,,
,Bishan East,"29,710","1,490","1,590","2,240","2,310","1,840","2,130","2,670","2,290","2,550","2,980","2,490","1,890","1,040",880,590,340,220,190,,,
,Marymount,"28,060","1,390","2,010","2,690","2,050","1,620","1,640","2,150","2,400","2,980","2,890","2,190","1,500",850,650,430,360,160,140,,,
,Upper Thomson,"30,000","1,210","1,810","2,380","1,980","1,800","1,760","2,050","2,180","2,720","2,930","2,550","2,060","1,310","1,090",920,580,370,330,,,
Boon Lay,Total,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Liu Fang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Samulun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Shipyard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tukang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bukit Batok,Total,"135,420","8,330","9,910","10,530","10,250","9,360","9,520","11,300","12,490","13,230","12,730","10,100","6,730","3,480","2,720","2,120","1,360",690,550,,,
,Brickworks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bukit Batok Central,"25,600","1,690","1,680","1,760","1,890","1,800","1,950","2,450","2,410","2,250","2,320","1,900","1,300",710,540,430,270,160,120,,,
,Bukit Batok East,"15,110",880,"1,000","1,030","1,150","1,170","1,100","1,250","1,300","1,370","1,440","1,260",870,410,350,250,160,80,50,,,
,Bukit Batok South,"14,170",860,"1,310","1,360","1,150",930,820,"1,080","1,400","1,560","1,430",940,540,230,210,170,110,60,40,,,
,Bukit Batok West,"15,420",950,"1,100","1,110","1,080","1,110","1,130","1,220","1,410","1,450","1,430","1,250",810,420,320,280,200,90,70,,,
,Gombak,"7,130",340,370,430,450,540,750,590,490,560,590,620,490,300,240,200,100,50,30,,,
,Guilin,"12,340",740,920,960,910,850,890,"1,030","1,200","1,270","1,080",890,580,350,260,190,140,60,50,,,
