"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2016",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
Total,Total,"3,933,560","187,160","201,510","207,500","239,770","260,850","279,990","285,540","302,000","313,450","301,180","315,600","299,590","251,850","198,020","103,800","87,960","53,560","44,240",,,
Ang Mo Kio,Total,"170,940","6,450","7,100","7,850","8,990","9,990","11,090","11,180","12,540","13,100","12,720","13,730","13,480","13,000","11,700","6,620","5,630","3,260","2,510",,,
,Ang Mo Kio Town Centre,"4,980",240,270,330,280,260,300,350,380,490,440,360,310,280,280,160,140,60,60,,,
,Cheng San,"29,050","1,250","1,130","1,220","1,300","1,540","1,810","2,180","2,450","2,340","2,150","2,320","2,200","2,310","2,020","1,070",870,520,390,,,
,Chong Boon,"27,120",860,960,"1,090","1,370","1,450","1,760","1,790","2,050","1,960","1,940","2,210","2,180","2,240","2,030","1,260","1,030",560,400,,,
,Kebun Bahru,"23,310",720,850,"1,050","1,210","1,320","1,470","1,450","1,600","1,780","1,830","1,930","1,870","1,780","1,690",990,860,520,380,,,
,Sembawang Hills,"6,910",200,360,430,550,550,480,310,320,470,550,560,540,420,430,250,210,130,140,,,
,Shangri-La,"17,620",660,720,760,930,"1,050","1,090","1,130","1,180","1,260","1,340","1,530","1,430","1,370","1,160",730,600,390,290,,,
,Tagore,"8,330",340,340,430,570,710,720,410,470,580,590,690,750,600,460,220,210,140,130,,,
,Townsville,"23,290","1,070","1,070",920,960,"1,190","1,420","1,630","1,960","1,830","1,540","1,700","1,780","1,680","1,660","1,010",940,520,410,,,
,Yio Chu Kang,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Yio Chu Kang East,"4,010",150,150,230,280,340,300,230,230,270,280,330,360,320,250,120,100,40,60,,,
,Yio Chu Kang North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Yio Chu Kang West,"26,300",960,"1,250","1,400","1,550","1,560","1,750","1,700","1,890","2,130","2,070","2,100","2,070","2,020","1,720",810,680,380,260,,,
Bedok,Total,"287,170","11,270","13,010","13,890","16,480","18,810","20,250","18,270","20,360","21,960","21,240","22,880","23,480","20,940","18,010","9,490","7,760","4,920","4,170",,,
,Bayshore,"7,370",410,500,460,400,350,310,420,710,910,770,620,400,380,290,160,120,70,110,,,
,Bedok North,"84,400","3,100","3,520","3,810","4,800","5,490","5,680","5,250","6,020","6,270","6,160","7,070","7,040","6,360","5,700","3,050","2,370","1,530","1,190",,,
,Bedok Reservoir,"26,030","1,210","1,450","1,540","1,590","1,560","1,830","1,940","2,110","2,250","2,100","1,990","1,930","1,750","1,320",580,460,240,200,,,
,Bedok South,"49,840","1,910","2,160","2,330","2,860","3,250","3,490","3,000","3,190","3,460","3,630","3,980","4,150","3,680","3,300","1,930","1,640","1,050",850,,,
,Frankel,"33,710","1,600","2,010","1,900","1,870","2,000","1,960","1,910","2,730","3,220","2,770","2,440","2,210","2,090","1,870",970,890,660,630,,,
,Kaki Bukit,"40,070","1,390","1,600","1,890","2,540","3,230","3,420","2,640","2,570","2,630","2,640","3,290","3,860","3,180","2,460","1,040",860,470,380,,,
,Kembangan,"38,980","1,480","1,500","1,680","2,080","2,470","3,140","2,790","2,570","2,690","2,670","2,990","3,400","3,040","2,540","1,410","1,130",720,680,,,
,Siglap,"6,780",170,280,300,340,460,420,340,450,540,510,510,490,460,530,360,300,190,130,,,
Bishan,Total,"90,090","3,320","4,130","4,520","5,340","6,520","6,870","5,430","5,760","6,770","6,740","7,370","7,680","6,630","5,270","2,760","2,340","1,420","1,220",,,
,Bishan East,"28,900","1,020","1,250","1,370","1,480","1,920","2,520","1,910","1,900","2,160","2,060","2,200","2,520","2,330","1,840",880,780,440,340,,,
,Marymount,"31,010","1,340","1,520","1,660","2,040","2,570","2,240","1,930","2,120","2,360","2,370","2,730","2,600","2,010","1,530",770,570,330,310,,,
,Upper Thomson,"30,190",960,"1,360","1,490","1,820","2,040","2,110","1,590","1,740","2,240","2,310","2,450","2,560","2,300","1,910","1,100",980,650,570,,,
Boon Lay,Total,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Liu Fang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Samulun,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Shipyard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tukang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bukit Batok,Total,"138,040","5,140","6,540","7,560","8,990","9,760","10,640","9,320","9,590","10,610","11,090","11,920","11,950","9,940","6,630","3,180","2,490","1,500","1,210",,,
