"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2013",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
Total,Total,"3,844,750","183,300","205,700","226,240","255,070","266,890","255,620","296,870","305,500","312,580","316,340","312,990","281,070","222,150","145,820","105,750","70,620","46,200","36,060",,,
Ang Mo Kio,Total,"178,700","7,330","8,040","9,020","9,850","10,790","11,410","13,860","13,830","13,910","14,030","14,390","13,900","12,830","9,270","7,030","4,390","2,870","1,970",,,
,Ang Mo Kio Town Centre,"4,880",260,300,280,280,280,280,400,460,450,400,330,310,290,200,170,80,70,40,,,
,Cheng San,"30,910","1,380","1,290","1,440","1,480","1,680","2,050","2,860","2,560","2,510","2,390","2,400","2,430","2,300","1,570","1,130",690,430,310,,,
,Chong Boon,"29,010",1030,"1,150","1,350","1,460","1,650","1,910","2,300","2,240","2,170","2,260","2,300","2,330","2,220","1,730","1,330",790,470,320,,,
,Kebun Bahru,"25,010",880,"1,110","1,240","1,330","1,460","1,590","1,820","1,890","1,970","2,080","1,950","1,920","1,850","1,420","1,050",710,470,280,,,
,Sembawang Hills,"6,910",250,360,490,580,530,410,310,380,530,550,610,490,430,330,250,180,130,100,,,
,Shangri-La,"18,290",730,770,890,"1,030","1,110","1,130","1,270","1,340","1,340","1,550","1,600","1,410","1,280",970,810,500,350,230,,,
,Tagore,"8,200",320,370,490,640,750,520,450,510,570,650,760,710,520,310,230,170,100,120,,,
,Townsville,"24,290","1,190","1,080",1000,"1,130","1,290","1,500","2,120","2,110","1,790","1,650","1,860","1,820","1,760","1,360","1,140",700,470,320,,,
,Yio Chu Kang,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Yio Chu Kang East,"3,970",150,180,240,310,340,260,250,230,280,290,370,360,280,190,100,70,40,50,,,
,Yio Chu Kang North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Yio Chu Kang West,"27,200",1140,"1,440","1,610","1,590","1,710","1,760","2,070","2,110","2,300","2,210","2,210","2,110","1,900","1,200",810,500,340,200,,,
Bedok,Total,"294,080","12,370","14,150","15,920","18,420","20,690","19,320","20,860","21,820","22,350","23,080","24,430","23,160","19,980","13,580","9,490","6,570","4,410","3,480",,,
,Bayshore,"7,260",430,530,420,380,320,330,560,830,910,680,510,430,350,220,120,80,60,100,,,
,Bedok North,"89,290","3,720","4,050","4,720","5,340","5,990","5,790","6,780","6,630","6,570","7,070","7,540","7,020","6,190","4,460","3,030","2,070","1,390",960,,,
,Bedok Reservoir,"24,250","1,210","1,410","1,510","1,530","1,650","1,660","1,810","1,990","2,060","1,940","1,920","1,880","1,530",860,600,330,220,150,,,
,Bedok South,"51,990","2,030","2,420","2,710","3,340","3,600","3,300","3,350","3,550","3,850","4,120","4,300","4,100","3,700","2,630","1,980","1,380",920,720,,,
,Frankel,"32,780","1,560","1,930","1,830","2,020","2,120","1,740","2,100","2,760","2,910","2,630","2,410","2,220","2,120","1,370","1,030",820,620,570,,,
,Kaki Bukit,"42,530","1,710","1,900","2,410","3,110","3,600","3,340","3,070","2,890","2,820","3,230","3,900","3,660","2,810","1,660","1,020",680,390,330,,,
