"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2009",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
Total,Total,"3,733,880","197,790","221,440","248,630","262,780","241,750","274,310","297,240","317,310","312,980","322,500","297,380","239,950","169,700","116,260","87,430","61,490","37,140","27,810",,,
Ang Mo Kio,Total,"179,080","8,240","8,660","9,450","10,590","10,760","13,960","14,560","14,270","13,870","14,980","14,520","13,710","10,670","7,840","5,540","3,810","2,230","1,420",,,
,Cheng San,"30,590","1,420","1,430","1,440","1,620","1,770","2,590","2,700","2,570","2,400","2,500","2,490","2,430","1,870","1,320",910,580,360,200,,,
,Chong Boon,"29,870","1,270","1,350","1,450","1,560","1,790","2,440","2,450","2,300","2,320","2,430","2,390","2,370","1,950","1,490","1,040",660,360,250,,,
,Kebun Bahru,"25,880","1,170","1,250","1,320","1,440","1,480","2,000","2,050","2,080","2,070","2,090","2,080","1,980","1,610","1,200",880,650,340,210,,,
,Seletar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Sembawang Hills,"6,820",260,370,540,630,480,380,340,440,490,650,590,480,370,270,200,170,110,80,,,
,Shangri-La,"20,900",840,920,"1,070","1,210","1,150","1,530","1,540","1,600","1,720","1,850","1,650","1,580","1,310","1,080",790,550,310,200,,,
,Sindo,"7,290",260,350,530,750,650,440,390,420,510,700,730,550,350,230,180,100,80,80,,,
,Town Centre,"4,870",320,310,300,260,260,360,480,500,390,390,320,300,240,190,120,80,40,30,,,
,Townsville,"21,390","1,110",860,910,"1,080","1,150","1,740","2,180","1,810","1,480","1,620","1,640","1,580","1,350","1,050",760,540,350,190,,,
,Yio Chu Kang,"31,460","1,610","1,810","1,900","2,060","2,030","2,500","2,430","2,550","2,500","2,760","2,640","2,440","1,620","1,010",670,480,280,180,,,
Bedok,Total,"291,990","13,200","15,350","18,000","20,400","19,770","21,260","21,330","22,190","22,450","24,950","24,550","21,480","16,080","10,560","8,120","5,880","3,730","2,700",,,
,Bayshore,"6,260",420,360,410,340,280,360,620,740,700,580,440,370,220,120,110,60,70,70,,,
,Bedok North,"89,960","4,140","4,640","5,240","5,920","5,720","7,040","6,940","6,820","6,950","7,710","7,320","6,670","5,140","3,460","2,580","1,910","1,120",670,,,
,Bedok Reservoir,"23,260","1,210","1,480","1,580","1,660","1,720","1,700","1,670","1,890","1,920","1,970","2,010","1,680","1,060",660,430,320,180,130,,,
,Bedok South,"52,000","2,210","2,620","3,190","3,470","3,370","3,490","3,580","3,820","3,970","4,400","4,370","3,930","3,070","2,180","1,690","1,240",770,640,,,
,Frankel,"30,830","1,390","1,670","2,060","2,200","1,930","1,740","2,060","2,540","2,470","2,620","2,420","2,240","1,710","1,090",960,750,530,460,,,
,Kaki Bukit,"43,530","1,980","2,390","2,980","3,570","3,560","3,540","3,130","3,030","3,080","3,960","3,940","3,150","2,080","1,150",840,550,380,230,,,
,Kembangan,"38,610","1,620","1,850","2,150","2,730","2,700","2,920","2,820","2,740","2,810","3,140","3,420","2,940","2,210","1,500","1,180",860,590,430,,,
,Siglap,"7,540",230,360,400,530,500,460,510,600,550,580,630,510,590,400,340,190,110,70,,,
Bishan,Total,"91,010","4,070","4,830","5,940","7,300","6,040","5,860","6,060","7,400","7,230","8,240","8,300","6,600","4,500","3,090","2,290","1,530","1,000",720,,,
,Bishan East,"30,430","1,510","1,500","1,660","2,380","2,210","2,170","2,290","2,650","2,230","2,570","2,770","2,330","1,500","1,010",760,420,270,190,,,
,Marymount,"29,190","1,330","1,690","2,210","2,590","1,960","1,820","1,960","2,300","2,480","2,920","2,660","1,920","1,220",790,530,370,280,170,,,
,Upper Thomson,"31,400","1,230","1,650","2,070","2,320","1,870","1,870","1,810","2,450","2,520","2,760","2,870","2,360","1,780","1,280","1,010",740,460,360,,,
Boon Lay,Total,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Liu Fang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Samulun,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Shipyard,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tukang,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bukit Batok,Total,"144,290","7,710","8,990","9,960","10,550","10,630","11,060","11,170","12,110","12,540","13,200","12,410","9,210","5,610","3,360","2,410","1,680","1,010",690,,,
,Brickworks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bukit Batok Central,"26,880","1,560","1,650","1,620","1,800","1,980","2,230","2,190","2,370","2,260","2,210","2,280","1,750","1,120",710,500,340,190,150,,,
