"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2002",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
Total,Total,"3,382,940","217,800","253,190","257,690","209,690","216,310","262,720","289,180","320,750","320,860","286,740","230,370","143,180","123,440","89,590","70,640","45,830","25,210","19,750",,,
Ang Mo Kio,Total,"173,550","8,680","9,670","11,010","10,230","13,230","15,030","13,060","14,700","15,130","15,300","14,320","9,630","8,370","5,670","4,360","2,610","1,410","1,160",,,
,Cheng San,"30,100","1,470","1,490","1,750","1,750","2,510","2,740","2,440","2,570","2,470","2,740","2,610","1,630","1,440",970,690,420,210,190,,,
,Chong Boon,"30,610","1,530","1,530","1,720","1,720","2,490","2,860","2,450","2,570","2,470","2,550","2,530","1,870","1,650","1,040",770,430,250,200,,,
,Kebun Bahru,"25,870","1,310","1,430","1,520","1,460","1,940","2,300","2,010","2,230","2,240","2,170","2,070","1,470","1,310",910,690,420,230,170,,,
,Seletar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Sembawang Hills,"6,000",250,430,520,430,340,360,330,430,580,570,500,330,270,200,190,120,80,70,,,
,Shangri-La,"21,130","1,130","1,170","1,150","1,090","1,430","1,870","1,690","1,840","1,840","1,750","1,600","1,220","1,130",830,630,390,230,160,,,
,Sindo,"7,250",350,620,820,530,450,420,390,620,750,750,600,310,240,180,110,50,40,30,,,
,Town Centre,"3,050",130,150,160,190,270,280,260,230,240,260,290,180,160,100,80,40,20,20,,,
,Townsville,"20,120",830,920,"1,120","1,090","1,490","1,950","1,430","1,580","1,680","1,700","1,690","1,300","1,160",780,660,400,200,160,,,
,Yio Chu Kang,"29,430","1,690","1,930","2,250","1,970","2,300","2,260","2,070","2,630","2,870","2,810","2,450","1,330","1,010",660,540,360,170,160,,,
Bedok,Total,"285,320","15,460","19,010","21,810","18,810","19,570","21,530","20,810","23,880","26,610","25,410","22,440","14,170","11,500","8,630","6,860","4,530","2,370","1,940",,,
,Bayshore,"4,580",300,360,290,250,180,320,560,620,500,410,300,180,120,80,50,40,20,20,,,
,Bedok North,"85,730","4,810","5,330","5,920","5,430","6,340","6,970","6,450","7,260","7,620","7,310","6,730","4,480","3,730","2,740","2,100","1,310",670,540,,,
,Bedok Reservoir,"23,510","1,440","1,650","2,020","1,740","1,600","1,770","1,840","2,080","2,260","2,220","1,780",960,750,490,400,260,150,110,,,
,Bedok South,"53,730","2,670","3,370","3,790","3,200","3,590","4,150","3,870","4,390","4,860","4,580","4,480","2,870","2,520","1,920","1,530",980,520,450,,,
,Frankel,"31,220","1,490","2,240","2,550","1,880","1,780","1,940","2,050","2,600","2,980","2,970","2,590","1,540","1,260","1,050",940,650,380,320,,,
,Kaki Bukit,"42,960","2,640","3,310","3,860","3,390","3,120","3,110","3,080","3,570","4,380","3,960","3,110","1,770","1,210",900,670,470,230,180,,,
,Kembangan,"36,140","1,810","2,280","2,850","2,490","2,490","2,690","2,460","2,780","3,360","3,360","2,820","1,830","1,510","1,150",980,700,340,270,,,
,Siglap,"7,460",300,460,530,430,460,590,510,580,660,610,650,550,410,300,190,120,70,60,,,
Bishan,Total,"88,550","4,670","6,750","7,660","5,280","5,350","6,290","6,560","7,920","9,280","8,480","6,680","3,840","3,300","2,290","1,720","1,150",710,620,,,
,Bishan East,"29,770","1,490","1,900","2,700","1,910","1,910","2,400","2,380","2,450","3,080","2,910","2,360","1,260","1,120",720,470,310,230,170,,,
,Marymount,"28,710","1,800","2,700","2,540","1,630","1,610","1,890","2,270","3,080","3,190","2,610","1,920","1,040",840,550,440,310,160,140,,,
,Upper Thomson,"30,080","1,380","2,150","2,420","1,740","1,840","2,000","1,920","2,390","3,010","2,970","2,400","1,540","1,340","1,010",810,540,330,310,,,
Boon Lay,Total,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Liu Fang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Samulun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Shipyard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tukang,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bukit Batok,Total,"129,260","9,190","9,950","10,820","9,250","8,310","9,760","11,460","13,270","13,160","11,660","8,240","4,400","3,360","2,380","1,820","1,110",630,500,,,
,Brickworks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bukit Batok Central,"23,920","1,610","1,600","1,980","1,710","1,570","1,920","2,260","2,330","2,280","2,220","1,540",880,690,470,370,240,130,110,,,
,Bukit Batok East,"15,450","1,060","1,020","1,190","1,190","1,040","1,320","1,350","1,470","1,520","1,470","1,040",570,440,300,210,130,60,70,,,
,Bukit Batok South,"14,240","1,230","1,500","1,360",990,800,760,"1,320","1,680","1,590","1,210",720,330,220,190,160,90,50,40,,,
