"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2004",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
Total,Total,"3,413,270","204,820","240,520","257,280","227,420","215,220","246,710","290,490","302,910","321,060","300,670","244,110","174,790","122,740","96,010","72,490","47,880","26,860","21,310",,,
Ang Mo Kio,Total,"168,920","7,990","8,980","10,280","10,090","11,780","13,720","13,050","13,410","14,860","14,820","14,110","11,130","8,370","6,140","4,590","2,880","1,510","1,210",,,
,Cheng San,"29,420","1,430","1,420","1,610","1,650","2,160","2,580","2,420","2,440","2,540","2,550","2,540","1,980","1,450","1,020",740,480,230,190,,,
,Chong Boon,"29,390","1,400","1,440","1,540","1,640","2,120","2,590","2,410","2,350","2,430","2,420","2,450","2,070","1,600","1,170",820,490,250,230,,,
,Kebun Bahru,"24,990","1,180","1,280","1,440","1,400","1,740","2,060","1,920","2,050","2,150","2,150","2,010","1,640","1,310",990,790,450,250,170,,,
,Seletar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Sembawang Hills,"6,610",250,510,620,520,390,340,360,460,670,640,510,390,290,220,180,120,70,70,,,
,Shangri-La,"20,300","1,000","1,070","1,120","1,050","1,260","1,570","1,640","1,690","1,820","1,690","1,600","1,340","1,140",870,660,410,240,170,,,
,Sindo,"7,230",300,500,780,690,460,410,380,460,720,770,660,400,240,200,110,80,40,30,,,
,Town Centre,"3,250",150,150,170,180,240,320,320,230,260,260,280,230,170,110,90,50,20,30,,,
,Townsville,"19,300",730,840,"1,000","1,040","1,270","1,730","1,550","1,400","1,590","1,640","1,580","1,420","1,160",860,670,430,230,170,,,
,Yio Chu Kang,"28,440","1,550","1,780","2,000","1,920","2,140","2,120","2,050","2,320","2,700","2,710","2,490","1,670","1,020",710,550,370,180,160,,,
Bedok,Total,"278,960","13,980","17,570","20,480","19,560","18,880","19,560","20,250","21,670","25,320","25,390","22,410","17,120","11,400","9,100","6,910","4,780","2,530","2,050",,,
,Bayshore,"4,950",300,370,330,270,210,310,550,650,600,460,330,230,140,80,50,30,10,30,,,
,Bedok North,"83,180","4,310","5,030","5,700","5,300","5,790","6,250","6,240","6,590","7,440","7,140","6,630","5,240","3,690","2,890","2,250","1,420",720,560,,,
,Bedok Reservoir,"23,920","1,460","1,670","1,900","1,880","1,660","1,540","1,910","1,990","2,210","2,270","1,910","1,260",770,570,400,270,150,120,,,
,Bedok South,"52,340","2,380","3,130","3,530","3,390","3,370","3,700","3,750","4,010","4,630","4,610","4,300","3,460","2,420","2,010","1,530","1,060",590,480,,,
,Frankel,"30,250","1,310","2,050","2,350","2,160","1,740","1,800","1,960","2,290","2,770","2,830","2,530","1,910","1,230","1,080",870,650,370,350,,,
,Kaki Bukit,"42,190","2,340","2,970","3,570","3,540","3,240","2,960","2,980","3,120","4,060","4,090","3,290","2,200","1,250",930,680,520,250,200,,,
,Kembangan,"34,800","1,600","1,950","2,560","2,550","2,470","2,470","2,320","2,500","2,990","3,380","2,870","2,190","1,480","1,210",940,710,360,270,,,
,Siglap,"7,320",270,410,550,470,410,530,530,530,620,630,540,620,430,350,210,110,70,50,,,
Bishan,Total,"86,710","4,130","5,660","7,360","6,020","5,190","5,670","6,770","6,880","8,420","8,740","6,990","4,760","3,260","2,470","1,790","1,230",730,630,,,
,Bishan East,"29,500","1,460","1,650","2,400","2,190","1,810","2,190","2,650","2,280","2,680","2,980","2,470","1,600","1,070",830,510,350,200,180,,,
,Marymount,"28,000","1,490","2,180","2,640","1,930","1,570","1,760","2,180","2,530","3,060","2,800","2,060","1,310",860,600,420,320,170,140,,,
,Upper Thomson,"29,210","1,190","1,830","2,320","1,900","1,810","1,730","1,950","2,070","2,680","2,960","2,470","1,850","1,340","1,040",870,560,360,310,,,
Boon Lay,Total,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Liu Fang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Samulun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Shipyard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tukang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bukit Batok,Total,"132,680","8,650","9,920","10,460","10,100","8,810","9,430","11,280","12,660","13,250","12,450","9,390","5,780","3,520","2,600","1,960","1,240",670,550,,,
